Kaaba; کَعبه
Klappe;
- Klappe (z.B.: Ventil-); دَریچه
- eine grosse Klappe haben; لاف زَدَن، گُزاف گُفتَن
klappen;
- etwas nach hinten klappen; چیزى را عَقَب زَدَن
- wenn alles klappt; اَگَر جور بیايَد
- nichts klappte; کَژ میشُد مَژ میشُد، کار به دَست اَنداز اُفتاد، بیخ پيِدا نَکَرد
- wenn alles klappte ging, ging es mir gut; مادامیکه اوضاع بَر وَفق ِ مُرادَم بودَند خوش بودَم
- es klappte nicht mit dem Schlafen; هَر کارى میکَردَم که بِخوابَم نِمى شُد
- klapp nicht so mit der Tür; دَر را نَزَن
- die Mühle klappert; آسیاب صِدا مى کُنَد
klapprig; لَق بودَن
- klappriger Bus; اُتوبوس ِ اِسقاطی
- klappriger Bursche; پِسَر ِ بادبادی
Klappstuhl; صَندَلى ِ سَفَرى، تا شو
klar;
- alles klar bei dir? (popul.); چِتِه؟
- klar; پَس چی
- klar gibt er ...; آره پَس چی که می دَهَد
- Na klar!; به روى ِ چِشم
- es wurde klar, ..; مَعَلوم شُد
- da wurde mir klar, dass ..; حِساب ِ کار دَستَم آمَد که، بَرای ِ مَن حَتم شُد که
- das ist glasklar; مِثل ِ آیینه روشَن بودَن
- einigermassen klar kommen; خَرجِش حِسابى میرَوَد
- klare Mehrheit; اَکثَريَت ِ چِشم گیر
- klare Stimme; آواز ِ ناب
- klare Formulierung; بَیان ِ روشَن و بى پیرایهٔ مَسأله
- du musst einen klaren Kopf behalten; بايَد حَواسَت سَر ِ جا باشَد
- ich bin mir darüber im klaren; مَن از این چیز آگاه هَستَم، مَن خاطِر جَمع هَستَم که
- klares Wetter; هَواى ِ صاف
- klares Quellwasser; آب ِ زِلاف ِ چِشمه
- man muss s. im Klaren sein; بايَد يَقین حاصِل کُنَد
klären;
- eine Sache klären; به چیزى سَر و صورَت دادَن، موضوع را روشَن کَردَن
Klärgrube; چوهَک ِ تَصفیهٔ فاضِل آب
Klarheit;
- Klarheit, Durchsichtigkeit; شَفافى
- in aller Klarheit sagte er ..; با صَراحَت ِ تَمام گُفت
- er hörte mit voller Klarheit, ...; به وُضوح از .. شِنید که
- die Klarheit (Reinheit) des Taus; زُلالى ِ شَبنَم
- in aller Klarheit (des Geistes); با صَحو تَمام
- Klarheit schaffen; وُضوع بَخشیدَن، شَفافيَت دادَن
Klarinette; قَرنِى
klarkommen;
- mit etwas (jem.) klarkommen; با چیزی (کِسی) کِنار آمَدَن، با کِسی سَر شُدَن، - ساختَن
Klärung; توضیح، روشَن کَردَن
- der Richter versprach vollständige Klärung;  قاضى وَعدهٔ رِسیدِگى ِ کامِل داد
Klasse;
- er geht in die dritte Klasse; او میرَوَد کلاس ِ سِوُم
- er war Klasse; او آتَش پاره بود
- Wagen der 2. Klasse; واگُن ِ دَرَجهٔ ۲
- Arbeiterklasse; طَبَقهٔ کارگَران
- Führerschein Klasse 2; گُواهینامهٔ رانَندِگی ۲
- Steuerklasse; گُروه ِ مالیاتی
Klassenältester; مُبصِر
Klassenbewusstsein; شُعور ِ طَبَقاتى، آگاهى ِ ـ
klassenspezifisch;
- klassenspezifisches Verhalten; رَفتار ِ طَبَقاتى
klassifizieren; رَده بَندى کَردَن
Klassifizierung; رَقَم بَندى، دَسته بَندى
Klassik; کلاسیک
klassisch;
- klassische Musik; موزیک ِ کلاسیک، ـ اَصیل
Klatsch; بَد زَبانى، جُغُلى
klatschen;
- klatschen (Beifall); دَست زَدَن
- klatschen, tratschen; .دو بَر هَم زَنى کَردَن، جُغُلى ک
Klatschtante; خاله زَنَک
Klaue; پنچه
- Klaue (Schrift); خَط ِ خَرچَنگ ِ غورباغه ای
klauen; کِش رَفتَن، دَُزدیدَن
Klausel; مُصَرَحات
- Fakultativklausel; - مادهٔ اِختِیاری، تَبصِرهٔ
- Fünfprozentklausel (bei Wahl); مُقَرَرات ِ پَنج دَر صَد
- Rücktrittsklausel; شَرط ِ فَسخ
Klausur; اِنزِوا
- in Klausur gehen; خودرا بَرای ِ يِک مُدَتی کِناره گیری کَردَن
Klausurarbeit; اِمتِحان ِ قُوه اى، ـ کَتبى
Klavier; پیانو
Klavierspieler; پیانو زَن، نَوازَندهٔ پیانو
kleben; چَسبیدَن
- sie kleben ihm an den Fersen; آنها زاغ ِ سیاهَش را چوب مى زَنَند
Kleber; چَسب
klebrig; مَخ، لَزِج، جَسبناک
- klebriger Schaum; کَف ِ لَزِج
Klee; شَبدَر
Kleid; لِباس، پیراهَن ِ زَنانه
- Ehrenkleid; خَلَعت
kleiden;
- das kleidet dich gut; این به تو می آيَد
- gekleidet; پوشیده
- weiss gekleidet; سِفید پوش
Kleiderbürste; ماهوت ِ پاک کُن، بُرُس ِ لِباس
Kleiderordnung; طَرح و رَنگ ِ روپوشها
Kleiderständer; جارَختى، جاى ِ لِباس
Kleidung; لِباس، جامه، مَلبوس، لِباس و پوشاک
- schwarze Kleidung; مُحَرَمات، لِباس ِ مِشکی
- Kleidung zum Wechseln (eine zum Waschen, eine zum Anziehen); آشور واشور
- Ausgehkleidung (der Frauen); چادُر چاقچور
- Einheitskleidung; لِباس ِ مُتَحِد اُلشِکل
Kleie; سَبوس و پوشهٔ خوشهٔ غَلات
klein; کوچِک
- klein, aber fein; ریز وَلى تیز
- klein, aber oho!; فِلفِل نَبین چه ریزه بِشکَن بِبین چه تیزه
- von klein auf an; از اَوان کودَکى
- er war klein; او ریز نَقش بود، قَدَش کوتاه بود
- klein mit Hut werden; کِسى تا حَد ِ شِش دَر چَهار کوچِک مى شَوَد
- ein kleines Kind; کودَک ِ خُرد، کوچولو
- eine kleine Schrift (i.S.: Buch); کِتابی ِ کَم حَجم
- um ihn mit .. klein zu kriegen; تا اورا با .. ذَلیل سازَد
- das kleinere Übel; اَهوَن اُلشَرین
- man fängt klein an (bei Diebstahl); تُخم ِ مُرغ دُزد شُتُر دُزد می شَوَد
- Im Kleinen treu sein; دَر اَندَک اَمین بودَن
- im Kleinen & im Grossen; صُغرا و کُبرا
- immer trifft es die Kleinen; از خُردان لَخشیدَن، از بُزُرگان بَخشیدَن، از خُردان خَطا از بُزُرگان عَطا
Kleinasien; آسیاى ِ ضَغیر
Kleingeld; پَشیز، پول ِ خُرد، سِکه
kleinhacken (z.B.: Zwiebeln); پیازرا رَنده خُرد کَردَن
Kleinigkeit; (pl.) (جُزئی (جُزئیات
- auf Kleinigkeiten achten; دِقَت کَردَن
- das ist eine Kleinigkeit; اینها که چیزى نیست، از هَفت بُرو به هَفتاد
kleinkariert;
- er ist kleinkariert (*: pingelig); او تَنگ نَظَر است
Kleinkram; خورده ریز، دَله کاری
- s. mit Kleinkram abgeben; به چیزى وَررَفتَن
Kleinkrämer; پیله وَر، خورده فُروش
kleinkriegen; کِسى را خُرد کَردَن، ـ داغون ک.، ـ از پا دَر آوَردَن
Kleinod; (pl.) ( نَفیسه (نَفايِس
Kleinstadt; شَهرَک
kleinwüchsig;  آدَم ِ کوتاه قَد، - ریزنَقش
Kleister; چَسب
Klemme;
- in der Klemme sitzen; دَر گِرِفتارى بودَن، نَه راه پیش و نَه راه پَس داشتَن، دَر این مورِد گیر شُدَن
klemmen; گیر کَردَن
- es klemmt; وَضع بُغرَنج است
- die Tür klemmt; دَر گیر میکُنَد
klettern;
- auf den Berg klettern; از کوه بالا رَفتَن
Kletterpflanze; گیاه بالا رَوَنده، پیچَک
Klient; مُراجِعِه کُنَنده، اَرباب ِ رُجوع، مُوَکِل
Klima; مُناخ، آب و هوا، جَوّ، اِقلیم
Klimaanlage; دَستگاه ِ تَهویه
klimatisch; اِقلیمی
Klimaveränderung; تَغییرات ِ اِقلیمی
- als Folge der Klimaveränderung; مُتَعاقِب ِ دِگَرگونى هاى ِ اِقلیمى ِ جهان
Klimazone; اِقلیم
Klimbim; خِرت و پِرت
- hier liegt überall Klimbim; هَمه جا خِرت و پِرت است
Klimmzug; بار ِ فیکس
Klinge; تیغه
- Dolchklinge; بَرگه قَمه
Klingel; زَنگ
klingeln; زَنگ زَدَن
klingen; صِدا دآدَن
- das klingt gut in seinen Ohren; دَر نَظَرَش پَسَند مئ آيَد
Klinik; بیمارِستان
klinisch; بالینى، کلینیکى
- klinisch tot; از نَظَر ِ کلینیکى فِلان مُرده بود
Klinke;
- Türklinke; دَستگیرهٔ دَر
Klinkenputzen; به هَر دَری زَدَن
klirren;
- die Gläser klirren; گیلاسها جَرینگ جَرینگ صِدا میدَهَند، ـ جِلِنگ جِلِنگ ـ
- klirrende Kälte; سَرمای ِ سوزان
Klischee; کلیشه
- gängiges Klischee; کلیشهٔ شَجَریان
Klistier; تَنقیه
Klo (*: Toilette); دَسیت شوئی
- Drang auf´s Klo; دَست به آبِش گِرِفت
Kloake; کود ِ مُستَراحى
Klon; موجود ِ هَمانَند سازى شُده
klonen; .هَمانَند سازى کَردَن، شَیبه سازى ک
klopfen; کوبیدَن، دَق کَردَن، دَر زَدَن
Klopfer;
- Teppichklopfer; کوبه قالی
- Türklopfer; کوبهٔ دَر، دَق اُلباب
Klopfzeichen;
- Klopfzeichen an der Tür machen; تَلَنگُر بِدَر زَدَن
Klöppel; کوبه
- Klöppel (bei Musikinstrumenten, z.B. Santur); مِضراب
Kloss; کوفته
Kloster; راحِب خانه، خانگاه، خانِقاه، دِیر
Klosterzelle; (pl.) (صومِعِه (صَوامِع
Klub; باشگاه
Kluft;
- Kluft, Kleidung; لِباس، پوشاک
- Kluft, Abgrund; شِکاف
klug; با هوش
- aus ihren Reden werde ich nicht klug; از صُحبَت ِ آنها سَر دَر نِمى آوَرَم
- kluge Leitung; راهنَمائى ِ داهیانه
Klugheit; فِطانَت، عَقل، هوش
Klugredner; آدَم ِ گُنده مَغز
klumpen; لَخته بَستَن
Klumpen (m);
- Klumpen (z.B. Blut); لَخته
- Klumpen (Dreck); کُلوخ، کُلوچه
knabbern; خائیدَن، جَویدَن
knacken; شِکَستَن
- einen Code knacken; رَمزى را شِکَستَن
knackig; تَرگُل وَرگُل
- ein knackiges Aussehen; ظاهِريَش تَرگُل وَرگُل است
Knall; تَق، تَرَق تَرَق
- du hast wohl einen Knall; مِثل ِ اینکه به سَرَت زَده
- es kommt zum Knall; تَق چیزی دَر آمَدَن
knallen; تَرَق تَرَق کَردَن
Knallkörper; تَرَقه
knapp; کَم، ضَيِق
- knapp 5,- Euro; به زور ۵ یورو
- knapp werden;  .نایاب شُدَن، مُتَناقِص ش
- in Bezug auf .. waren wir so knapp, dass ...; از لَحاظ ِ.. دَر مَضیقه بودیم که
- knappe Mehrheit; اَکثَريَت ِ ضَعیف، ـ قَلیل، ـ کَمى
- er ist mit knapper Not entkommen; او جان ِ مُفت بِدَر بُرده است
- knapp bei Kasse sein; دَست (و بال) ِ کِسی تَنگ است
- knappes Ergebnis; نَتیجه خِیلى نَزدیک بِهَم، پیروزى با فاصِلهٔ کَم
Knappheit; کَمیابی
- Rohstoffknappheit; کَمیابى ِ مَواد ِ خام
knarren; جیر جیر کَردَن
- der Boden knarrt; تَخته جیر جیر مى کُنَد
Knarzen; صَریر
Knäuel; کَلاف
Knauserei; خِسَت
knauserig; حَریص
- Knauserig sein; آب از دَریا بَخشیدَن; از چیزی بی اَرز و فَراوان عَطا دادَن؛ آب از دَستَش نِمی چِکَد، سَخت مُمسِک بودَن
knautschig; مُچاله، چُروک
knebeln; پارچه اى توى ِ دَهَن چُپاندَن
Knecht; کِنیز، رَهى، غُلام، نوکَر
- Knecht Gottes; (pl.) عَبد ِ خُدا، (عِباد ِ-)، خادِم ِ ـ
Knechtschaft; عَبوديَت
Knechtung; دَست اَندازى
kneifen; نَشگون گِرِفتَن، نیشگون گ.، وِشگون کَردَن
Kneifzange; گاز اَنبُر، میخ کِش
- kleine Kneifzange; شیپسى
Kneipe; مِیخانه، خَرابات، لُقانطه
Knete; خَمیر ِ مُدِل سازى
- Knete (popul. *:Geld); پول
kneten; سِرشتَن، خَمیر کَردَن
- den Teig kneten; خَمیر را مالِش دادَن
Knick; شِکَن، خَمیدِگى، تا
knicken; تا کَردَن
- in der Mitten knicken; تا خوردَن
- geknickt sein; سَر خَم شُدَن، سَر به زیر بودَن
knickrig; خَسیس، نان ِ کور، مَگَس دَر هَوا رَگ زَدَن
Knie; (pl.)  (زانو (زانوان
- die Knie beugen (beim Sport); نِشَستَن و پا شُدَن
- jem. auf die Knie zwingen; کِسى را به زانو دَر آوَردَن
Kniefall (vor höher gestellter Person); بِیعَت
knieen; زانو زَدَن
- knie dich hin!; به زانو دَر آى
kniend; دوزانو
Kniescheibe; کَشکَک ِ زانو، جِلو زانو، سَر ِـ
Kniff; تا
- Kniff (Falte) in der Hose; اُتوی ِ شَلوارَش خَربُزه قاچ می کُنَد
Knirps (popul.); خِپله
knirschen;
- knirschen (z.B. Metall auf Metall); تاراق و توروق، تاق و توق
- Zähne knirschen; دَندانها بِه هَم اَفشُردَن، ـ قُروچه کَردَن
Knirschgeräusch; صِداى ِ تاراق و توروق
knistern; خِش خِش کَردَن
knittern; چین و چُروک شُدَن
knittrig; پُرچین، مُچاله
knobeln; .قُرِعه اَنداختَن، طاس اَ
Knoblauch; سیر، مو سیر
Knöchel; شاخَک، قوزَک
Knochen; اُستُخوان
Knochenerweichung; اِستِرخاء ِ عَظَم، ضَعف ِ اُستُخوان
Knochenmark; مَغز ِ اُستُخوان
knochig; عِظامى، اُستُخوانى
- knochige Wange; گونهٔ زُمُخت
Knödel; کوفته
Knopf; دُگمه، تُکمه
Knopfloch; مادِگى، جاتُکمه
Knorpel; غُضروف
Knospe; جَوانه، غُنجه
- Veränderung von wachsender zu fertiger Knospe; تَبدیل ِ جَوانهٔ رويِشى به جَوناهٔ رايِشى
knospen; جَوانه زَدَن
knoten; گِره زَدَن، ـ بَستَن
- verknotet; گِره خورده
Knoten (m); گِره
- Mach dir einen Knoten!; کَف دَستَت بِنِویس!، گِره بِزَن
- der Knoten ist geplatzt (und man konnte endlich weinen); بُغض ِ کِسی تَرکید
- Haarknoten; گیسوى ِ پُشت ِ سَر
Knotenpunkt; جاى ِ تَقاطُع
knüllen;
- etwas zusammenknüllen; .چیزى را مُچاله کَردَن، ـ چُروک ک
knüpfen; گِره زَدَن، ـ بَستَن
- Teppich knüpfen; قالی بافتَن
Knüppel; چُماق، گُرز، چوبدَست ِ سَر گِره دار
- mit Knüppeln bewaffnet werden; به چُماقها مُسَلَح شُدَن
- jem. wirft ihm den Knüppel zwischen die Beine; کِسى چوب لاى ِ چَرخ ِ او مى گُذارَد، دَر کار ِ کِسى مُشکِل اَنداختَن
- Gummiknüppel; باطوم
knurren;
- sein Magen knurrt; شِکَمِش غار و غور میکُنَد
- Magenknurren; قارت و قورت ِ شِکَم، غار و غور ِ شِکَم
- jem. anknurren; سَر ِ کِسى قُر زَدَن
knutschen; ماچ و موچ کَردَن
k.o.; ضَربهٔ فَنى
- jem. k.o. schlagen; کِسى را ضَربهٔ فَنى کَردَن
- der Sportler ist k.o.; وَرزِشکار از پا دَرآمَد
Koalition; اِئتِلاف
- Parteienkoalition; اِئتِلاف ِ اَحزاب
- Koalitions- (zusammengesetztes Wort); مؤتَلِف
Koch; آشپَز، طَباخ
- Viele Köche verderben den Brei; آشپَز که دو تا شُد آش یا شور است یا بى نَمَک
kochen; (präs.) (پُختَن (مى پَزَد
- kochen (vor Wut); از جا دَر رَفتَن
- etwas fängt an, zu kochen; چیزى جوش میايَد، چیزى مى جوشَد
- gekochte Eier; تُخم ِ مُرغ ِ آب پَز
Köcher; تَرکِش
Kochgeschirr; دیگ و دیگبَر
Kochkunst; طَباخى، هُنَر ِ آشپَز
Kochrezept; راهنَمای ِ آشپَزی
Kochtopf; قابلِمه، دیگ
- Schnellkochtopf; دیگ ِ بَرقى ِ زود پَز
Köder; طُعمه
- Der Köder muss dem Fisch schmecken; عَلَف باید به دَهَن ِ بُزی سیری بیاید
Kodex; مَصحَف، مَجمَع
- Kodex Alexandrinus; نُسخهٔ اِسکَندَریه
- Kodex Sinaiticus; نُسخهٔ سینا
- Sittenkodex; مَجمَع اُلقَوانین ِ اَخلاقى
kodifizieren; تَدوین کَردَن ِ قَوانین
Koeffizient; ضَریب
Koexistenz; هَمزیستى
- friedliche Koexistenz; همزیستى مُسالَمَت آمیز
Koffein; کافئین
Koffer; جَمِدان
Kofferraum; صَندوق ِ عَقَب ِ ماشین
Kohäsion; نیروى ِ جاذِبه بِین ِ مُلِکولهاى ِ يِک جِرم، پِیوَستِگى
Kohl; کَلَم
- Blumenkohl; کَلَم ِ گُل
- Rosenkohl; کَلَم ِ فَندَقى
- Weisskohl; کَلَم ِ سِفید
Kohle; زُغال
- Braunkohle; زُغال ِ سَنگ ِ نَرم
Kohlendioxyd; گاز ِ کَربُنیک
Kohlenhydrat; گلوسید
Kohlenmonoxyd; اُکسید کَربُن
Kohlensäure; اَسید ِ کَربُنیک
Kohlenwasserstoff; کَربُن ِ ئیدرژِن، هیدرو کَربُن
Kohlrabi; کَلَم ِ قَمَرى
Kohlroulade; دُلمهٔ کَلَم
kokett; نازنین، عِشوه گَر
- schmeichlerisch & kokett; ناز و غَمزه اى
Koketterie; چِشم چِرانى، عِشوه گَرى، لَوَندى
kokettieren; چَم و خَم کَردَن، نَظَربازى ک.، غَمزه زَدَن
Kokosmatte; حَصیرى از شاخه هاى ِ نارگیل
Kokosnuss; نارگیل
Kolben; پیستون
- Destillierkolben; قَرع و اَنبیق، ظَرف ِ تَقطیر
- Gewehrkolben; قُنداق ِ تُفنگ
Kolbenantrieb; پیستون ِ مُحَرَکه
Kolbenring; رینگ ِ پیستون
Kolik; قولِنج
Kollaborateur; هَمدَست ِ دُشمَن، سازِش کار
Kollege; هَمپایه، هَمتا
- Ressortkollege; هَمتاى ِ وِزارَتى
Kollektion; کُلِکسیون
- eine Kollektion von Stoffen erstellen; پارچه ها را کُلِکسیون کَردَن
kollektiv; جَمعی
- kollektive Führung; رَهبَرى جَمعى، ـ دَستِجَمعى
- kollektive Sicherheit; اَمنيَت ِ جَمعى
Kollektiv (n); جَمع
Kollier; توق، طوق
Kollision; بَرخورد
- Interessenkollision; بَرخورد ِ مُصالِح
Kollisionskurs; مَسیر ِ دَرگیرى، ـ تَصادُم
kolonial; مُستَعمِراتى
Kolonialismus; اِستِعمار
Kolonialstaat; دولَت ِ مُستَعمِر
Kolonialwarenhändler; (popul.) بَقال چَقال
Kolonie; مُستَعمِره
Kolonne; سُتون
Kolloquium; جَلَسهٔ بَحث و مُحاوِره
kolossal; فوق اُلعاده
- kolossales Mahl; غَذاى ِ هَنگُفت
Kolostrum; نَخستین شیر، ماک، سَرَس
Koma; بیهوشى
Kombination;
- Kombination (Kleidung); کُت و شَلوار
- in Kombination mit ...; دَر رابِطه با
Kombinationszange; انبُر ِ چَندکار
kombinieren; رابِطه را بَر قَرار کَردَن، فَهمیدَن
Komet; ذوذَنَب، شِهاب
Komfort; راحَتى
komfortabel; راحَت
Komik; بَذله، شوخی
- das entbehrt nicht der Komik; خالى از خَنده نیست
Komiker; ضاحِک، بَذله گو
komisch;
- das kam mir komisch vor; اِحساس ِ مَسخَرِگى کَردَم، این بَرايَم خَنده دار بود
- komische Geschichte; حِکايَت ِ مُضحِک، - خَنده دار
- komische Oper; اُپِراى ِ کُمیک
Komitee; هِیئَت، کومیته
Komiteemitglied; عُضو ِ هِیئَت
Komma; مُمَيِز، ویرگول
- 5 komma 4; پَنج مُمَيِز چَهار
Kommandant; فَرماندِه، سَردار
- Festungskommandant; دِژبان
kommandieren; فَرمان دادَن
Kommando; فَرمان
- auf das Kommando: Aufstehen; با صِداى ِ بَرپا
- unter dem Kommando; ِ به سَر کَردِگى، زیر ِ فَرمان
kommen; آمَدن
- kommen zu  ; از .. دیدَن کَردَن
- etwas kommen lassen, wie vorausgesagt; بَر حَسب ِ پیشگوئى چیزى را به وُقوع آمَدَن
- zur Sache kommen; سَر ِ مَطلَب رَفتَن
- ins Gespräch kommen; سَر ِ صُحبَت را باز کَردَن
- die Gäste kommen und gehen; مِهمانها دَر رَفت و آمَدَند
- an die Macht kommen; به سَر ِ قُدرَت آمَدَن
- es kommt zum Stillstand; وَقفه پیش میايَد
- es kommt zum Krieg; به جَنگ مُنجِر میشَوَد
- Komme, wie es kommen soll; هَرچه بادا باد
- er kam wieder zu sich; حالَش جا آمَده
- bis es soweit kam, dass sie verstand, dass ich sie anschaute ..; تا مى آمَد بِفَهمَد مَن دارَم نِگاهَش کُنَم
- wie kommst du darauf?; چِطور به این فِکر اُفتادى؟
- wie sind Sie zum Film gekommen?; چِطور به عالَم ِ سینِما راه پِیدا کَردید؟
- Schwäche, die vom Hunger kam, ..; ضَعف ناشى از گُرُسنِگى
- wie man an Geld kommt, weiss er nicht; راه ِ پول آوَردَن را بَلَد نیست
- Kommen & Vergehen; کون و فِساد
- am kommenden Tag; روز ِ بَعد
Kommentar (jurist.); تَبصِره
- vor der Abstimmung einen Kommentar abgeben; قَبل از رأى گیرى شَرح دادَن
- seinen Kommentar abgeben (*: Meinung); نَظَر ِ خودرا بَیان کَردَن
Kommentator; مُحَشى، مُفسِر
kommentieren; نَظَریه دادَن
Kommerz; سوداگَرى
kommerziell; تَجارى، بازَرگانى، تِجارَتى
Komiss; سَربازى، قُوهٔ نِظامى
Kommissar; کَلانتَر
Kommissariat; کَلانتَرى
Kommission; کُمیسیون، هِیئَت
- in Kommission geben; واگُذارى ِ اَجناس بَراى ِ فُروش
Kommode; کُمُد
Kommunalwahlen; اِنتِخابات ِ مَحَلى، ـ وِلایات
Kommune; بَخش، ناحیه
- Kommune, Wohngemeinschaft; سُکونَت ِ اِشتِراکی
Kommunikation; مُصاحبه، اِطِلاع رِسانى
Kommunikationsmittel; رِسانه
Kommunikationssystem; سیستِم ِ مُخابِرات
Komunikationswissenschaft; عِلم ِ رِسانه هاى ِ گُروهى
Kommunique; اِعلامیه
- Pressekommunique; بَیانیهٔ مَطبوعاتى
Kommunismus; کُمونیسم
kommunizieren; با هَم اِرتِباط بَر قَرار کَردَن
- kommunizierende Röhren; لوله هاى ِ مُرتَبِط
Komödiant; کُمِدین
Komödie; کُمِدى
- Komödie, Klamauk; مُضحِکات، مُضحِک
Kompagnon; هَمکار، رَقیب، شَریک
kompakt; ثَقیل، فِشُرده
Kompanie; گُروهان
Komparativ; تَفضیل
Komparsen; سیاهى لَشکَر
Kompass; قُطب نَما
kompatibel; قابل ِ اِنتِقال
Kompatibilität; قابِليَت ِ اِنتِقال
Kompendium; فَرايَند
Kompensationsgeschäft; مُعامِلهٔ پایا پائى، ـ تَهاتُرى، ـ مُعاوِضه
kompensieren; .مُساوى کَردَن، مُستَهلَک ک.، مُتَعادِل ک
kompetent; صَلاحيَت دار، خِبره، صالِحانه
- er ist kompetenter als ...; او از ... با کِیفيَت تَر است
Kompetenz; صَلاحيَت، اَهَليَت، کِفايَت
- Gesetzgebungskompetenz der Länder; صَلاحيَت ِ قانونگُذارى ِ ایالات
- Richtlinienkompetenz; صَلاحيَت ِ تَعیین ِ خَط ِ مَشى ِ سیاسى
Kompetenzstreitigkeiten; مُشاجِرات بَر سَر ِ صَلاحيَت
Kompetenzüberschneidung; تَداخُل ِ صَلاحيَت ها
Komplemetärfarben; رَنگهاى ِ مُکَمَل که رَنگ ِ سِفید بِوُجود میايَد
komplett; جامِع، تَمام و کامِل، کامِل
komplex; پیچیده
Komplex (m); عُقده
- unterdrückte Komplexe; عُقده‌ها‌ی ِ فُروخُفته‌
- Minderwertigkeitskomplex; عُقدهٔ حِقارَت
- Schuldkomplex; عُقدهٔ گُناه
Komplexität; تَرکیب ِ پیچیده
Komplikation; گِرِفتاری
- es gibt Komplikationen; گِرِِهى دَر کار است، گِرِفتاریها ـ
Kompliment; تَعریف
Komplize; شَریک، هَمدَست
kompliziert; بُغرَنج، غامِض، پیچیده، مُشکِل
- eine komplizierte Angelegenheit; گِرهٔ کور
- komplizierte Dinge; غَوامِض
- die Geschichte ist komplizierter, als man denkt; این قَضیه بیخ دارَد
Kompliziertheit; تَعقید، پیچیدِگى
Komplott; ساخت و پاخت، توطِئه
- einen Komplott schmieden; توطِئه چیدَن
komponieren; .تَصنیف کَردَن، آَهَنگسازى ک
Komponist; آهَنگ ساز، مُصَنَف
Komposition; آَهنگ، سُرود، تَصنیف
Kompost; کود ِ طَبیعى
Kompott; کُمپوت
Kompresse; کُمپرِس
Kompression; تَراکُم، فِشار
Kompressor; کُمپرِسور
komprimieren; تَراکُم کَردَن
- komprimierte Luft; هَواى ِ مُتَراکِم، ـ فِشُرده
Kompromiss; سازِش، تَوافُق
- fauler Kompromiss; قَرار ِ تو خالى، سازش ِ ـ
- einen Kompromiss schliessen; به تَوافُق رِسیدن، با کِسى کِناره رَفتَن
- Politik der Kompromisse; سیاسَت ِ سازِش
Kompromissler; سازِشکار
kompromitieren; ابروی ِ کِسی را بُردَن
Kondensation; تَبدیل بُخار به مايِع
Kondensationswärme; حَرارت ِ مَيَعان
Kondensator; خازِن
kondensieren; تَبدیل شُدَن به مایِع
Kondensierung (Verdichtung); تَکثیف
Kondition;
- Kondition, Bedingung; شَرط
- Kondition, Belastbarkeit; وَضع ِ بَدَنى
Konditor; قَناد
Konditorei; قَنادى
Kondolenz; تَسَليَت
Kondolenzbuch; کِتاب ِ تَسليَت
kondolieren; تَسَليَت گُفتَن
Kondom; کاپوت
Konfekt; نُقل، تَنَقُلات
Konferenz; کُنفِرانس
- eine Pressekonferenz abhalten; يِک کُنفِرانس  ِ مَطبوعاتى بَر گُذار کَردَن
konferieren; مَشوَرَت کَردَن
konfessionell; کِلیسائى
- überkonfessionell; بِین اُلکِلیسائى
Konfiguration; تَرتیب، شِکل ِ عُمومى
- Elektronenkonfiguration; ساختِمان و تَرتیب ِ اِلِکترونى
Konfiszierung; توقیف، ضَبط، مُصادِره
Konfitüre; مُرَبا
Konflikt; تِضاد، دَر گیرى، نَبَرد، مُناقِشه
- Konflikt hervorrufend; مُناقِشه اَنگیز
- .. hat viele Forscher in Konflikt gebracht; بِسیارى از دانِشمَندان به دَردِسَر اَنداخت
- ich habe einen Konflikt; مَن گیر اُفتادَم، ـ گیر شُدَم
- die Polizei war in einen Konflikt verwickelt; پُلیس با کِسى دَر گیر شُد
- der Konflikt tritt auf; دَر گیرى به ظُهور مى آيَد
- Ost-West-Konflikt; تِضاد ِ شَرق و غَرب
konflikterzeugend; بُحران آفرین، مُشکِل ساز
Konfliktherd; مَنشاء ِ دَرگیرى
Konfliktparteien; طَرَفِین ِ دَرگیرى
konform; مُطابِق
- systemkonform; دَر خَط ِ نِظام
Konformität; بَرابَرى
Konfrontation; دَرگیرى، رویا روئى، مُواجِهه
konfrontieren;
- jem. mit .. konfrontieren; با کِسى از .. مُواجِهه کَردَن، کِسى را با چیزى رو بِرو کَردَن
- konfrontiert sein, - werden; مُواجه بودَن، ـ شُدَن
konfus; گیچ، دَست پاچه
Konfusion; تَشَوُش، دَست پاچِگی، اِغتِشاش
Konglomerat; مَجموع
- Zellkonglomerat; مَجموِعهٔ چَند یاختهٔپِیوَسته
Kongress; کُنگره، مَجمَع
Kongruenz; مُماتِله، قابِليَت ِ تَطابُق، اِنطِباق
König; (pl.) مَلِک (مُلوک)، پادِشاه
- zwei Könige gleichzeitig geht nicht gut; چِهِل دَرویش مى تَوانَند رو يِک گِلیم بِنِشینَند اما ۲ پادِشاه دَر يِک کِشوَر زِندِگى نِمى کُنَند
Königin; مَلِکه، شَهبانو
- Königinmutter; مَلَکه مادَر
königlich; مَلوکانه، شاهانه
Königreich; (pl.) مَملَکَت (مَمالِک)، مَلِکوت
Königsgeschlecht; دودمان ِ سَلطَنَتى
Königsherrschaft; پادِشاهى، حُکومَت سَلطَنَتی
konisch; مَخروطى
Konjugation; تَصریف
