Lab; خَمیر مایهٔ پَنیر
Lebensmittelgeschäft; اَغذیه فُروشی، خواربار فُروش
Lebensmittellieferant; سورساتچی
lebensnotwendig; مُهِم و حَیاتی، ضَروری و حَیاتی
Lebensnotwendigkeit; ضَرورَت ِ حَیاتی
Lebensraum; فَضای ِ زِندِگی
Lebensspender (Name Gottes); رَوان بَخش
Lebensstandard; سَطح ِ زِندِگی
Lebensumstände; مُقتَضیات ِ زِندِگی
Lebensunterhalt; (pl.) مَعاش ِ زِندِگی، مَعیشَت، مايَحتاج ِ زِندِگی، رَزَق (اَرزاق)، سَر و سامان
- geringen Lebensunterhalt bekommen; اَندَکی سَر و سامان پِیدا کَردَن
Lebenswerk;
- das ist ihr Lebenswerk; حاصِل ِ کار ِ همهٔ عُمرِشان است
Lebenszeit;
- auf Lebenszeit; مادام اُلعُمر، عُمری
Lebenszyklus; چَرخهٔ زِندِگی
Leber; کَبد، چِگَر
Leberfleck; خال ِ گوشتی
Lebertran; روغَن ِ ماهی
Lebewesen; جاندار، موجود ِ زِنده، ذیروحی
- niedrige Lebewesen; جانوَران ِ پَست
- die Lebewesen des Meeres; زیستبوم ِ دَریا
- Urlebewesen; جانداران ِ اَجدادی
lebhaft; چابُک
- sie war ein lebhafter Mensch; او بِشکَن و بِریز بود
- die Menschen werden lebhaft; مَردُم به جُنب و جوش می اُفتَند
Lebhaftigkeit; جُنب و جوش
leblos; بی جان، مُرده
- leblose Maschine; ماشین از جان اُفتاده، ـ اَنداخته، ـ از کار اُفتاده
lechzen; از فَرط ِ دِرَندِگی لَه لَه زَدَن
- lechzend sein nach; راغِب ِ چیزی بودَن،  آب از دَهانَش سَرازیر می شَوَد،  سَخت شیفته و خواهان ِ چیزی  گَشتَن، آب اَنداختَن ِ دَهان،  فُزوده شُدَن ِ اِشتِها نِسبَت بچیزی، آب دَر دَهان آمَدَن  از... ، شائِق و خواهان ِ آن شُدَن
leck; سوراخ دار، رَخنه دار
Leck (n); سوراخ، رَخنه
lecken; لیسیدَن
- lecken, tropfen; چِکیدَن، تَراویدَن
lecker; لَذیذ، خوش مَزه
Leckerbissen; مَتاع، خوراک ِ لَذیذ
Leder; چَرم
- zäh wie Leder; سِفت تَر از چَرم ِ ساغِری است
- Rohleder; پوست ِ آش نَکرده، پوست ِ خام
Lederhaut; صُلبیه
Ledertasche (aus Schafshaut);  اَنبان
ledig; مُجَرَد
leer; پوک، خالی
- der Zug war leer; قَطار خِلوَت بود، ـ خالی بود
- die Schüssel leer essen; کاسه را تا تَه سَر کِشیدَن
- die Nuss ist leer; گِردو پوک است
- ich leerte den Krug bis auf den letzten Tropfen; تَه ِ پیاله نَصیب ِ مَن بود
- mit leeren Händen nach Hause kommen; کِسی دَست و پا دِرازتَر به خانه بَر میگَردَد
- soll ich dich mit leeren Händen auf das Fest schicken?; سَر و کون ِ بِرَحنه بِبَرَمِت جَشن
- das Haus war menschenleer; خانه خالی و بیکَس بود
- entleeren (eines Gewässers); زیر آب زَدَن، تَخلیه کَردَن
Leergut; جَعبهٔ خالی
Leerlauf (Motor); دَنده را دَر خَلاص گُذاشتَن، موتور دَر جا کار می کُنَد
Leertaste; دُکمهٔ فاصِله
Leerung; تَخلیه
legal; قانونی، مَشروع
Legalität; مَشروعيَت، قانونيَت
legen; گُذاشتَن
- s. legen; دِراز کِشیدَن
- s. legen (Wind); باد فُروکِش کَردَن
- Wert legen auf; اَرزِش قائِل شُدَن به
- an den Tag legen (Eigenschaft, u.ä.); چیزی را به خَرج دادَن
- die Arbeit aus der Hand legen; دَست از کار کِشیدَن
- s. ins Bett legen; به تَخت ِ خواب رَفتَن
- die Worte in seinen Mund legen; کَلام را به زَبان ِ او اِلقاء کَردَن
- seinen Kopf an das Ohr von jem. legen; سَر را به بیخ ِ گوش ِ کِسی گُذاشتَن
- Besorgnis legt s. auf alle; تَشویش به جان ِ هَمه اُفتاد
legendär; اَفسانه آمیز
Legende; اَفسانه، حِکايَت
- Dolchstosslegende; اَفسانهٔ خَنجَر زَنی از پُشت
Leggins; تُنُکه
Legierung, Mischung; اِمتِزاج، آلیاژ
Legion; هَنگ ِ سَربازان
legislativ; تَشریعی
Legislative; قُوهٔ مُقَنَنه، هَیئَت ـ
Legislaturperiode; دورهٔ قانونگُذاری ِ مَجلِس
- vorzeitige Beendigung der Legislaturperiode; خاتِمهٔ زودتَر از موعِد ِ دورهٔ مَجلِس
legitim; مُجَوَز، مُجاز، بَر حَق
- legitimer Streik; اِعتِصاب ِ بِحَق
Legitimation; تَصدیق، جَواز ِ صَلاحيَت، صِحَت
Leguan; سوسمار
Lehen; تُیول
Lehm; گِل
- mit Lehm verschmieren; گِل گرَفتَن
Lehmmauer; دیوار ِ کاهگِلی
Lehmziegel; چینه
Lehne; پُشتی، تِکیه گاه
lehnen; تِکیه دادَن
- s. an etwas lehnen; خودرا به چیزی تِکیه دادَن
- s. gegen das Kissen lehnen; پُشت به پُشتی دادَن
Lehrbuch; کِتاب ِ آموزِشی
Lehre; دورهٔ آموزِشی، کارآموزی
- er macht seine Lehre; او دورهٔ آموزی را می گُذَرانَد
- Lehre ziehen aus; دَرس ِ عِبرَت گرَفتَن از
lehren;  .دَرس دادَن، تَعلیم د
- jem. seine Lektion lehren; کِسی را دَرس دادَن
Lehrer; آموزگار، مُعَلِم، مُدَرِس
- Lehrer (geistiger); مُرشِد
- Lehrer (in Grundschule); آموزگار
- Lehrer (in höherer Schule); دَبیر، مُعَلِم
- religiöser Gesetzeslehrer; حاج آخوند
- Hauslehrer; مُعَلم ِ سَرخانه
Lehrgang; دورهٔ آموزِشی
Lehrjahre; دوران ِ آموزش
- Lehrjahre sind keine Herrenjahre; دوران ِ آموزش زَمان ِ سَلطَنَت نیست، اَرباب بايَد اَوَل آموزَنده باشَد
Lehrling; کارآموز
lehrmässig;
- lehrmässiges Beispiel; نِمانهٔ تَعَلیمی
Lehrmeinung;
- die beiden wesentlichen Lehrmeinungen; دو مَکتَب ِ عُمدهٔ رايِج
lehrreich; آموزَنده
Lehrstuhl; کُرسی
Lehrzeit; دورهٔ آموزِش
Leib; جُثه، بَدَن، جِسم
- einander auf den Leib rücken; به جان ِ يِکدیگَر اُفتادَن
- mit Leib & Seele; از دِل و جان
Leibchen; نیم تَنه
Leibeigener; حَلقه بِگوش
Leibeskraft;
- du musst aus Leibeskräften mitmachen; تو بايَد سَنگ ِ تَمام بِگُذاری
Leibesvisitation; جُستِجوی ِ بَدَنی
Leibgarde; مُحافِظ ِ شَخصی، گارد ِ مُحافِظ
leiblich; جِسمی، جِسمانی، بَدَنی
- leiblicher Bruder; بَرادَر ِ تَنی
Leibwächter; مُستَحفِظ، سَلیحدار، مُحافِظ
Leiche; (pl.) نَعش، جَسَد (اَجساد)، مَيِت (اَموات)، جِنازه
- nur über meine Leiche; بايَد مَرا از سَر ِجايَم بِکِناری بِزَنَد
Leichenschmaus; حَلوای ِ مُرده
Leichentuch; کَفَن
- entweder die Heimat oder das Leichentuch (Schlachtruf); یا وَطَن یا کَفَن
Leichenwagen; نَعش کِش
Leichenzug; تَشییع ِ جِنازه
Leichnam; نَعش، کالبُد، جَسَد
leicht; چابُک، سَبُک، آسان
- mir wird leicht ums Herz; دِلَم خُنَک میشَوَد
- Nimms leicht; سَخت نَگیر
- das ist leicht gesagt; گُفتَنَش آسان است
- leichtes Mädchen; پالانَش کَج است
- am leichtesten erreichst du ihn in ...; بِهتَر از هَمه جا دَر ... اورا مُلاقات کُنی
- das ist für mich kinderleicht; این مِثل ِ آب خوردَن است
Leichtathletik; دُو و مِیدانی
leichtfertig; سَهل اَنگار، بی جَنبه، سَبُک سَر
- leichtfertiger Mensch; آدَم ِ سَبُک مَغز
Leichtfertigkeit; آسان گیری، سَهل اِنگاری
leichtfüssig; نَرم پا
leichtgläubig; زود باوَر
Leichtigkeit; سُهولَت
- mit Leichtigkeit; به سُهولَت، به چابُکی
- die Leichtigkeit des Seins; سُهولَت ِ بَقاء
Leichtindustrie; صَنايِع ِ سَبُک
Leichtmetall; فِلِز ِ سَبُک
Leichtsinn; سَهل اِنگاری
leichtsinnig; سَر در هَوا، بی اِحتیاط، سَبُک سَر
leid;
- es tut uns leid, dass es nicht so ist; دَریغ که چِنین نیست
- wo es dir leid tut, dass ...; که حِیفَت می آيَد که
- ich bin seine Unaufmerksamkeit leid;  از دَست ِ سَر به هَوائی ِ این شَخص خَسته می شَوَم
Leid (n); نِکبَت، دَرد، رَنج
- jem. kein Leid zufügen; به کِسی صَدَمه ای نَزَدَن
- Leid tragen; غُصه خوردَن
- Leid gehört zum Leben; گَنج بی مار و گُل بی خار نيست شادی بی غَم دَر اين بازار نيست
leiden;
- an ... leiden; به بیماری ِ ... مُبتَلا بودَن
- um der Gerechtigkeit willen leiden; دَر راه ِ عِدالَت جَفاء دیدَن
- an einer Nervenkrankheit leiden; به اِختِلال ِ عَصَبی دُچار بودَن
- jem. sehen, wie er leidet; کِسی را دَر دَرد و رَنج دیدَن
- ich litt unter dem Eingeständnis, dass ...; رَنج ِ مَن دَر اِعتِراف به اینکه ... هَستَم زیاد بود
- Hunger erleiden; گُرُسنِگی کِشیدَن
leidend; دَردکِش، دِق دار کِش، دَردزَده
- leidend sein an ...; مُبتَلا به چیزی بودَن، ـ شُدَن
- ein leidender Mensch; اِنسان ِ رَنج دیده
leidensbereit; آمادهٔ جَفاء، جَفاء پَذیر
Leidenschaft;
- Leidenschaft, Begierde; هَوَس، هَوا، شَهوَت
- Leidenschaft, Eifer; سوز ِ دِلی، سودا، اِشتیاق
- Leidenschaft zur Macht; سودای ِ قُدرَت
- zügellose Leidenschaft; هَوَس ِ لِجام گُسیخته
- jem. in Leidenschaft versetzen; کِسی را هَوَس کَردَن
- in Leidenschaft geraten; به هَوَس اُفتادَن
leidenschaftlich;
- leidenschaftlicher Mensch (*: begeistert); آدَم ِ شوریده دِل، آدَم ِ مَسحور
Leidensmiene;
- mit Leidensmiene sagte er; او بَرزَخ گُفت، با لَحنهٔ آسیب دیده گُفت
leider;
- es ist leider so; دَریغ است که، مُتأِسِفانه اینطوری است
leidgeprüft; مَنکوب، نِکبَت زَده
leidig;
- eine leidige Geschichte; واقِعِهٔ مولِمه
leidtragend;
- die Menschen sind die Leidtragenden; مَردُم چوبَش را میخورَند
Leier;
- immer die gleiche Leier; هَمان ساز ِ قَدیمی را زَدَن
Leierkasten (Drehorgel); اُرگ ِ دَندانه ای
leiern;
- etwas herunterleiern; چیزی را کِشیده گُفتَن
Leihe; عاریه، وام
- Fernleihe; عاریهٔ کِتاب از کِتابخانهٔ خارِجی
leihen (*: ausleihen); .وام دادَن، قَرض د.، اَمانَت د
- s. bei jemandem leihen; وام گرَفتَن، قَرض گ.، عاریه کَردَن، اَمانَت گِرِفتَن
Leihgebühr; حَق اُلعَمَل ِ بُنگاه ِ رَهنی
Leihwagen; ماشین ِ کِرایه ای
leihweise; اَمانَتی، اَمانی
- leihweise sein; اَمانَتی بودَن
Leim; چَسب، سِریشُم، سِریش
Leine; بَند، ریسمان
- Leine ziehen; کَعب ِ پارا نِشان دادَن، دَر رَفتَن
- Wäscheleine; بَند ِ رَخت
Leinen; بَز، کَتان
Leinöl; روغَن ِ تُخم ِ کَتان، ـ بَرزَک
Leinsamen; تُخم ِ بَرزَک
Leinwand; پردهٔ سینِما
leise; يَواش
- mach das Radio leise; صِدای ِ رادیورا يَواش کُن
- seine Stimme wird leiser; صِدای ِ او کاستی می گیرَد
- du musst auf leisen Sohlen gehen (popul.); آسه بیا آسه بُرو که گُربه شاخَت نَزنه
Leiste; شِمشه
- Fussbodenleiste; هَزاره، باریکه
- Parkettleiste (einzelnes Brett); تیغهٔ پارکَت
leisten;
- das kann ich mir leisten; تَوانائی ِ... را دارَم
- jem. Folge leisten; پَذیرُفتَن ِ فَرمان ِ فِلان را
- Hilfe leisten; به اِمداد ِ کِسی رِساندَن، کُمَک کَردَن
- kannst du mir Gesellschaft leisten? (popul.); بیا بِشین
- was der s. wieder leistet; دو قورَش و نیمَش هَم باقی است
- der leistet s. ein Auto; او که هَم ماشین دارَد
Leistenbruch; باد ِ فَتق
Leistengegend; کَشالهٔ ران، تُهیگاه
Leistung; راندِمان، بازده، تَوان، قُدرَت
- Dienstleistungsbereich; بَخش ِ خَدَمات
- Gabe gegen Gegenleistung; دُول ِ حاج ِ میرزا آغاسی
Leistungsbilanzdefizit; کَسری ِ حِساب ِ جاری
Leistungsbilanzüberschuss; مازاد ِ حِساب ِ جاری
leistungsfähig;
- leistungsfähiges System; نِظام ِ کارآمَد
Leistungsfähigkeit; کارائی، کِفايَت، بازدِه، تَوانائی
Leistungsgesellschaft; جامِعهٔ رِقابَتی
Leistungsverbrauch (Elektrizität);  مَصرَف کُنَندهٔ قُدرَت
Leitartikel; سَر ِ مَقاله
leiten; رَهنِمون کَردَن، راهنَمائی کَردَن، هِدايَت کَردَن، اِداره کَردَن، ریاسَت داشتَن
- leitendes Organ; نِهاد ِ مُدیريَت
Leiter;
- Leiter, Führer; هادی، رَهبَر، راهنَما، مُدیر
- Leiterin; خانُم ِ مُدیر
- Leiter, Treppe; نَردِبان
- s. als Leiter eignen; ساخت ِ يِک رَهبررا داشتَن
- er ist Leiter der Bibliothek; او مُتَصِدی ِ کِتابخانه است، او مُدیر ِ ـ
- elektrischer Leiter; هادی ِ بَرقی
Leitfaden; راهنَمائی
Leitfähigkeit; قابِليَت ِ هِدايَت
Leitgewebe (biolog.); بافت ِ آوَندی
Leithammel; نُخراز
Leitung; راهبُرد
- er ist mit Leitung betraut; او دَر مَقام ِ ریاسَت است
- unter der Leitung von; با رَهنِمود ِ فِلان، با مُدیريَت ِ ـ
- er hat die Leitung der Schule; او ریاسَت ِ مَدرِسه را عُهده دار است
- Leitung der laufenden Geschäfte; راندَن ِ اُمور ِ جاری
- Lange Leitung; دو زاری اَش نِمیاُفتَد، - دیر می اُفتَد
- Oberleitung (bei Eisenbahn);  (سیم ِ بالا سَر ( ِقَطار
- Wasserleitung; لوله آب
Leitungswasser; آب ِ شیر
Leitwesen;
- Verkehrsleitwesen; راهنَمائی ِ رانَندِگی
Leitwort; شُعار
Lektion (pl.); (دَرس (دُروس
- das ist uns eine Lektion; این بَرای ِ ما دَرس ِ عِبرَت است، از آن عِبرَت گِرِفتیم
- jem. seine Lektion lehren; کِسی را دَرس دادَن
- er hat seine Lektion gelernt; او دَرسِش را رَوان کَرد
Lektor; ویراستار، ویرايِشگَر
Lektorat; ویرايِشگَری
Lektüre; خواندَن، قَرائَت
Lendenbereich; گَرده، ناحیهٔ پُشت ِ کَمَر، کَشاله ران
lenken; .راندَن، رانَندِگی کَردَن، هِدايَت ک
- jemandes Aufmerksamkeit lenken auf; تَوَجُه ِ کِسی را مَعطوف به ... کَردَن به
- ferngelenkt; هِدايَت شَوَنده از دور
- der Blick ist gelenkt auf ...; نِگارِش مَعطوف است بَر
- gelenkte Marktwirtschaft; اِقتِصاد ِ اِرشادی ِ بازار
Lenkrad; فَرمان، رُل
Lenkradschaltung; تَعویض ِ دَندهٔ چَرخ ِ فَرمان
Lenkstange; رُل، فَرمان، غَربیل ِ فَرمان
- Lenkstange (bei Fahrrad); فَرمان ِ دو چَرخه، دَستهٔ ـ
Lenkung (von Gesprächen); اِرشاد، مُدیريَت، راهنَمائی، رَهبَری
Lenkungsfunktion; وَظیفهٔ هِدايَت
Leopard; پِلِنگ
Lepra; پیس
leprös; پیس دار
Lerche; کاکُلی، چَکاوَک، قَزلاق، غَزلاق
lernen; دَرس خواندَن، یاد گِرِفتَن، آموختَن
- wenn er früh lernt, auf eigenen Beinen zu stehen, umso besser; اَگَر گِلیم ِ خودرا از آب بیرون می کِشَد که چه بِهتَر
- praxisorientiertes Lernen; آموزِش ضِمن ِ خِدمَت
- mein Lernen; دَرس خواندَنَم
lesbar; خوانا
- lesbare Zahlen; اَعداد ِ خوانا
Lesbarkeit; خَط خوانی
Lesefibel; کِتاب ِ آموزِشی بَرای ِ مُبتَدیان
lesen; قَرائَت کَردَن، خواندَن
- er kann lesen; او سَواد دارَد
- er kann nicht lesen; او بی سَواد است
- Ähren lesen; خوشه چیدَن
Leser; (pl.) (خوانَنده (خوانَندِگان
Lesung; شِعر خوانی، قَرائَت
- in erster Lesung; دَر شور ِ اَوَل
Lethargie; سُبات، خواب و غِفلَت، اِغما
letzte; دیرین، آخَرین، آخَر
- letzte Ehre; آخَرین ِ اِحتِرام
- jem. die letzte Ehre erweisen; آخَرین اِحتِرام را دَر بَرابَر ِ کِسی بِجای آوَردَن
- letzte Instanz; مَرجَع ِ نَهائی
- letzte Antwort; جَواب ِ خاتِم
- das letzte Mal; واپَسین بار
- eine letzte Ursache muss es doch geben; يِک عِلَت ِ غائی بايَد وُجود داشته باشَد
- das war wirklich das letzte;  واقعِاً باطِل و کَشک بود
- jeder letzte Donnerstag im Monat; هَر پَنجشَنبه آخَر ِ ماه
- das letzte Wochenende im Mai; آخَر ِ آخَرین هَفته دَر ماه ِ مِه
- auf der letzten Reise; دَر واپَسین سَفَر
- in den letzten Zügen liegend; مَذبوحانه
- bis zum letzten Pfennig die Strafe bezahlen; تا ریال ِ آخَر جَریمه را بِپَردازَد
- die letzen werden die ersten sein; هَر چيز که خوار آيَد يِک روز به کار آيَد
letztgültig;
- letztgültiges Resultat; نَتیجهٔ غائی
letztlich; اَخیراً، عاقِبَتاً
Leuchte; چِراغ، لاتار
- Zeltleuchte; لاتار ِ چادُر
leuchten; نور دادَن، دِرَخشیدَن
leuchtend;
- leuchtend, strahlend; بِراق
Leuchter; شَمعِدان
Leuchtfarbe; رَنگ ِ شَب تاب، ـ شَب نَما، شَبرَنگ
Leuchtgeschoss; گلولهٔ رَسام، ـ مُنَوَر
Leuchtreklame; تابلوهای ِ نِئون
Leuchttafel;
- Leuchttafel mit Schrift; نَوار با لامپهای ِ نُقطه چین، نَوار ِتَبلیقات
Leuchtturm; فانوس ِ دَریائی
leugnen; .حاشا کَردَن، وادَنگ ک
Leukozyten; گُلُبولهای ِ سِفید
Leumund;
- guter Leumund; خوشنام
- schlechter Leumund; سوء ِ سابِقه
Leute; مَردُم، اَفراد
- bei Leuten (zu Gast sein); دَر مِهمانی
- einige Leute; تَنی ِ چَند
- Leute mit Rang und Namen; سَرِشان به تَنِشان می اَرزَد
- kleine Leute (vom Rang); بَقال و چَقال
- die Kinder kleiner Leute; بَچه های ِ بَقال چَقال
Leutnant; (Ober-, Unter-) (سِتوان ( ـ ِ اَوَل، ـ ِ دُوُم، ـ ِ سِوُم
Leutseligkeit; به رَوِش ِ مَماشات، دوست رَوی
Levkoje; شَب بو
Lexikon; فَرهَنگ، قاموس، لُغَت نامه
Libelle; سَنجاقَک
liberal; آزادیخواه
Liberalismus; لیبِرالیزم
Licht; چِراغ، نور، روشَنائی
- ans Licht kommen; .به ظُهور رِسیدَن، واضِح شُدَن، روشَن ش
- das Licht der Lampe geht aus; چِراغ خاموش میشَوَد
- jetzt geht mir ein Licht auf; تازه فَهمیدَم
- jem. hinters Licht führen; آب به زیر ِ کِسی می شَوَد، کِسی را فَریفتَن
- jemanden ins schlechte Licht stellen; بَراى ِ کِسى پاپوش دوختَن
- Licht am Ende des Tunnels; دَر نومیدی بَسی اُمید است پایان ِ شَب سیه سِفید است
- Licht erkennt man nur durch Licht; چِراغ را نَتَوان ديد جُز به نور ِ چِراغ
- Windlicht; چِراغ ِ بادی
Lichtbogen; قوس ِ نور
lichtdurchlässig; نیمه شَفاف
Lichtgeschwindigkeit; سُرعَت ِ نور
Lichtjahr; سال ِ نوری
Lichtmaschine; دینام
Lichtstärke; شِدَت ِ نور
Lichtstrahl; پَرتو، شُعاع ِ نور
Lichtung; جای ِ بی دِرَخت دَر جَنگَل
Lichtwellen; اَمواج ِ نوری
Lid;
- Augenlid (pl.); جَفن (اَجفان)، پِلک
Lidschatten;
- Lidschatten ziehen; به چِشمها سُرمه کِشیدَن
liebäugeln; .نَظَربازی کَردَن، کِرِشمه ک
Liebchen; مَعشوق
lieb;
- er ist sehr lieb; او نازنین است
- mein Lieber; جانَم
- liebe Anwesende, ...; آقایان و خانُمهای ِ گِرامی
- deine liebe Familie; خانِوادهٔ گِراميَت، - عَزیزَت
Liebe (f); مُحَبَت، حُب، عِشق
- gegenseitige Liebe; مُعشِقه
- die Liebe hat ihn gefangen; آتَش ِ عِشق دامَن ِ او گِرِفت
- blind vor Liebe; شِیدا
- er macht das aus Liebe; این را با مُحَبَت اَنجام میدَهَد
- Erweisung von Liebe; تَعشُق
- Strohfeuer der Liebe; عِشق های ِ پوشالی
- So wie der Rauch zum Feuer gehört, gehört der Schmerz zur Liebe;مُلزِم ِ آتَش  دود است، مُلزِم ِ عِشق دَرد
- Die Traurigkeit der Liebe kam und nahm andere Traurigkeiten weg, die Nadel entfernt vom Fuss die Dornen (i.S. von: beides tut weh, hat aber heilende Wirkung) (Molawi);  غَم ِ عِشق آمَد و غَمهای ِ دِگَر بِبُرد سوزَنی بايَد کَز پای بَرآوَرَد خاری
liebedienernd; سینه مال
Liebelei; عِشق بازی
lieben; دوست داشتَن، مُحَبَت کَردَن
Liebender; عاشِق
- die Welt der Liebenden; آفاق ِ وِصال
liebenswürdig; با مُحَبَت
- Liebenswürdiger (pl.); (حَلیم (حَلیمان
Liebesaffaire; نَرد ِ عِشق باختَن، هیاهوی ِ عاشِقانه
Liebesbrief; نامهٔ عاشِقانه
Liebeslieder; تَصنیفهای ِ عاشِقانه
Liebespaar; عاشِق و مَعشوق
Liebesroman; رُمان ِ عِشقی
liebevoll; مُحَبَت آمیز، مُحِبانه
- sanfte, liebevolle Mutter; مادَر ِ نازِنین
- liebevoll untersuchen; با نازُکبینی وارِسی کَردَن
Liebhaber; مَعشوق، مول
liebkosen; کسی را ناز و نَوازِش کَردَن
- ich liebkoste sie; نَوازِشِش می دادَم
Liebling; (fem.) مَحبوب (مَحبوبه)، عَزیز
Lieblingsideen; اَفکار ِ دِلاویز، ـ مورِد ِ عَلاقه
Lieblingssohn; نودَره
lieblos; بی عاطِفه
Lieblosigkeit; بی مِهری
liebreizend; مامانی
Lied; سُرود، تَرانه، آواز
- Immer das gleiche Lied; هَمان ساز ِ قَدیمی را زَدَن
- von der Folter kann er ein Lied singen; او از آزار غافِل نَمانده است
- Schlaflied; لالایی
- Schlaflied singen; لالایی خواندَن
liederlich; بی بَند و بار
Liederlichkeit; هَرزِگی
Lieferant; تَحویل کُنَنده، سورساتچی
liefern; فِرِستادَن، آوَردَن
Lieferung; تَحویل، اِرسال
Lieferwagen; وانِت، کامیون ِ باری
Liege; نیمکَت ِ بالِش دار
- Krankenliege; بَستَر ِ بیماری، بَرانکَر
liegen; قَرار داشتَن
- an uns soll es nicht liegen; ما کوتاه نِمی آئیم
- die Anzahl der Arbeiter, die bei 100 Personen liegt; کارمَندان که بالِغ بَر ۱۰۰ نَفَر می شَوَد
- die Stadt liegt 100 mtr. hoch; شَهر دَر اِرتِفاع ِ ۱۰۰ مِتر قَرار دارَد
- die Stadt liegt im Norden; شَهر دَر شُمال واقِع است، ـ قََرار دارَد
- die Verantwortung liegt bei ...; مَسئوليَت بَر عُهدهٔ ... است
- diese Sache liegt mir nicht; از این موضوع بِدورَم
- die Last liegt schwer auf mir; باری ِ گِران بَر مَن سَنگینی می کُنَد
- mit dem Gesicht nach unten liegend; دَمَد
liegen bleiben;
- liegen gebliebene Arbeit; کار ِعَقَب اُفتاده، ـ باقی مانده
- was liegen geblieben ist, bleibt liegen; آنچه به جا مانده است به جا خواهَد ماند
liegen lassen;
- etwas liegen lassen, unberücksichtigt lassen; وانَهادَن
- seine Kleider auf dem Boden liegen lassen; لِباس ِ خودرا روی ِ زَمین وِلو کَردَن
- das Geld habe ich in .... liegen lassen; پول را دَر .... جا گُذاشتَم
- es wurde liegen gelassen; جامانده بود
Liegenschaft; مِلک ِ عَقاری، مِلک ِ غِیر ِ مَنقول
Liegestuhl; صَندَلی ِ تا شو
Lift; آسانسور
Liga;
- arabische Liga; جامِعهٔ عَرَب، اِتِحادیهٔ ـ
- Fussballliga; لیگای ِ باشگاه های ِ فوتبال
lila; بَنَفش ِ روشَن
Lilie; سوسَن
Limit; حَد و حُدود
limitieren; مَحدود کَردَن
Limonade;
- Brauselimonade; آب ِ لیموی ِ گازدار، شَربَت ِ جوشَنده
Limone; لیمو
lindern; تَسکین دادَن
- lindernd (-es Mittel); مُلَيِن، مُسَکِن
Linderung; تَسکین
Lineal; خَط کِش
Linguistik; زَبان شِناسی
linguistisch;
- linguistische Philosophie; زَبان ِ سَنجی ِ فَلسَفی
Linie; خَط
- Linien, schraffiert; هاشور
- Linien, kariert; مُشَبَک، چَهار خانه
- Linien, waagerecht oder senkrecht; راه راه
- in erster Linie; دَر وَهلهٔ اَوَل
- er kommt von der Linie X (familiär); او از صُلب ِ فِلان پَدید میايَد
Linienrichter (beim Sport); داوَر
linieren; .سَطر بَندی کَردَن، خَط کِشی ک
- liniertes Papier; کاغَذ ِ خَط دار
link;
- das ist ein linker Typ; او آدَم ِ عَوَضی است، ـ نادُرُست است
linkisch; بیچاره، بَد قُواره
links; چَپ
- es wird links liegengelassen; صَرفِنَظَر میشَوَد، نادیده گِرِفته ـ
- er zieht sein Hemd links herum an; او پیراهَنَش را پُشت ِ رو می پوشانَد
- links um (milit.); به چَپ چَپ
linksdrehend; بِطَرَف ِ چَپ می چَرخَد
Linse;
- Linse (Gemüse); عَدَس
- Linse (Optik); عَدَسی
- Augenlinse; عَدَسی ِ چِشم، جَلیدیه
- Kontaktlinse; عَدَسی ِ چِشم بِجای ِ عِینَک
linsenförmig; عَدَسی
Lippe; لَب
- er riskiert eine dicke Lippe; خِشتمال، لاف زَن
- an jem. Lippen hängen; چِشم به دَهَن ِ کِسی دوختَن، به دَهَن ِ کِسی نِگاه کَردَن
- von den Lippen lesen; لَپخوانی کَردَن
- er zieht die Oberlippe hoch; لَب ِ بالايَش را وَر می چینَد
Lippenstift; ماتیک، روژلَب
liquid;
- er ist liquid; .او پول ِ مايِع دارَد، ـ پول ِ نَقد د
Liquidation (finanz.); نَقدینِگی، نَقدینه، بَرچیدِگی
liquidieren; کِسی را از مِیدان بِدَر کَردَن، ـ نابود کَردَن، ـ مُنحَل کَردَن، از دَست ِ کِسی خَلاص شُدَن
Liquidierter; تَصفیه شُده، اِعدام شُده
Liquidierung; تَصفیه، اِعدام
lispeln;
- er lispelt; زَبانَش گرفته است، لَکنَت دارَد
List (pl.); نیرَنگ، خُدِعه، حیله گَری، حُقه بازی، مَکید (مَکائِد)، تَرفَند
- überlisten; سَر و کیسه کَردَن
Liste; لیست، فِهرِست
- "schwarze Liste"; لیست ِ سیاه
- Namensliste; صورَت ِ اَسامی
- Rednerliste; فِهرِست ِ سُخَنرانان
- Wählerliste; فِهرِست ِ رأی دَهَندِگان
- Vormerkliste für Wohnungen; لیست ِ مُتَقاضیان ِ حائز ِ شَرايِط ِ سُکونَت
Listenwahl; اِنتِخاب ِ جَدوَلی
listig; روباه باز، نیرَنگ، با کِسی حیله کَردَن، حُقه باز
Liter; لیتِر
literarisch; اَدَبی
Literat (pl.);  (اَدیب (اُدَباء
Literatur; اَدَبیات
- jem. Literatur unterrichten; (umg.) با کِسی اَدَبیات کار کَردَن
Literaturkritik; سَنجِش ِ اَدَبیات، نَقادی ِ ـ، نَقد ِ اَدَبی
Literaturwissenschaft; عِلم ِ اَدَبیات
- vergleichende Literaturwissenschaft; اَدَبیات ِ تَطبیقی
Lithographie; چاپ ِ سَنگی
Liturgie; مَراسِم ِ عِبادَت
Litze;
- Hose mit Litze (Stresemannhose); شَلوار ِ يَراق دوزی شُده
Liveübertragung; پَخش ِ مُستَقیم ِ بَرنامه
livriert;
