da; آنجا
- was soll ich denn sagen? (popul.); آخه چى بِگَم؟
- warum denn nicht?; چِرا که نَه؟
- warum sagen Sie es denn nicht?; پَس چِرا نِمى گوئید؟
dennoch; ... ِ مَعَذالِک، با این حال، با وُجود ِ این، مَعَهٰذا، و حال ِ آنکه، با وَصف
Dentist; دَندان پِزِشک
Denunziant; غَماز، نَمام، چُغُل، خَبَر چین
Denunziation; نَمامى، بیغار
denunzieren; غَمازى کَردَن، سُخَن چینى ک.، زیر ِ حَرف ِ کِسى زَدَن
- jem. bei der Behörde denunzieren; جُرم ِ کِسى را به اِدارهٔ دولَت خَبَر دادَن
Depilation (mit Creme) (*:Haarentfernung); بَند اَنداختَن
deplaziert; بى جا
Deponie; مَحَل ِ آشغال
deponieren; به اَمانَت گُذاشتَن
Deportation; تَبعید
Deposit; سِپُرده، اَمانَت
Depot; اَنبار ِ ذَخائِر
- Heeresdepot; مَخزَن ِ لَوازِم
Depp; اَلدَنگ
Depression; غَم، فِشار ِ روحى، اَفسُردِگى
- wirtschaftliche Depression; کَساد ِ اِقتِصادى
deprimierend; مأیوس کُنَنده
- von den vielen deprimierenden Nachrichten sind wir ganz geknickt; از فَرط ِ اَخبار ِ مأیوس کُنَنده اى سَر بِزیریم
deprimiert; گِرِفته خاطِر، دِلگِران، واخورده
Deputation; هئیَت ِ نِمایَندِگی
Deputierter; مَبعوث ،نِمایَنده
Deputiertenkammer; مَجلِس ِ مَبعوثان، ـ نِمایَندِگان
derartig;
- es war ein derartiges Geschiebe; چِنان اِزدِحامى به راه اُفتاده بود
- sie begegneten einem derartigen Widerstand; با چِنان مُقاوِمَت مُتَوَجه شُدَند که
derb;
- derbe Gesichtszüge;  صورَت ِ ناهَنجار
- derber Bursche; آدَم ِ زُمُخت، ـ دُرُشت گو
- derbe Sitten; اَخلاق ِ خَشِن
- derbe Redensweise; چَخماقی حَرف زَدَن
- auf einen derben Klotz gehört ein derber Keil; کَلوخ اَندازرا پاداش ِ سَنگ است
dergleichen;
- und dergleichen mehr; و اَمثال ِ آن
Derivat; فَراوَرد
derjenige;
- derjenige, der ...; آن کِسى که، آنکه
derlei;
- derlei Sachen; این قَبیل ِ چیزها، اینجور ِ ـ
dermassen;
- dermassen sauber, dass ...; آنقَدر تَمیز که، آنچِنان ـ، بِقَدرى ـ، طورى ـ
Dermatitis; آماس ِ پوستى
derzeitig;
- derzeitige Situation; وَضیعَت ِ فِعلى، ـ حالى
des;
- am Abend des ...; ... ِ و شَب به پاس
- das Haus des ...; ... ِ خانهٔ مال
Desertation; تَرک ِ نِظام
Deserteur; سَرباز ِ فَرارى
desertieren;
- er ist desertiert; از خِدمَت ِ سَربازى دَر رَفته بود
deshalb; از اینکه، لِذا
- deshalb war ... wichtig; بِدین مَنظور ... مُهِم بود
- deshalb, weil sie eine Frau war, ...; چِرا که زَن بود
Design; طَرح، طَراحى، نَقشه، زینَت
Designer; طَراح
designieren; نامزَد کَردَن، تَعیین ک.، گُماشتَن
- designierter Nachfolger; جانِشین ِ مُنتَصِب، ـ مُنتَخِب
Desillusionierung; رَفع ِ تَخَیُلات
Desinfektion; گَند زِدائى، ضِد ِ عُفونى، دَفع ِ عُفونَت، پِلِشت بَرى
desinfizieren; ضِد ِ عُفونى کَردَن
desinteressiert; بى عَلاقه، بى طَمَع، بى تَفاوُت
desolat;
- er befindet s. in einem desolaten Zustand; او پَریشان حال است
- das Haus befindet s. in einem desolaten Zustand; خانه دَر حالَت ِ وِیرانى قَرار مى گیرَد
Desorganisation; اِختِلال ِ تَشکیلات
desorientiert; ناوارِد، غِیر ِ مَسبوق
despektierlich; بى حُرمَت، بى اِحتِرام، بى اَدَبانه
Despot; مُستَبدِ، جَبار، جابِر
Despotie; اِستِبداد، ظُلم، جَبر
despotisch;
- despotische Regierung; حُکومَت ِ خود کامه
Dessert; دِسِر
Destillation; چِکیدِگى، تَقطیر
destillieren; تَقطیر کَردَن
Destillierapparat; اَنبیق، دَستگاه ِ تَقطیر
Destillierkolben; قَرع و اَنبیق
destilliert;
- destilliertes Wasser; آب ِ مُقَطَر، ـ تَقطیر شُده
desto; هَر چه
- je höher, desto besser; هَرچه بُلَندتَر بِهتَر
deswegen;
- deswegen, weil; چونکه
Detail; (pl.)  (تَفصیل (تَفاصیل)، جُزئى (جُزئیات
- im Detail; صُغرا و کُبرا، جُزئى، مُفَصَلاً
- langsam fange ich an, die Details seines Lebens zu verstehen; کَم وبیش تَه و توی ِ زِندگی اش را دَر می آوَرَم
- vom Allgemeinen zum Detail; از کُل به جُزء، بِطور ِ مَفصَل، ـ تَفصیلى
Detailkenntnis; اِطِلاعات ِ جُزئى، ـ تَفصیلى
detailliert; مُفَصَل
Detektiv; کار آگاه، ـ مَراحین، مُفاتِش ِ تأمینات
Detektor;
- Metalldetektor; فِلِز یاب
Determinismus; جَبر، تَقدیر
Deut;
- keinen Deut weichen; از کِسى پاکَمى نداشتَن
deuten; تَعبیر کَردَن، توضیح دادَن
deutlich; روشَن، صَریح، آشکار
- deutlich machen, ausdrücken;  .اِبراز کَردَن، تَبَیُن ک.، حالى ک.، روشَن ک
- was ... so deutlich ausgedrückt hat; که ... با چِنان ظَرافَتى بَیان داشت
- er hat das ganz deutlich gesagt; صَریحاً این را گُفت
- er hörte das deutlich; این را به وُضوح شِنید
- das wurde mir deutlich; بَرایَم مَعلوم شُد که
- ihre Bemühung wird deutlich gemacht; تَلاش ِ آنها به نَقد و بَررِسى گُذاشته مى شَوَد
- deutlich reden; حِسابى حَرف زَدَن، شُمُرده ـ 
- deutlich schreiben; به خَط ِ جَلى نِوِشتن، خوانا نِوِشتَن
- deutlicher Beweis; دَلیل ِ واضِح، بُرهان ِ قاطِع
- etwas wird deutlicher; چیزى گویاتَر مى شَوَد
Deutlichkeit;
- in aller Deutlichkeit; با صَراحَت ِ تَمام
- er hörte mit voller Deutlichkeit; به وُضوح از ... شِنید که
- mit aller Deutlichkeit gab er den Befehl; به صَراحَت حُکم را داد
- etwas wird mit aller Deutlichkeit verkündigt; چیزى به صَراحَت اِعلام مى شَوَد
deutlichmachen;
- seine Worte machen deutlich, dass ...; از حَرفهایَش چِنین مَفهوم مى شَوَد که
deutsch; آلمانی
Deutscher; آلمانى
Deutschland; آلمان
Deutung; تَعبیر، تَفسیر
Devise; شُعار
Devisen; اَرز ِ خارِجى، اَرز، اَسعار
Dezember; ماه ِ دِسامبر
dezent; با سَلیقه
- er hat einen dezenten Geschmack; او آدَم با سَلیقه است
- er tritt sehr dezent auf; او خِیلى مُحتاط رَفتار مى کُنَد
- dezenter Geruch; بوى ِ خوشایَند
dezentralisieren; نامُتَمَرکِز کَردَن
Dezentralisierung; تَمَرکُز زِدائى
Dezimalbruch; کَسر ِ دَهدَهى، ـ اَعشارى
Dezimalwaage; قَپان ِ فَرَنگ
dezimieren; تَلَفات دادَن، کُشتن
- dezimiert werden; تَلَف شُدَن، کُشته ش.، تَلَفات ِ جانى
Dia; اِسلاید
Diabetes; ذیابیطوس، بیمارى ِ قَند
Diagnose; تَشخیص، شِناخت بیمارى
diagnostizieren; تَشخیص دادَن
diagonal; اُریب، قُطراً، مُوَرَب
- diagonal von einem Punkt zum anderen; از یِک نُقطه اُریب زَدَن به
- das Buch diagonal (schnell) lesen; کِتاب را سَریع (نَظَرى) خواندَن
Diagonale;  وَرب، قُطر
Diagramm; دیاگرام، نِمودار، تَرسیمیه، دَرنِگار
Diakon; شَماس، خادم ِ کلیسا
Diakonisse; شَماسه
Dialekt; لَهجه
Dialektik; دیالِکتیک، جَدَل
- Dialektischer Materialismus; ماتریالیزم ِ دیالِکتیک، مادهٔ آئینى ِ جَدَلى
Dialog; گُفت و شِنید، مُکالِمه، گُفتِگو، مُحاوِرهٔ دو نَفَرى
Dialyse; تَصفیهٔ خون، دیالیز
Diamant; اَلماس
diametral; مُخالِف، مُتَباعِد
- diametral entgegengesetzt; مُتَقاطى، کامِلاً مُختَلِف، مُبایِن بودَن، مِعارِض
Diaphragma; پرده میانى، دیافراگم
Diaprojektor; پروژکتور ِ اِسلاید
Diaskop; دَستگاه ِ پروژِکسیون
Diaspora;
- in der Diaspora leben;  .دَر گالوت بودَن، دَر پَراکَندِگى ب
Diät; پَرهیز ِ غذا، رِژیم
- er muss Diät einhalten; او بایَد رِژیم بِگیرَد، ـ داشته باشَد
- Diät verordnen; رِژیم دادَن
- Diäten der Politiker; حَق اُلزَحمهٔ نِمایَندِگان ِ مَجلِس، خَرج ِ مأموریَت
Dichotomie; نوعى ِ اِنشِعاب ِ ساقه
dicht;
- dichte Augenbrauen; اَبروى ِ کُلُفت
- er hat dichtes Haar; داراى ِ موى ِ پُر پُشت است
- dichter Nebel; مِه غَلیظ است
- dichtes Zelt; خِیمهٔ عایِق دَر مُقابِل ِ رُطوبَ
- der Schuh ist nicht dicht; کَفش نَم مى کِشَد
- der Stoff ist dicht gewebt; پارچه سِفت بافت است
- sie sitzen dicht beieinander; آنها خِیلى نَزدیک بِهَم مى نِشینَند، ـ چَسب  ِ چَسب ـ
- der Topf ist dicht; دیگ کیپ است
- dichter Wald; جَنگَل ِ اَنبوه
- jem. ist nicht ganz dicht; بالا خانه اَش را اِجاره دادَن
Dichte; تَراکُم، غَلظَت
- spezifische Dichte; جِرم ِ مَخصوص، وَزن ِ مَخصوص
- Bevölkerungsdichte; تَراکُم ِ نُفوس
dichten; شِعر نِوِشتَن
- abdichten; آب بَندى کَردَن
- Abdichten; آب بَندى
Dichter; (pl.) شاعِر (شُعَرا)، سُخَن سَرا
dichterisch; شِعراً
dichthalten; نَم پَس ندادَن
- er hält dicht; او لو نِمی دَهَد
dichtmachen;
- den Laden dichtmachen; دُکان را بَستَن
- ein Rohr dichtmachen; لوله را آب بَندى کَردَن
- das Schiff dicht machen (oder: dichtmachen); کِشتى را قِیر اَندود کَردَن
Dichtung;
- Dichtung, Gedicht; شِعر نِویسی، اَدَبیات ِ شِعری، شِعریَت
- Dichtung, Abdichtung; آب بَندی
- Dichtung & Wahrheit; خیالبافى و حَقیقَت
- Gummidichtung; واشِر
Dichtungsring; واشِر بَراى ِ آب بَندى، رینگ
dick;
- dick, umfangreich; ضَخیم
- dick, korpulent; جُسام، چاق و خِپله، تُپُل مُپُل
- dicker Baum; دِرَخت ِ سِتَبر
- dicker Stoff; پارچهٔ کُلَفت، ـ گُنده
- dick & fett; چاق و چِله
- dick, fett & faul; چاق و تَنبَل
- rund & dick; مُدَوِر و قُطور
- ich sah dicke Schneeflocken; دانه هاى پُفى ِ بَرف را دیدَم
- dicke Brillengläser; شیشهٔ قُطور ِ عِینَک
- hier ist dicke Luft; دَر اینجا هَوا پَس است
- mit X durch dick & dünn gehen; دَر سَراء و ضَراء هَمراه ِ کِسى ماندَن، بى چون و چِرا با فِلان اِقتِداء کَردَن
- das ist ein dicker Hund; هَضمِش نِمى شَوَد کَرد
Dickdarm; رودهٔ بُزُرگ، ـ قولون، مِعاء غِلاظ
Dicke;
- Dicke, Umfang; ضَخامَت، کُلُفتى، سِفتى
- Dicke, Beleibtheit; شَحامَت، چاقى
Dickenwachstum; رویِش ِ قُطرى
Dickerchen; تُپُلى، چاقالو
dicketun (s. -); گَرد و خاک خالى کَردَن، لاف زَدَن
dickfellig; بى عاطِف، از جُنب و جوش اُفتاده، بى رَگ، پوست ِ کُلُفت
- er ist gegenüber dem Leid anderer dickfellig; او دَر مُقابِل ِ دَردهای ِ دیگَر پوست ِ کُلُفتی دارَد
dickflüssig; غَلیظ، غیر سَیال، نیمه رَوان، چَسبَنده
dickhäutig; ضَخم اُلجِلد
Dickicht; بیشه، چَنگَل ِ پُر پُشت
dickköpfig; کَله شَق، چُموش، یِک دَنده، بَد قِلِق
Dickköpfigkeit; بَد قِلِقی، یِک دَندِگی
dickleibig; چاق، گنده، تَنومَند، پُف کَرده
Dickwanst; شِکَم گُنده، چِپله
- ist das ein Dickwanst!; یارو خیگه را ببین! ، عَجَب خیگى است
Didaktik; عِلم ِ تَعلیم، سَبک ِ تَعلیمى
- pädagogische Didaktik; عِلم ِ تَعلیم و تَربیَت
Dieb; دُزد، سارق، راهزَن
- Der Dieb, der mit dem Licht kommt, kann das beste mitnehmen; چو دُزد با چِراغ آمد گُذیدتَر بُرد کالا
- Kleindieb; آفتابه دُزد
Diebesgut; اَشیاء ِ مَسروقه
diebisch;
- s. diebisch freuen; از شادى دِلِش غَنج مى زَنَد
Diebstahl; دُزدى، سِرقَت، دَستبُرد
- einen Diebstahl begehen; دَستبُرد زَدَن
Diedrich; شاه کِلید
Diele; راهرو، کُریدور، هال، دالان
dienen;  .خِدمَت کَردَن، نوکَرى ک
- jem. dienen; کِسى را مُلازَمَت کَردَن
- bei Tisch dienen; پیشخِدمَتى کَردَن
- womit kann ich Ihnen dienen?; چه فَرمایِشى دارید؟
- wozu dient das?; این به چه دَردى مى خورَد؟
- der Zeuge dient dazu, dass ...; وُجود ِ این گُواهى باعِث ِ این بود که
- dienen zu ...; بَراى ِ ... بودَن، بَراى ِ ... فایده داشتَن
- dem Wohl des Menschen dienen; بَراى ِ خِیر ِ مَردُم بودَن، به نَفع ِ ـ
Diener; نوکَر، چاکِر، خادِم
- einen Diener machen; کُرنِش کَردَن، تَعظیم کَردَن
- Schuldiener; فَراش ِ مَدرِسه
dienlich; مُفید
- wozu ist das dienlich?; این به چه کار مى آیَد؟
- alles, was der Sache dienlich ist, ...; بَرای ِ هَرچه سودمَندتَر شُدَن ِ این موضوع
Dienst; خِدمَت، اِستِخدام
- Dienst nach Vorschrift; خِدمَت (طِبق ِ مُقَرَرات) حَد ِ اَقَل لازِم
- ich stehe zu Ihren Diensten; دَر خِدمَت ِ شُما هَستَم
Dienstag; سه شَنبه
Dienstalter; سابِقهٔ خِدمَت، سَنَوات ِ خِدمَت
- dienstältester Diplomat; پُرسابقه تَرین دیپلمات
Dienstanweisung; دَستور اُلعَمَل ِ اِدارى
dienstbeflissen;
- s. dienstbeflissen, unterwürfig zeigen; خودرا چاکِر مَآب نِشان دادَن
Dienstbefreiung; مُعافیَت از خِدمَت
Dienstbereich; حوزهٔ اَقدامى، حوزهٔ صَلاحیَت
Dienstbote; فَراش
Diensteid; سوگَند ادارى
dienstfertig; خوشخِدمَت، نوکَر صِفَت، حاضِر به خِدمَت
dienstfreudig; دَست به سینه
Dienstgrad; دَرَجهٔ اِداری، رُتبهٔ اِداری
diensthabend;
- diensthabender Offizier; اَفسَر ِ کَشیک
Dienstherr; کارفَرما
- er ist Dienstherr; او صاحِب ِ خَدَم و حَشَم است
Dienstjahre; سَنَوات ِ خِدمَت
Dienstleistung; اَنجام ِ خِدمَت
Dienstleistungsbereich; بَخش ِ خَدَمات
Dienstmädchen; کُلفَت
Dienstpflicht; دَستور اُلعَمَل
Dienstreise; مُسافِرَت ِ اِدارى
Dienstvergehen; عَدَم ِ رَعایَت ِ اُصول نَظم و مُقَرَرات ِ اِدارى
Dienstweg;
- auf dem Dienstweg; از طَریق ِ اِدارى
Dienstzeit;
- in seiner langen Dienstzeit; دَر خَلال ِ خِدمَت ِ طولانیش
dies; این
- dies & das; این و آن
- er tut dies, und ich das; او چِنان مى کُنَد و مَن چِنین
- über dies & jenes reden; از هَر دَرى صُحبَت کَردَن
Diesel; گازایل، گازوئیل
Dieselmotor; مُتُر ِ دیزِل
dieser;
- in diesem Augenblick; دَر هَمین لَحظه
diesig; هَواى ِ دَم دار، ـ مِه دار، ـ بُخار آلود
diesseits; این طَرَف
- diesseits & jenseits; این طَرَف و آن طَرَف، این وَر و آن وَر
diffamieren;  .کِسى را بَدنام کَردَن، ـ بى آبرو جِلوه دادَن، ـ رُسوا ک
Diffamierung; تُهمَت، بَدگوئى، هَتک ِ شَرَف
Differential;
- Differential (mathem.); تَفاضُل، اِفتِراق
- Differential (beim Auto); دیفِرِنسیال
Differentialgetriebe; دَنده هاى ِ دیفِرِنسیال
Differentialgleichung; مُعادلهٔ دیفِرِانسیل، حِساب ِ فاضله
Differenz;
- Differenz, Fehlbetrag; ... ِ نَقیصه، اِختِلاف ما بِین
- Differenz, Unterschied; اِختِلاف، فَرق، تَفاوُت
differenzierbar; قابِل ِ تَشخیص، مُشتَق دار
differenzieren; فَرق قائِل شُدَن، جُدا کَردَن، مُشتَق گِرِفتَن
Differenzierung; فَرق، اِنشِعاب، مُشتَق گیرى
diffundieren; نفوذ کَردَن، به بیرون ریختَن
diffus; پَراکَنده، مُبهَم
- er redet diffuses Zeug; حَرفِش بى رَبط است
Diffusion; پَراکَندِگى، پَراکَنده شُدَن ِ مُلِکولها، پَخش
Diktat; دیکته
- Diktat von Versailles; قَرارداد ِ تَحمیلى وِرساى
- Friedensdiktat; تَحمیل ِ صُلح
- Preisdiktat; تَحمیل ِ قیِمَت
Diktator; مُستَبِد
Diktatur; دیکتاتورى، خودکامِگى، اِستِبداد
diktieren;  .دیکته کَردَن، اِملا ک
Dilemma; مَحظور، بى راهى، شَق، ناگُزیرى، دَرگیرى
Dilettant; آدَم ِ بى عُرضه
Dill; شِوید
Dimension; (pl.) بُعد (اَبعاد)، اَندازه
- dreidimensional; اَبعاد ِ ثَلاثه، سه بُعدى
dimmen; چِراغ را پایین کِشیدَن
Ding; چیز، شِى
- ein Ding der Unmöglichkeit; شیر ِ مُرغ و جان آدَمیزاد
- aller guten Dinge sind drei; تا سه نَشه بازى نَشه، سه لِنگه سه پایه دارَد
- guter Dinge sein;  .شاد و شَنگول بودَن، شاد و خُرَم ب
- die Dinge liegen gut; کار و بارِش بَد نیست
- das Ding lief nicht günstig; کار ِ مَن به دَست اَنداز اُفتاده
- vor allen Dingen; قَبل از هَر چیز
dingen (jem. -); کِسى را اَجیر کَردَن، ـ به خِدمَت گِرِفتن
dingfest;
- jem. dingfest machen; کِسى را دَستگیر کَردَن
Dinosaurier; دینوزور
Diphterie; حُناق، دیفتِری
Diplom; فوق ِ لیسانس، دیپلُم
- er ist Diplombiologe; او دارای ِ فوق ِ لیسانس ِ زیست شِناسى است
- Vordiplom; زیر دیپلُم
Diplomat; دیپلُمات
diplomatisch;
- diplomatisch vorgehen; سائِسانه عَمَل کَردَن
- ein diplomatischer Mensch; یِک آدَم ِ مُدَبِر
- er fing es ganz diplomatisch an; او تَدبیر به کار میبرُد که
direkt; مُستَقیم، بى واسِطه، بِلافَصل، یِکراست، یِکسَره
- direkter Nachkomme; فَرزَند ِ صُلبى
Direktion; ریاسَت، مُدیریَت
Direktive; دَستور
Direktor; (pl.) رَئیس (رُؤساء)، مُدیر
Direktorat; مُدیریَت
Direktorin; خانُم مُدیر
Direktorium; شوراى ِ مُدیران
Direktwahl; اِنتِخاب ِ مُستَقیم
Dirigent; رَهبَر ِ اُرکِستر
dirigieren; رَهبَرى کَردَن
Dirigismus (wirtschaftlicher -); اِرشاد ِ اِقتِصادى
Disharmonie; ناموزون بودَن ِ ..، ناهَماهَنگى
Diskette; دیسکِت
Diskont; تَنزیل، تَخفیف
Diskontgeschäft; مُعامِلهٔ سَلَف
Diskontsatz; نُزول ِ بانکى
diskreditieren; آبروى ِ کِسى را بُردَن، کِسى را بى اِعتِبار کَردَن
Diskreditierung; آبروریزى
diskret;
- diskrete äusserung; اِظهار ِ مُحتاطانه، ـ رازدار، ـ مَخفیانه
Diskriminierung; تَبعیض
- Rassendiskriminierung; تَبعیض ِ نِژادى
Diskurs; مُکالِمه
Diskussion; بَحث، مُباحِثه، گُفتِگو
- zur Diskussion stellen; به بَحث گُذاشتَن
- ... wurde zur Diskussion gestellt; ... به بَحث گُذاشته شُده است
- seinen Wunsch öffentlich zur Diskussion stellen; آرِزوى ِ خودرا به مَنَصهٔ ظُهور رِسانیدَن
diskussionsreif; قابِل ِ بَحث
Diskuswerfen; پَرتاب ِ دیسک
diskutabel; قابِل ِ بَحث
diskutieren; بَحث کَردَن، تَبادُل ِ نَظَر کَردَن
- kritisch etwas diskutieren; چیزى را دَر مَعرَض ِ جَرح و نَقد گُذاشتَن
diskutiert; مَطروح
dispensieren; کِسى را از چیزى مُعاف کَردَن
disponieren;
- er ist heute gut disponiert; او اِمروز سَر ِ حال است
- er ist nicht disponiert (z.B. zum Singen); او بَراى ِ خواندَن سَر ِ دَماغ نیست، ـ آمادِگى نَدارَد
- wie haben Sie über Ihr Geld disponiert?; پول ِ خودِتان را چه قِسم به مَصرَف رِساندید؟
- für eine Krankheit disponiert sein; بَراى ِ مَرَض مُستَعِد بودَن، ـ اِستِعداد داشتَن
Disposition;
- jemandem zur Disposition stehen; دَر اِختیار سَر ِ کار بودَن، حاضِر ِ خِدمَت بودَن
- jem. für etwas zur Disposition stellen; کِسى را مُنتَظِر ِ خِدمَت کَردَن
Disput; مُجادِله، بِگو مَگو، مُرافِعِه
- Disput fängt an; مُرافَعِه به راه میاُفتَد
- wir hatten einen Disput; مَن و او حَرفِمان شُد
Disputierkunst; عِلم ِ جَدَل
Disqualifikation;  سَلب ِ صَلاحیَت، ـ اِمتیاز
disqualifizieren;
- jem. im Sport disqualifizieren; کِسى را از مِیدان ِ وَرزِش بیرون کَردَن
- er hat s. selbst disqualifiziert; با این عَمَل، خودرا سَلب ِ صَلاحیَت کَرد، ـ از اِعتِبار اَنداخت
Dissertation; تِز، رِسالهٔ دُکتُرى
Dissident; مُخالِف، مُعانِد
Dissonanz; بى آهَنگى، ناسازِگارى
Dissoziation; عَمَل جُدا کَردَن
Distanz; مَسافَت، فاصِله
distanzieren;
- s. von etwas distanzieren; خودرا دور کَردَن از، فاصِله گِرِفتَن از، از چیزى مُنصَرِف شُدَن، ـ کِنار کِشیدَن
Distel; خار، خارخَسَک
Distrikt; حومه، مَنطَقه
Disziplin; اِنضِباط، نَظم و تَرتیب
Disziplinarstrafe; تَنبیهٔ اِنضِباطى
Disziplinarverfahren; مُحاکِمهٔ اِدارى، ـ تأدیبى
diszipliniert;
- ein disziplinierter Mensch; آدَم ِ خوددار
disziplinlos; بى ضَبط و رَبط، عِنان گُسیخته
divergent; واگِرا
Divergenz; مُبایَنَت، تَباعُد، واگِرائى، اِنحِراف، دورى، تَفاوُت، تَبایُن
divergierend; مُبایِن، مُنحَرِف
Diverses; مُتَفَرِقه، اَقسام و اَنواع
diversifizieren;  .مُتَنَوِع کَردَن، گوناگون ک
Dividende; سود، سَهام، سَهم
dividieren; تَقسیم کَردَن
Division;
- Division (mathem.); عَمَل ِ تَقسیم
- Division (Militär); لَشگَر
doch; چِرا، به هَر حال
- wenn ich doch könnte; اِیکاش میتَوانِستَم
- zieh doch in Betracht; هان مُلاحِظه نَما
- du bist doch kein Kind mehr; تو که دیگه بَچه نیستى
- lass das doch sein; دیگه وِلِش کُن، وِل کُن دیگه
- du weisst doch, ... (popul.); آخه میدونى
- du kommst doch?; تو که مى آئى؟
- hätte ich doch; کاش که
- wo doch; چِرا که
- wenn ich doch bloss ...;  ... کاش مَن
- obwohl .., hat er doch wieder; با وُجود ِ اینکه ... باز هَم این ... را کَرد
- du hast doch nicht gestohlen?; مَبادا دُزدى کَردى؟
Docht; فَتیله
Dock; تَعمیرگاه ِ کِشتى
Dogma; عَقیدهٔ جَزمى، دُگم
- religiöses Dogma; شَریعَت ِ جامِد، اُصول ِ دینى
dogmatisch; جَزمى، آمِرانه، جازِم، حُکمى
Dohle; زاغچه، کَلاغ ِ پیشه
Doktor; طَبیب، دُکتُر، پِزِشک
Doktorarbeit (*:Promotion); پایان ِ نامهٔ دُکتُرا
Doktrin; آئین
- Parteidoktrin; دُکترین ِ حِزبى، آموزهٔ ـ، آئین ِ ـ
Dokument; (pl.) مَدرَک، سَنَد (اَسناد)، دَستاویز
Dokumentarfilm; فیلم ِ مُستَنِد
Dokumentationszentrale; مَرکَز ِ اَسناد
dokumentiert; مُستَنِد، ثابِت شُده
Dolch; خَنجَر، قَمه
Dolchstosslegende; اَفسانهٔ خَنجَر زَنى از پُشت
Dolde; گُل آذین چَنبَرى، ـ چَترى
Doldenblütler; چَتریان
Dollar; دُلار
dolmetschen; تَرجُمه کَردَن
Dolmetscher; مُتَرجِم
- vereidigter Dolmetscher; مُتَرجِم ِ قَسَم خورده
domestizieren;  .خانِگى کَردَن، اَهل ک.، رام ک
Domestizierung; اَهلیَت
dominant; غالِبانه
- Beziehung der dominanten und rezessiven Gene; رابِطهٔ غالِب و مَغلوبى ژِنها
dominierend; مُشرِف، مُسَلَط، غالِب
- die Medizin war so ein dominierender Faktor in seiner Familie; پِزِشکى اِنگار سَرنِوِشت ِ مَحتوم خانِواده اش بود که
Domizil; قَرارگاه
Dompteur; رام کُنَنده
Donner; صاعِقه، تُندَر، رَعد
- grollender Donner; رَعد ِ غُرَنده
- ihn rührt der Donner; دَرجا خُشکِش مى زَنَد
- s. vor Donner fürchten; از آسمان فُرُنبه تَرسیدَن
- wie vom Donner gerührt; یَکه خورده
donnern; رَعد زَدَن
- Donnern; غُرِش، رَعد
Donnerstag; پَنجشَنبه
Doping; تَحریک با دارو، دوپینگ
Dopingmittel; مَواد ِ نیروزا
Doppelbereifung; لاستیکهاى ِ جُفتى
Doppelbesteuerung; مالیات ِ مُضاعِف
Doppelbett; تَخت ِ دو نَفَره
Doppelboden; کَف ِ مُضاعِف
Doppeldecker; هَواپیماى ِ دو بالى
doppeldeutig; دوپَهلو
Doppelfenster; پَنچَرهٔ دو دَره
Doppelgänger; آدَمى که کامِلاً شَبیه کِسى دیگر است، کِسى با کِسى دیگر مو نِمیزَنَد
Doppelgleisigkeit; دوراهِگى
Doppellaufflinte; تُفَنگ ِ دو لول
doppelsinnig; دو مَعنى دار
Doppelspirale; یِک مارپیچ ِ مُضاعِف شُده
doppelt; مُثَنىٰ، مُضاعِف، دو بَرابَر
- Stoff in doppelter Breite; پَرچه دولا عَرض
- doppelte Buchführung; دَفتَردارى ِ مُترادِف
- er verkauft die ... zum doppelten Preis wie im Laden; به دو بَرابَر ِ قِیمَت ِ مَغازه ها میفُروشَد، دولا پَهنا پولَش را می گیرَد
- doppelt gemoppelt hält besser; از مُحکَم کارى آدَم ضَرَر نِمى بینَد
- verdoppelt; دو چندان، دو بَرابَر
- seinen Reichtum verdoppeln; ثِروَت را دو بَرابَر ثِروَت ِ قَبلى اش رِساندَن
Doppelzüngler; سالوس، دورو
Dorf; (tadj.) قِشلاق)، روستا، دِه، قَریه)
- das sind böhmische Dörfer; هَمه اش هَم دَر بارهٔ اِسرار ِ عِلم ِ کیمیا و لیمیا است
Dorfchef; کَدخُدا، دِهبان، مُتَصَدى ِ اُمور ِدِه
Dörfler; روستائى، اَهل ِ دِه، دِهنِشین
Dorfregion; دِهِستان
Dorn; خار، تیغ
- Dornen & Stroh; خار و خَس
Dornenhecke; خاربَست، دِرَخت ِ تیغدار
Dornröschenschlaf;
- aus einem Dornröschenschlaf erwachen; از خواب ِ قُرون بیدار شُدَن
Dörrobst;  میوهٔ خُشک، خُشکبار
Dorsch; صوف ِ دَریائى
dort; آنجا
Dose; قوطى
dösen; پینَکى زَدَن، ـ رفتن، نیمه خواب بودَن، چُرت زَدَن
Dosenöffner; قوطى ِ بازکُن
dosieren; اَندازه گِرِفتَن، پیمانه کَردَن
Dosis (einer Arznei); واحِد ِ داروئى، مِقدار ِ ـ
Dossier; پَروَنده، دوسیه
Dotter; زَردهٔ تُخم ِ مُرغ
Dozent; دانِشیار
dozieren; دَرس دادَن
Drache; اَژدَر، اَژدَها
Drachen (Kinderspielzeug); بادبادَک
drachenartig; اَژدَها پِیکَر
Drachensteigen; بادبادَکى
Draht; مَفتول، سیم
- er hat einen direkten Draht zu ...; رابطهٔ مُستَقیم با ... دارَد
- der ist auf Draht; اَهل ِ بَخیه، او چُست و چالاک است
Drahtbürste; فُرچهٔ سیمى، جاروبَک ِ سیم
drahtlos; بیسیم
Drahtschneider; سیم چین، قِیچى ِ سیم بُرى
