e (Vokal über Konsonant); عَلامَت ِ کَسرَه
einige;
- einige Leute; تَنى ِچَند، بَرخى از مَردُم، بَعضیها
- mit einigen der Leser; با تَنی ِ چَند از خوانَندِگان
- einige waren es, ...; عِده اى بود، اَندى بودَند
- einige Zeit danach; چَندى ِ بَعد
- tausend plus einige; هِزار و اَندى
- in einigen Fällen; دَر مَوارِدى ِ چَند، دَر چَند مورِد
- vor einiger Zeit; چَند مُدَتى پیش، چَندى ِ قَبل
einigeln (s. -); دَر لاک ِ خود بودَن 
- sie igeln s. total ein; آنها کامِلاً دَر لاک ِ خود فُرو می رَوَند
einigen;
- s. einigen über; با هَم تَوافُق کَردَن
- s. vorher (unerlaubterweise) einigen; از پیش تَبانى کَردَن که
einigermassen (*: ziemlich); نِسبَتاً
- seine Schmerzen gingen einigermaßen zurück; دَردِش بِفَهمی نَفَهمی ساکِت تَر شُد
Einigung; تَوافُق، اِتِحاد، سازِش
einjagen;
- .. ihm Furcht einjagte; اورا مُتَوَحِش کَرده ...
einkalkulieren; روى ِ چیزى حِساب کَردَن،  چیزى را بِحِساب آوَردَن، پیش بینى کَردَن
einkassieren (*: eintreiben);  .مالیت را وُصول کَردَن، ـ اَخذ ک
- Betrag, den ich für den Unterricht einkassierte; مَبلَغى که از تَدریس عایِدَم میشُد
Einkauf; خَرید، اِبتیاع
einkaufen; خَرید کَردَن، خَریدارى ک.، خَریدَن
- einkaufen gehen; بَراى ِ خَرید رَفتَن
Einkäufer; مُشتَرى، خَریدار
Einkaufswagen; کالِسکه خَرید، چَرخ ِ دَستى ِ ـ
Einkaufszettel; صورَت ِ خَرید
einkeilen; کِسى را گیر کَردَن
einkellern; چیزى دَر زیر زَمین جا دادَن
einkerben; شَیار دَر آوَردَن، فاق دادَن
- eingekerbt; کُنگره دار، دالبُر
Einkerbung;
- ... hat eine Einkerbung hinterlassen;  خَط اَنداخته بود ...
Einkerkerung; دُستاق، حَبس، دَستگیرى
einkesseln (*: belagern); مُحاصِره کَردَن
Einklang; وَفاق، تَوافُق، مُوافِقَت، هَماهَنگى
- s. mit .. in Einklang bringen; خودرا با .. وَفق دادَن، ـ هَماهَنگ کَردَن، ـ سازِش دادَن
- diese Dinge sind im Einklang mit ..; این چیزها با ... وَفق مى دَهَند
einklemmen;
- s. den Finger einklemmen; اَنگُشت لاى ِ ... گیر کَردَن
einklinken;
- du musst die Tür einklinken; تو بایَد جِفت ِ دَررا بیَندازى
einknicken;
- der Aktienkurs ist eingeknickt; نِرخ ِ سَهم کاهِش یافت
- mein Fuss ist eingeknickt; سِکَندَرى رَفتَم
Einkommen; دَر آمَد، حُقوق
- Jahreseinkommen; ... ِ عایِدات ِ سالى، حُقوق
Einkommenssteuer; مالیات ِ بَر دَرآمَد
einkreisen (bei Jagd); جَرگه کَردَن
Einkreisung; اِحاطه
- Politik der Einkreisung; سیاسَت ِ مُحاصِره
einkremen; کرِم زَدَن
Einkunft; دَر آمَد، دَستمُزد، حُقوق
- erwartete Einkünfte; عایِد ِ(عَوایِد) مَنظوره 
einladen; دَعَوَت کَردَن
- das Auto einladen mit Waren; چیزى را دَر ماشین بار کَردَن
- jem. zu s. einladen; کِسى را پیش خود دَعوَت کَردَن
- jem. zum Kaffe einladen; کِسی را به قَهوه مِهمان کَردَن
- Interessierte werden eingeladen, teilzunehmen; از عَلاقِمَندان به شِرکَت دَعوَت مى شَوَد
- wenn sie eingeladen sind, dann ...; دَر مِهمانى، ایشان را
Einladung;
- auf Einladung von ...; ... ِ بِدَعوَت
- morgen habe ich eine Einladung zum ...; فَردا به ... دَعوَت دارَم
Einladungskarte; کارت ِ دَعوَت
Einlage;
- Einlage, Deposit; سِپُردهٔ بانکى، وَدیعه
- Einlage im Schuh; کَفهٔ داخِل ِ کَفش
Einlagerung;
- Einlagerung von atomaren Brennstoffen; سوخت گُذاری دَر قَلب ِ راکتور ِ نیروگاه ِ هَسته‌ای 
Einlass; اِجازهٔ وُرود، ـ دُخول
- s. in vollem Bewusstsein auf etwas einlassen; با وُقوف به چیزى تَن دادَن
- lass dich nicht mit ihm ein; سَر به تَنَش نَباش
- er lässt s. auf nichts ein; او جائى نِمى خوابَد که آب زیرِش بِرَوَد
Einlauf (medizin.); حُقنه، آب ِ اِماله
einlaufen;
- einlaufen (Wäsche); آب رَفتَن، تَنگ و کوتاه شُدَن
- die Dinge müssen s. einlaufen; کار بایَد بِجَریان بیُفتَد
- die Maschine muss s. einlaufen; ماشین بایَد اَوَل گَرم بِشَوَد
- Einlaufen (der Wäsche); آب رَفتِگى
einläuten; زَنگها چیزى را اِعلام کَردَن
- die letzte Runde einläuten; ضَربه نَهائى را زَدَن
einleben (s. -); به .. عادَت کَردَن، سازگار شُدَن، تَطابُق کَردَن، وارِد شُدَن
Einlegearbeit; مُنَبَت کارى، خاتِم کارى
- Einlegearbeit (Holz); مُعَرَق
- Einlegearbeit (Gold); زَر نِشانى
- Einlegearbeit (Juwelen); مُرَصَع کارى
einlegen;
- Gurken einlegen; تُرشى ِخیار اَنداختَن
- eingelegte Gurken (in Salz); خیار ِ شور
- in Essig einlegen; سِرکه کَردَن، تُرشى گُذاشتَن
- eingelegter Fisch; ماهی ِ نَمَک سود
- ein gutes Wort einlegen; شَفیع کِسى شُدَن
einleiten;
- eine Sache einleiten; پاپیش گُذاشتَن
- einleitende Melodie; آهَنگهاى ِ مُقَدَماتى، ـ اِفتِتاحى
- einige einleitende Worte zum Thema; چَند تا کَلَمه بَراى ِ وُرود به مَطلَب
Einleitung; مُقَدَمه، سَرآغاز، شُروع
einlernen; به کِسى آموختن، ـ یاد دادَن
einleuchtend; مُوَجَه، روشَن، صَحیح
- einleuchtende Erklärung; بیان ِ مُوَجَه، ـ حِسابى، ـ قابِل ِ فَهم
einliefern;
- jem. ins Krankenhaus einliefern; کِسى را به بیمارِستان تَحویل دادَن
Einlieferung; تَحویل
Einlieferungsschein; رِِسید ِ تَحویل
einliegend;
- einliegend im Brief sende ich ...; لَفاً اِرسال مى شَوَد
einlösen;
. Scheck einlösen; چِک نَقد کَردَن
- Versprechen einlösen; قول ِ خودرا ایفاء کَردَن، ـ به اَنجام رِسانیدَن
Einlösung;
- Einlösung eines Versprechens; بسَر بُردِگى، ایفاء
einlullen;
- jem. einlullen; کِسى را با ناز و نَوازَش فَریب دادَن
- einlullen, einschläfern; کِسى را دَر رِخوَت اَنداختَن، بَراى ِ بَچه لالائى گفتن، خواب کَردَن
- er lässt s. wegen ... nicht von ihr einlullen; او بِخاطِر ِ ... مَجیز او را نِمى گویَد
einmachen;
- Obst einmachen;  .میوه را مُرَبا کَردَن، ـ تُرشى ک
einmal;
- einmal (i.S. früher); (یِک وَقت (ـ ى)، یِک روز( ـ ى
- einmal, wenn ... dann ...; هَمینکه
- einmal im Monat; ماهى یِکبار، ـ یِکمَرتَبه
- hast du erst einmal den Moment verpasst; فُرصَتى را که از دَست دادى
- es gab nicht einmal einen Apfel; سیب هَم نَبود، دَریغ از یِک سیب که بود
- auf einmal; یِکجا، یِکسَره، یِکهو
- alles auf einmal verkaufen; هَمه را یِک قَلَم فُروختَن
- 2 Stufen auf einmal; دو پِله یِکى کَردَن
- man kann nicht 2 Sachen auf einmal tun; این دو کاررا دَر یِک واحِد نِمى تَوان کرَد
- auf einmal konnte er das; یِک دَفعه وارِد شُد، یِکهو ـ
Einmaleins;
- das Einmaleins; جَدوَل ِ ضَرب
- grosses Einmaleins; ضَرب ِ چَند رَقَمى
- kleines Einmaleins; ضَرب ِ یِک رَقَمى
- mit X das Einmaleins üben;  فِلان را مَشق ِ ضَرب دادَن
einmalig; فَرید، بى نَظیر، یِکمَرتَبه اى، یِکبارى
- einmaliger Erfolg; توفیق ِ یِگانه
- einmaliges Erlebnis; خاطِرهٔ بى نَظیر
- ihre einmalige (i.S.: nur einmal) Mahlzeit; خوراک ِ یِک وَعدهٔ ایشان
Einmarsch; وُرود ِ اَرتِش، تَصَرُف
einmischen (s. -);  .میانجیگَرى کَردَن، دِخالَت ک
- jem. mischt s. ein; کِسى به میان مى پَرَد
- sie mischen s. nicht ein; آنها نَه به خِیر ِ هَم می زَنَند و نَه به شَر ِ هَم
- Misch dich da nicht ein!; قاطى ِ این جور کار نَشو
einmünden;
- einmünden in; مُلتَقى شُدَن به
Einmündung; دَهانه، مَحَل ِ وُرود، مَصَب
einmütig; مُتَفِقاً، یکدِل، یِکرأى، بِاِتِفاق آراء، هَماهَنگ، مُتَفِق اُلقول، ـ اُلرأى
Einmütigkeit;
- es besteht Einmütigkeit darüber, ..; ... ِ پَس اِتِفاق ِ آراء هَست دَر مورِد
- .. in der Schaffung der Einmütigkeit einen grossen Anteil hatte; دَر ایجاد یِکپارچِگى سَهم ِ بُزُرگى داشت، ـ یِکدِلى ـ
Einnahme; (pl.)  (عایِد (عایِدات
- Einnahme eines Landes; تَصَرُف ِ کِشوَر
- Einnahmen & Ausgaben; دَخل و خَرج، مَداخِل و مَخارِج، دَریافت و دَررَفت
- Einnahmen & Nebeneinnahmen; عایِد و مُداخِل
einnehmen;
- Position einnehmen; موضِع را گِرِفتَن
- Haltung einnehmen; موضِعى را اِتِخاذ کَردَن
- Platz einnehmen; جا گِرِفتَن
- an der Seite von X Platz einnehmen; خودرا دَر طَرَف ِ فِلان جا دادَن
- jem. für s. einnehmen; کِسى را دَر خود گِرِفتَن
- wer ausgibt, muss erst einnehmen; کِسى که خَرج دارَد بایَد دَخل هَم داشته باشَد، چو دَخلت نیست خرج آهِسته تَر کُن: سَعدى
- er nimmt eine gleichgültige Haltung ein; حالَت ِ بى تَفاوُتى به خود مى گیرَد
- er nahm Brot mit Tee ein; نان با چائى صَرف کرَد
- er nimmt das Essen für s. alleine ein; او به خود صَرف ِ غَذا مى کُنَد
- er ist für mich eingenommen; مَن به او خِیلى جالِب شُدَم، مُحَبَتَش نِسبَت به مَن بیش از پیش شُده است
- er ist von s. eingenommen; او خودِش را سَخت پَسَندیده است، او خود پَسَند است
einnehmend;
- er hat ein einnehmendes Wesen; آدَم با رَفتار جَذاب، خوش سَر و زَبان بودَن
einnicken; چِشم گَرم  ِخواب کَردَن، خواب رَفتَن، پینَکی رَفتَن
- er ist eingenickt; چِشمِش گَرم ِ خواب شُد، خواب رَفته بود، خوابَش بُرد
einnisten;
- s. einnisten (örtlich & übertragen); مُستَقِر کَردَن، جاى گیر شُدَن، ریشه گِرِفتَن، آشیانه کَردَن
- in ihm hat s. die Furcht eingenistet; دَر دَرون ِ خود تَرس خانه کرَده است
Einöde; بیراهه، خاکبار، بادیه
einordnen; رَده بَندى کَردَن، مُرَتَب ک.، چیزهارا سَر ِ جایَش گُذاشتَن
- s. in den Verkehr einordnen; به نوبتَ مَسیر ِ خودرا گِرِفتَن
- Verträge einordnen; به قَراردادها ضَبط و رَبط دادَن
einpacken;  .بَسته بَندى کَردَن، بار بَندى ک
- Bücher einpacken; کُتُب را بَسته بَندى کَردَن
- du kannst echt einpacken; ماستَت را کوزه کُن
Einparteiensystem; نِظام ِ تَک حِزبى، رِژیم ِ ـ
einpassen; قالِب شُدَن، دُرُست دَر چیزى جا شُدَن
- etwas einpassen;  .چیزى را جا اََنداختَن، ـ جاسازى کَردَن، ـ تَنظیم ک
- das passt s. gut ein; خوب جا مى اُفتَد
einpferchen; چَپاندَن
einpflanzen;
- jem. etwas einpflanzen; چیزى را دَر کِسى نِشاندَن
einpferchen;
- sie war in einem engen Kleid eingepfercht; بَدَنِش دَر لِباس تَنگ اُفتاده
einprägen (s. -); ذِهنى کَردَن
- jem. etwas einprägen; چیزى را به کِسى خَرفَهم کَردَن، ـ تَلقین ک.، دَر ذِهن کِسى جایگیر ک.، اِصرار ک.، ـ مُؤکَد دادَن
- s. im Gedächtnis einprägen; دَر یاد ِ آدَم نَقش بَستن، ـ زَدَن
- s. das Thema einprägen; مَطلَب را مَلَکه کَردَن، ـ دَر خاطِر خوب ضَبط کَردَن
- er hat es s. eingeprägt; ذِهنى اَش شُده
einprägsam; ذِهن نِشین
einquartieren; کِسى را مَسکَن دادَن، ـ نِشاندَن
einrahmen; قاب گِرِفتَن، ـ اََنداختَن
einräumen; جابِجا کَردَن
- Kredit einräumen; به کِسى اِعتِبار دادَن
- jem. Platz einräumen; کِسى را جا دادَن
- Vorrecht einräumen; اِمتیازى قائِل شُدَن
einreden;
- s. etwas einreden;  .به چیزى اِلقاء کَردَن، ـ تَلقین ک
- auf jem. einreden; هِى به کِسى گفتن
einreiben; مالیدَن
einreichen;
- Rechnung einreichen; صورَت ِ حِساب را تَحویل دادَن
- Rücktritt einreichen; اِستِعفا را تَسلیم کَردَن
- beim Sekretariat einreichen; به دَبیر ِ خانه تَقدیم کَردَن
einreihen (s. -); نوبَت گِرِفتَن
einreisen; داخِل ِ کِشوَر شُدَن، تَشریف آوَردَن
Einreiseerlaubnis; اِجازهٔ وُرود
einreissen;
- s. den Nagel einreissen; سَر ِ ناخُن را کَندَن
einrenken (s. -); جا اُفتادن
- ein gebrochenes Bein einrenken; پاى ِ شِکَسته را جا اََنداختَن
einrichten;
- einrichten, in Betrieb nehmen; دایِر کَردَن
- eine Sache, z.B. Wohnung einrichten; سامان دادَن
- ihr Leben einrichten; زِندِگى ِ ایشان را سَر و سامان دادَن
- s. auf etwas einrichten; خودرا بَراى ِ چیزى آماده کَردَن
- eine Sache so einrichten, dass ..; تَرتیب ِ چیزى را طورى بِدَهَند که
- ich werde es so einrichten, dass; طورى تَرتیب مى دَهَم که
- ein Postfach einrichten; صَندوق ِ پُستى تَرتیب دادَن
- eingerichtet werden, in Betrieb genommen werden;  .دایِر شُدَن، تَعبیه ش
Einrichter; سامان دَهَنده
Einrichtung;
- Einrichtung, Institution; مؤِسِسه
- Bühneneinrichtung; لَوازِم ِ صَحنه، تَزئین ِ ـ
einritzen; .چیزى را حَک کَردَن، ـ حَکاکى ک
einrollen; لوله کَردَن، پیچیدَن
- s. einrollen (z.B.: zum Schlafen); چَنبَر زَدَن
- legte ein eingerolltes Tuch unter seinen Kopf; یِک پارچهٔ چَنبَره زیر ِ سَرَش گُذاشت
- ein (in sich) eingerollter Körper; یِک بَدَن ِ چَنبَره زَده
einrücken;
- Absatz einrücken; قِسمَت را گُنجاندَن، ـ داخِل کَردَن
- Armee rückt ein; وارِد ِ کِشوَر شُدَن، کِشوَر را اِشغال کَردَن
eins; یِک
- die Nummer Eins sein; یَکه تاز بودَن
einsacken;
- im Boden einsacken; دَر خاک فُرو رَفتَن
- etwas einsacken; چیزى را قَبضه کَردَن
- Geld von jem. einsacken; اَملاک ِ کِسى را بالا کِشیدَن
einsalben; مَسح کَردَن، مَرحَم مالیدَن
einsalzen; دَر نَمَک خوابانیدن، نَمَک زَدَن
einsam; بیغوله، بى کَس، مُنفَرِد، مُنزَوى، تَک و تَنها
- einsames Tal; دَرهٔ پَرت و کِنار، ـ دور اُفتاده، ـ مَتروک
- einsam gelegenes Haus; خانهٔ پَرت
- einsames Plätzchen; جاى ِ دِنج
Einsamkeit;
- in der Einsamkeit; دَر تَفَرُد، ـ اِنزِوا، ـ تَنهائى
- welche Einsamkeit; چه تَک اُفتاده
einsammeln; جَمع کَردَن
Einsatz;
- Einsatz (im Kleid); لائى، توئى
- Einsatz (des Lebens); جان نِثارى، جانبازى
- Einsatz (als Pfand); گِرو، رَهن، ضَمانَت
- Einsatz (der Polizei, u.ä.); نوبَت، کِشیک، مَشغول ِ کار
- Einsatz (beim Spiel); دَر بانک گُذاشتَن، پول ِ قُمار، یِر
- Einsatz (im Topf); تو ظَرفى، تو دیگى
- Einsatz (bei Trinkglas); اِنگاره
- Einsatz (von Waffen); کاربُرد ِ سَلاح ها
- zum Einsatz bringen; به کار بُردَن
- zum Einsatz kommen; به کار رَفتَن
einsatzbereit;
- einsatzbereit sein;  .حاضِر بودَن، آماده ب
einsaugen; مَکیدَن
einsäumen;
- den Stoff einsäumen; پارچه را لَب دوزى کَردَن
- eingesäumt; لَب بَرگَردان
- Einsäumen; لَب دوزى
einschalen; تَخته بَندى کَردَن
einschalten;
- s. einschalten in etwas; دِخالَت کَردَن
- Licht einschalten; چِراغ را روشَن کَردَن
- Sirene einschalten; آژیر کِشیدَن، ـ روشَن کَردَن
einschärfen;
- jem. etwas einschärfen; چیزى را به کِسى خَرفَهم کَردَن، ـ تَلقین ک.، دَر ذِهن کِسى جایگیر ک.، اِصرار ک.، ـ مُؤکَد دادَن
einscharren; .کِسى را چاله کَردَن، ـ چال ک.، ـ خاک ک
einschätzen;  .تَخمین کَردَن، تَقویم ک.، اَرزیابى ک
- eingeschätzt, taxiert; قِیمَت گُذارى شُده
Einschätzung;
- Einschätzung der Lage; تَخمین ِ اوضاع
einschenken; ریختَن
einschlafen; خواب بُردَن، به خواب رَفتَن
- wir konnten nicht einschlafen; خوابِمان نِمى بُرد، ـ نِمى گِرِفت
- schlaf nicht ein; خواب نَرَوى
- mir schläft alles ein; بَدَنَم کِرَخت مى شَوَد، ـ بى حِس مى شَوَد
- zum Einschlafen bringen;  خواب کَردَن، لالایی گُفتَن
einschläfern;
- jem. einschläfern (Wachsamkeit); کِسى را اِغفال کَردَن، ـ دَر رِخوَت اََنداختَن
- das Kind einschläfern; بَچه را خواب کَردَن
- das Tier einschläfern; حِیوان با دارو کُشتَن
einschläfernd; خَسته کُنَنده
- einschläfernd, narkotisierend; مُنَوِم
- einschläfernde Stimme; صِداى ِ لالائى بَخش، ـ خواب آوَر
Einschlag;
- Einschlag (beim Kleid); لادَرزى، لَبه
- Einschlag (vom Blitz); بَرق زَدِگى
- Kugeleinschlag; اِصابَت ِ گُلوله، ضَربهٔ ـ
einschlagen;
- Kurs einschlagen; طَریق را دَر پیش گِرِفتَن، ـ اِتِخاذ کَردَن
- Scheibe einschlagen; پَنچَره را شِکَستَن
- auf jem. einschlagen; کِسى را کُتَک زَدَن
- in Papier einschlagen; لِفاف کَردَن
- die Nase einschlagen; خُرد و خَمیر کَردَن ِ بینى
- Nagel einschlagen; میخ را کوبیدَن
- auf das Pferd einschlagen;  .شَلاق بَر کَفَل و گُردهٔ اَسب زَدَن، با شَلاق به اَسب ضَربه ز
- welche Politik wird die Regierung einschlagen?; دولَت چه سیاسَتى را اِتِخاذ خواهَد کرَد؟
- die Ware schlägt gut ein; کالا خوب میگیرد، ـ پُر فُروش است
- er schlägt den Weg durch die Nebenstrasse ein; از خیابان ِ فَرعى میان بُر مى زَنَد
einschlägig;
- er ist einschlägig vorbestraft; او دَر هَمین مورِد سابِقهٔ کِیفَرى دارَد
einschliessen; کِسى را حَبس کَردَن
- in die Untersuchung einschliessen; دَر مُعایِنه .. شامِل کَردَن
- die Wissenschaft von .. schliesst mehrere Zweige ein; عِلم چَند شُعبه دَر بَر دارَد
- das schliesst auch ... ein; و این هَم مُشتَمِل ِ ... است، ـ شامِل ِ ... است
- eingeschlossen, gefangen; مُنحَصِر، مَحبوس، مَحصور
- im Zimmer eingeschlossen; دَر اُطاق مَحبوس شُده
- Trinkgeld ist im Preis eingeschlossen; قِیمَت ِ اِنعام را هَم بَر دارَد، دَر قِیمَت سِرویس مَنظور شُده است
einschliesslich; ... ِ به اِنضِمام ِ، شامِل ِ، بعِلاوه، به ضَمیمه، لِغایَت
- von 5 bis einschliesslich 10; از ۵ لِغایَت ِ ۱۰
Einschluss; پیوَستِگى
einschmeicheln;  .موس موس کَردَن، مُداهِنه ک
- s. bei jem. einschmeicheln; سَر ِ کِسی شیره مالیدَن، ، نَزد ِ کِسى لوس شُدَن، هِندِوانه زیر ِ بَغَل ِ کِسى گُذاشتَن
- einschmeichelnde Reden; زبان ِ چَرب و نَرم
Einschmeichler; سَبزى پاک کُن، مُداهِن
einschmelzen; ذوب و مَخلوط کَردَن، آب ک.، گُداختن
einschmieren (Motor);  .روغَنکارى کَردَن، گِریس کارى ک
einschnappen; گیر دادَن به داخِل ِ مَحَل
- er schnappt sofort ein; او زود ناراحَت مى شَوَد، ـ رَنجیده خاطِر ـ
- die Tür schnappte ein; قُفل ِ دَر توهَم رَفته است
- Sei nicht eingeschnappt; تُرش نَکُن
einschneidend (Massnahmen); اِقدامات ِ قَطعى، ـ مُؤثِر
Einschnitt;
- verlängerter Einschnitt; گُسِل ِ اِمتِدادى
- ein Einschnitt im Leben; نُقطهٔ تَغییر دَر زِندِگى
einschnüren;
- das Herz wird eingeschnürt; قَلب مُنقَبِض مى شَوَد
- sie war in einem engen Kleid eingeschnürt; بَدَنِش دَر لِباس تَنگ اُفتاده
Einschnürung; از میان ِ باریک شُدِگى
einschränken; مَحدود کَردَن، کاهِش دادَن
Einschränkung; مَحدودیت، کاهِش
Einschreibebrief; نامهٔ سِفارِشى
einschreiben;
- den Brief einschreiben lassen; نامه را سِفارِش کَردَن
- s. einschreiben lassen;  .ثَبت ِ نام کَردَن، اِسم نِویسى ک
- eingeschriebenes Mitglied; عُضو ِ ثَبت ِ نام کرده
Einschreibung; ثَبت ِ نام، اِسم نِویسى
einschreiten;  .مُداخِله کَردَن، اِقدام ک
- durch das Einschreiten (Vermitteln) von ..; ... ِ با وَساطَت
einschrumpfen;
- der Apfel schrumpft ein; سیب مُچاله می شَوَد، ـ چُروکیده ـ
einschüchtern;
- jem. einschüchtern; زَهر ِ چِشم کِسى را گِرِفتَن، بَر کِسى شاخ و شانه کِشیدَن، تَرساندَن، هَراساندَن، توپ و تَشَر زَدَن، تو سَرى ز.، کِسی را  نَهیب کَردَن
- eingeschüchtert werden; مَظلوم شُدَن
- eingeschüchtertes Männchen; آدَم ِ مَرعوب
Einschüchterung; اِرعاب، تَخویف، مَظلومیَت، تَشَر، شاخ و شانه
- zur Einschüchterung der Menschen; بَراى ِ اِرعاب ِ مَردُم
Einschüchterungspolitik; سیاسَت ِ اِرعاب، ـ توپ و تَشَر، ـ تَهدید و عِتاب
Einschuss;
- Einschuss (durch Waffe); تیر خوردِگی، جای ِ گُلوله
- Kette & Einschuss; تار و پود
einsehen;
- sie können das gerne einsehen; این دَر دَسترِس ِ شُماست
- seinen Fehler einsehen; به اِشتِباه خود پِى بُردَن، اِشتِباه بَراى ِ کِسى روشَن است، ـ واضِح است، اِشتِباه خودرا فَهمیدَن
- Einsehen haben;  .تَفاهُم داشتَن، فَهم د
einseifen;
- jem. einseifen; سَر ِ کِسى را شیره مالیدن، کُلاه ِ کِسى را بَر داشتَن
- s. einseifen; خودرا صابون زَدَن
- hätte ich es doch nur eingeseift; کاش کَف مالِش کَرده بودَم
einseitig; یِک جانِبه، یِکطَرَفه
- einseitiger Mensch; آدَم ِ مَحدود اُلفِکر، ـ نَظَر ِ تَنگ
Einseitigkeit; یِکطَرَفى
einsenden; فِرِستادَن، اِرسال کَردَن
Einsendeschluss; پایان ِ مُهلَت ِ اِرسال
einsenken; فُرو بُردَن، مَغروق کَردَن
einsetzen;
- einsetzen, ernennen; (präs.)  (گُماشتَن (مى گُمارَد
- jem. einsetzen als;  .کِسى را دَر بَر گُماشتَن، ـ نَصب کَردَن، ـ مَنصوب ک
- jem. ins Amt einsetzen; کِسى را به سِمَت مَنصوب کَردَن، - سَر ِ کار گُذاشتَن
- jem. in sein Amt wieder einsetzen; کِسى را بمَصَب ِ خود باز گُماشتَن، ـ باز آوَردَن
- jem. als Testamentvollstrecker einsetzen; کِسى را ایصاء کَردَن
- ich bin von .. eingesetzt worden; مَن دَست ِ نِشاندهٔ ... هَستَم
- Gott ist es, der Könige absetzt und einsetzt; خُداست که پادِشاهان را عَذل و نَصب مى کُنَد
- s. einsetzen für etwas; زَحمَت کِشیدَن، از خود مایه گُذاشتَن
- s. für jem. einsetzen; سَنگ ِ کِسی را به سینه زَدَن
- seine ganze Kraft einsetzen; تَمام ِ نیرویَش را سَر ِ این کار مى گُذارَد، ـ وَقف ِ این کار مى کُنَد
- ich setze meine Kraft für .. ein; نیروى ِ خودرا صَرف ِ .. مى کُنَم
- ihr habt euch sehr für mich eingesetzt; خِیلی دَر حَقَم لُطف کَردید
- meinen letzten Cent einsetzen; آخَرین دینار ِ خودم را مایه مى گُذارَم
- 1 Euro für ... einsetzen; یِک یورو صَرف ِ ... کَردَن
- heftiger Regen setzte ein; باران ِ شَدید دَرگرفت
- mein Leben eingesetzt; دَست از جان شُستَم، جان بَر کَف نِهادَم
- ein Stück Stoff einsetzen; یِک تیکه پارچه بِکار زَدَن، ـ وَصله کَردَن
- Glas einsetzen; جام اََنداختَن
- Tür einsetzen; دَر را کار گُذاشتَن
- sie setzen die Tür ein; آنها دَررا کار مى گُذارَند
Einsetzung; تَشکیل، اِنتِصاب، تَعیین
- Einsetzung von Regierung; دولَت را اِنتِصاب کَردَن
- Einsetzungsworte (z.B. bei Gottesdienst); کَلَمات ِ مُقَدَماتی
Einsicht;
- Einsicht, Verständnis; حَزم، فَهم، فَهیمى
- Einsicht in die Akten; اِطِلاع از مَدارِک، رُجوع به دَفتَر، وُرود به پَروَنده
- Einsicht in den Garten; نِگاه داخِل ِ باغ
- in etwas Einsicht nehmen; چیزى را رؤیَت کَردَن، ـ بَررِسى ک.، نَظَر به چیزى اَفکَندَن
- die Einsicht kommt mit der Praxis; بَصیرَت نَتیجهٔ مُمارَسَت است
- zur Einsicht kommen; مُتَنَبه شُدَن، به صَرافَت اُفتادَن
- die Übersetzung steht zur Einsicht; تَرجُمه دَر دَسترِس است
einsichtig;
- einsichtig reden; از روى ِ بَصیرَت صُحبَت کَردَن
- einsichtig sein;  .مُتَنَبه بودَن، حازِم ب
- einsichtiger Mensch; اَهل ِ نَظَر، ـ روشَن بین، ـ فَهیم، ـ عاقِل، ـ حِسابى
Einsiedelei; عُزلَت گاه
Einsiedler; عُزلَت گُذیده، تارِک ِ دُنیا، مُنزَوى، گوشه نِشین
einsilbig;
- einsilbiger Mensch; آدَم ِ کَم حَرف
Einsitzer; ماشین ِ تَکنَفَرى
einsitzig; تَکنَفَرى
einsortieren; به تَرتیب گُذاشتَن
einspannen;
- einspannen, ausnutzen; اِستِفاده کَردَن
- einspannen (Pferde); مَهار کَردَن
- ins Joch einspannen; جُفت کَردَن
- jem. in einen Beruf einspannen; کِسى را به شُغلى بَستَن
Einspänner; یِک اَسبه
einsparen;
- Ausgaben einsparen; از مَخارِج صَرفه جوئى کَردَن، جِلوى ِ مَصرَف را گِرِفتَن
- Stelle einsparen; از اِستِخدام خوددارى کَردَن
- wieviel sparen wir damit monatlich ein?; از این راه ماهى چَند صَرفه جوئى می کُنیم؟
Einsparung;
- wirtschaftliche Einsparungen; صَرفه جوئى ِ اِقتِصادى
- Energieeinsparung; صَرفه جوئى دَر اِنِرژى
einsperren;  .کِسى را مَحبوس کَردَن، ـ به زِندان اَنداختَن، ـ بازداشت ک.، ـ زِندانى ک.، ـ حَبس ک.، مَسجون ک
- eingesperrt sein; مَحبوس بودَن
- eingesperrt werden;  .مَسجون شُدَن، مَحبوس ش
einspielen;
- s. aufeinander einspielen; با هَم جور دَر آمَدَن، دَر کار با هَم سازگار شُدَن، خوب هَمکارى کَردَن
- die Unkosten einspielen; مَخارِج را دَر آوَردَن
einspringen (für jem. -); کِسى عَوَض ِ کِسى کاررا اَنجام مى دَهَد، دَر .. داخِل می شَوَد، جاى ِ کِسى را مى گیرَد
einspritzen (z.B. Medizin); تَزریق کَردَن
- einspritzen in; دَر داخِل ِ چیزى پاشیدَن، ـ فِشاندَن
Einspritzpumpe; تُلُمبهٔ اِنژِکسیون، پُمپ ِ تَزریق
Einspruch; اِعتِراض، وِتو، اِستیناف
- Einspruch erheben;  .حُجَت کَردَن، اِستیناف ک
Einspruchsfrist; مُهلَت ِ اِعتِراض
einst;
- einst, früher; پیش، قَبلاً، سابِقاً، پیشین، مُتَقَدِم
- einst, später; دَر آیَنده، دَر آتى، دورى
Einstand;
