Saal (m); سالُن
Schlusswort; پَسگُفتار، خِتام گُفتار، خاتِمة کَلام
Schmach; رُسوائى، نَنگ
schmachten;
- schmachten nach ...; اِشتياق ِ شَديد داشتَن به
- schmachtender Blick; نِگاه ِ هيز
schmächtig; لاغَر، دِيلاق
- schmächtiges Männchen; آدَم ِ دِيلاق
schmackhaft; لَذيذ
schmähen;  .فُحش دادَن، توهين کَردَن، سَب ک
Schmähung; سَب، فُحش، توهين
schmal; تَنگ، باريک
- schmales Bett; تَختِخواب ِ کَم عَرض
Schmalz; پيه
- Gänseschmalz; پيه غاز
Schmarotzer; سورچَران، نيزه باز، مُفت خور، اَنگَل
- sie leben als Schmarotzer; آنها به طُفِيل ِ ديگَران زِندِگى مى کُنَند، آنها اَنگَل ِ ديگَران هَستَند
Schmarotzertum; طُفِيلى پَروَرى
schmatzen; مِلِچ مِلِچ کَردَن
Schmaus; بَزمَچه، سور
schmecken;
- schmecken, probieren; چِشيدَن، لَب زَدَن
- etwas schmecken; مَزمَزه کَردَن
- schmecken nach ...; مَزة ... مى دَهَد
- s. das ... schmecken lassen; نوش ِ جان کَردَن...
- selbst das Beste schmeckt nicht; حَلوارا با بَلوا خوردَن و نوش را بَر خود ِ نيش ساختَن
- die Kirschen aus Nachbars Garten schmecken am besten; مَنع چو بينَد حَريص تَر شَوَد اِنسان
- der Wurm muss dem Fisch schmecken, nicht dem Angler; عَلَف بايَد به دَهَن ِ بُزي سيري بيايَد
Schmeichelei; تَمَلُق، چاپلوسى، هِندِوانه، زَبان بازى
schmeicheln (- jem.); به کِسى مُداهَنه کَردَن، کِسى را خايه مالى ک.، ـ چاپلوسى ک.، تَمَلُق ک.، هِندِوانه زير ِ بَغَل ِ کِسي گُذاشتَن، بادِنجان دور ِ قاب ِ کِسي چيدَن
- mit schmeichelnden Blicken; با چِشمهاى ِ تَحسين آميز
schmeichlerisch; خوش زَبان، چاپلوسانه
- schmeichlerisch & kokett; ناز و غَمزه اى
schmeissen; پَرتاب کَردَن
- er schmeisst s. auf den Boden; او روى ِ زَمين وِلو کَرد
Schmelz; لُعاب
- Zahnschmelz; ميناى ِ دَندان، لُعاب ِ ـ
Schmelzbereich; حوضة مُذاب
schmelzen; قال گُذاشتَن، گُداختن، آب شُدَن، ذوب کَردَن
- geschmolzenes Material; مَواد ِ مُذاب
- er schmilzt dahin; دِلِش آب مي شَوَد
- ich schmolz dahin, während er redete; طَرز ِ گُفتَنِش قَند تو دِلَم آب کَرد
Schmelzpunkt; نُقطة ذوب
Schmelztiegel; بوته
Schmelzwasser; بَرفاب
Schmerz; دَرد، اَلَم
- bohrender Schmerz; دَرد ِ پيچان
- Schmerzen erleiden; اَلَم کِشيدَن
- vor Schmerzen zucken; از دَرد تير کِشيدَن
schmerzen; تير کِشيدَن، دَرد گِرِفتَن، دَرد آمَدَن، زوق زوق کِشيدَن
- seine Füsse schmerzen; پاهايَش زوق زوق مى کِشَند
- mit schmerzendem Fuss; با پاى ِ مُتألِم
Schmerzensgeld; غَرامَت ِ آسيب ديدِگى
schmerzlich; دَرد اَنگيز، رَنج آوَر
schmerzlindernd; دَردچين
- schmerzstillende Tablette; قُرص ِ مُسَکِن
Schmetterling; پَروانه
Schmied; آهَنگَر
Schmiede; آهَنگَرى
Schmiere; گِريس
- Schmiere stehen; پاييدَن
schmieren;
- jem. schmieren (finanz.); خَر ِ کَريم را نَعَل کَردَن
- Brot schmieren (z.B.: mit Käse); پَنير روی نان ماليدَن
- Kugellager schmieren; بُلبرينگ روغَن زَدَن
- das läuft wie geschmiert; هَمه اش خوب اَنجام می شَوَد
Schmierfette; دُهُنيات
Schmierfilm; قِشر ِ جَربى
Schmiergeld; رِشوه، آجيل، حَقانه
- Schmiergeld zahlen;  .مايه گُذاشتَن، رِشوه دادَن، آجيل د
- hier musst du Schmiergeld zahlen; اينجا بايَد چيزى سُرفيد
Schmierheft; مُسَوَده
schmierig; چَرب و چيلي، روغَني
- schmieriger Typ; آدَم ِ جُلُنبُر
Schmierseife; صابون ِ روغَنى
Schmierung; روغَنکارى
Schminke; سُرخاب، سِفيداب
Schminken; بَزَک، آرايِش
- ihre Zeit mit Schminken vertreiben; تَمام ِ وَقتَش صَرف ِ بَزَک و دوزَک مي شَوَد
schminken (s. -);  .بَزَک کَردَن، آرايِش ک
- geschminkte Frau; زَن ِ ماتيک ماليده، بَزَک کَرده
Schmirgel; سُمباده
schmirgeln; سُمباده کِشيدَن
schmollen;  .بُق کَردَن، قَهر ک.، اَخم ک
schmoren; آهِسته جوشيدَن
Schmortopf; کُماجدان
Schmuck; زينَت، زيوَرآلات
- mit Schmuck behangen; با زيوَرآلات آراستَن
schmücken;
- Raum festlich schmücken;  .اُطاق را آذين بَستَن، - زينَت کَردَن، - مُزَيِن ک
- s. schmücken; (präs.) خود را آراستَن (مى آرايَد)، آرائى کَردَن
- geschmückt; آراسته، مُزَيِن
Schmuckstück;
- .. wird zu einem Schmuckstück; چِشم اَنداز ِ زيبائى دَر اينجا پَديد مى آوَرَد
Schmuggel; قاچاق
schmuggeln; قاچاق کَردَن
Schmuggelware; اَجناس ِ قاچَاق
Schmuggler; قاچاقچى
schmusen;  .ناز کَردَن، - و نَوازِش ک
Schmutz; رِجاسَت، کِثافَت
schmutzabweisend; چِرک تاب
Schmutzfink; پِسَرَک ِ جُلُنبُر
schmutzig; کَثيف، آلوده
- schmutzige Bilder; عَکسهاى ِ مُفتَضَح، - رَکيک
- schmutzige Wäsche waschen; کاسه و کوزه را سَر ِ هَم خَراب کَردَن، آبروى ِ کِسى را به گَله کِشيدَن، کِسى را لَجَنمال کَردَن
Schnabel; مِنقار، نوک
Schnabeltier; حِيوان ِ پِستاندار ِ اُستراليائى که مِنقاردار و صَدَفخوار است
Schnalle; سَگَک، قُلاب
schnappen;
- schnappen, wegnehmen; قاپ زَدَن، قاپيدَن
- frische Luft schnappen; هَوا خوردَن
- wie oft hat man dich geschnappt? (z.B. beim Diebstahl); چَند بار گير اُفتادى؟
- zuschnappen; گاز گِرِفتَن
Schnäppchen; بُزگير
- einen Schnäppchenkauf machen; بُزگير آوَردَن
Schnappschuss; عَکس ِ فورى
Schnaps; عَرَق
schnarchen;  .خَرناس کِشيدَن، خُرخُر کَردَن، خُر و پُف ک
Schnarchen (n); خَرناس، نَفير خواب
schnaufen; نَفَس نَفَس زَدَن
- schnaufend kam er an; نَفَس نَفَس زَنان نَزديک شُد
Schnaufen (n); خَرناس
Schnecke; حَلزون
- jem. zur Schnecke machen; کِسى را تا حَد ِ شِش دَر چَهار کوچِک کَردَن
- Meeresschnecke; حَلزون ِ دَريائى
Schneckenhaus; صَدَف ِ حَلزون
Schneckentempo; سَرعت ِ خَزِشى
Schnee; بَرف
- Schnee schippen; بَرف پارو کَردَن
Schneeball; گُلولة بَرفى
schneebedeckt; بَرفپوش
- schneebedeckte Erde; زَمين ِ بَرفپوش
Schneebesen; تُخم ِ مُرغ بِهَم زَن
Schneeflocken; دانه هاى ِ پُفى بَرف
Schneegestöber; سوزبَرف
- Schneegestöber (als Störung beim Bildschirm); بَرفَک
Schneemann; آدَمَک ِ بَرفى
Schneeregen; شِلاب
Schneeschaufel; پاروى ِ بَرف
Schneesturm; بوران
Schneid ( - haben); جِگَرِش را داشتَن
Schneide; لَبة تيز
schneiden; بُريدَن
- Haare schneiden; مو زَدَن
- die Linien schneiden s.; خَطها يِکديگَررا تَقاطُع مى کُنَند
- abschneiden; قِيچى کَردَن
Schneider; خَياط
Schneiderei; خَياطى
schneidern; دوخت و دوز کَردَن
Schneidersitz;
- im Schneidersitz sitzen; چَهار زانو نِشَستَن
schneien; بَرف آمَدَن
Schneise; راه ِ عُبور
- jem., der eine Schneise schlägt; راه گُشا
schnell;
- schnell, schnell; پوى پوى، تُند تُند، جَنگى، سَريع، زود باش، عَجَله کُن، بِکوب بِکوب
- schnell machen; هُل زَدَن
- ganz schnell, überstürzt; هول هولَکي، تُند تُند، با دَستپاچِگي
- er macht schnell; خِيلى هُل مى زَنَد
- schnelles Eingreifen; دِخالَت ِ فى الفور
- schneller laufen; تُندتَر کَردَن
- schnelle Eingreifstruppe; نيروى ِ مُداخِلة سَريع
- schneller Entschluss; تَصميم ِ آنى
- schneller sein, zuvorkommen; پيشدَستى کَردَن
- seine Bewegungen werden schneller; حَرَکاتَش فِرزتَر مى شَوَد
- schnelles Pferd; اَسب ِ راهوار
- auf die Schnelle; به سُرعَت، فى الفور
schnellfüssig; تيزرُو، تيزپا
Schnelligkeit; سُرعَت
Schnellkochtopf; ديگ ِ بَرقى ِ زود پَز
Schnellkraft; قُوة فَنَر، فَنَريَت
Schnellverfahren; دادرِسى اِختِصارى
Schnellzug; قَطار ِ سَريع اُلسِير
schneuzen; بينى را فين کَردَن، ـ خالى ک.، دَماغ گِرِفتَن
schneuzend; فين فين کَنان
schnippisch; زَبان ِ دِراز
Schnipsel; دَم ِ قِيچى
schnipseln; قِيچى کَردَن، خُرد ک.، چيدَن
schnipsen;
- auf die Zigarette schnipsen; تَلَنگُرى به سيگار زَدَن
- Staub vom Ärmel wegschnipsen; غَبار را روی ِ آستين با چَند تَلَنگُر پاک کَردَن
Schnitt; بُرِش، قَطع
Schnitte;
- eine Schnitte Brot; يِک تِکه نان
Schnittfläche; سَطح ِ مُقَطَع، ـ بُرِش ِ خورده
Schnittlauch; تَره
Schnittmuster; اُلگوى ِ خَياطى
Schnittpunkt; نُقطة تَقاطُع، ـ بُرِش
Schnittstelle; مُقاطِع
- sie sassen an den Schnittstellen der ..; مَسئولين دَر مَقاطِعى از
Schnittwunden; زَخمهاى ِ چَپ اَندَر راست
schnitzen; تَراش دادَن
Schnitzer; اِشتِباه
- Schnitzer, Holzbearbeiter; کَنده کار
- ein dicker Schnitzer; اِشتِباه ِ گُنده، ـ لُپى
Schnitzerei; کَنده کارى
schnorcheln; غوطه کَردَن با لوله هَوا
Schnorrer; مُفت خور
schnüffeln; اِستِشمام کَردَن
Schnuller; پِستانَک
Schnupfen; نَزله، زُکام
- ich habe Schnupfen; نَزله کردم، زُکام ک
- er bekommt Schnupfen; زُکام مى شَوَد
Schnupftabak; اَنفيه
Schnur; سيم، نَخ، بَند
Schnurrbart; سِبيل، شارِب
- einen Schnurrbart haben; سِبيل گُذاشتَن
schnurren (bes. bei Katzen); خُره زَدَن
Schock; شوک
- Elektroschock; شوک ِ بَرقى
schockieren;  .شُکه کَردَن، شوکه ک
- ich bin schockiert; جا خوردَم، يَکه خ.، شُکه شُدَم
- ich war echt geschockt; مَن پاک واخوردَم
Schöffe; عُضو ِ هَيئَت ِ مُنصِفه
Schokolade; شُکُلات
Scholle;
- Scholle, Fischart; ماهى ِ پَهن
- Scholle, Acker; زَمين
schon;
- ich habe das schon mal gehört; اينرا شِنيده بودَم
- wenn schon, denn schon; يا رو ميرَم يا زَنگى ِ زَنگ
- was ist schon dabei?; مَگه چى شُده؟
schön; زيبا، قَشَنگ
- s. schön machen; زيوَر دادَن، زينَت ـ
- hier ist es schön warm; اينجا خوب گَرم است
- jedes Mal, wenn ich dich sehe, bist du schöner als das Mal vorher (Sadi);   هَر نوبَتَم که دَر نَظَر اى ماه بُگذَرى بار ِ دُوُم ز ِ بار ِ نَخُستين نيکوتَرى
- Schöne Künste; صَنايِع ِ مُستَظرِفه، ـ ظَريف
Schonbezug; روکِش، سَرپوشيده، کاپوت
schonen; بَر کِسى تَرَحُم کَردَن، کِسى را دَريغ کَردَن، بَر کِسى شَفَقَت داشتَن
- schone meiner!; بَر مَن شَفَقَت فَرما
- jem. schonen vor etwas; کِسى را از چيزى  خُلاصى دادَن، ـ دَريغ کَردَن
schönfärben;
- eine Sache schönfärben; به چيزى رَنگ و جَلاء دادَن
- schönfärberische Worte; حَرفهای ِ خَر رَنگ کُن
Schönfärberei; شاخ و بَرگه دادَن
schöngeistern; باد دَر غَبغَب اَنداختَن
Schönheit; زيبائى
- natürliche Schönheit (eines Menschen); آرايِش و گيرايش ِ طَبيعی داشتَن، آرا و گيرا
- die Frau ist eine Schönheit; اين زَن بَر و رويي دارَد
Schönling; قِرتى
schönreden;
- eine Sache schönreden; مَطلَب را تَلفيق کَردَن
Schönschrift; خوش نِويسى، خَطاطى
schonungslos; بى مُلاحِظه، بى مُحابا
Schopf;
- Schopf (bei Vogel); کاکُل
- Haarschopf; بافتة مو
- die Gelegenheit beim Schopf ergreifen; فُرصَت را غَنيمَت شُمُردَن
schöpfen;
- Suppe schöpfen; سوپ کِشيدَن
- Wasser schöpfen; آب کِشيدَن
- Hoffnung schöpfen; اُميدوار شُدَن
Schöpfer; خالِق
- Schöpfer der Welt; خالِق، آفَرينَنده، آفَريدِگار، دادار  ِجهان، کِردِگار، پَروَردِگار
- Jedes Blatt von einem Baum weist darauf hin, dass es einen Schöpfer gibt (Sadi); بَرگ ِ دِرَخت ِ سَبز دَر نَظَر ِ هوشيار هَر وَرَقِش است مَعَرِفَت ِ کِردِگار
schöpferisch; خَلاقه، خَلاقانه
- schöpferische Kräfte; قُوة مَخلوقه، ـ خَلاقه
Schöpfkelle; (pl.) مِلعَقه (مَلاعِق)، مَلاقه
Schöpflöffel; آبگَردان
Schöpfprobe; کَفچة نِمونه
Schöpfung; تَکوين، پِيدايِش، آفَرينِش، خِلقَت
Schornstein; دودکِش
Schoss;
- jem. bei s. auf den Schoss setzen; کِسى را روى ِ دامَن ِ خود نِشاندَن، ـ روى ِ زانو ـ
- im Schosse der Familie; دَر کانون ِ خانِواده
- Geld, das einem in den Schoss fällt; گَنج است بِدون ِ رَنج، پول ِ باد آوَرده
Schössling (biolog.); پا جوش
Schote; خورجينَک، نيام
Schotter; ريگ
schraffieren; هاشوَر زَدَن
schraffiert; هاشور
schräg; مايِل، شيب دار، اُريب، مُوَرِب
- Strasse verläuft schräg; خيابان اُريب است
- schräger Vogel; اَطواري
- ein schräges Verhalten an den Tag legen; اَطوار ريختَن، - دَر آوَردَن
Schräge; تَوَرُب، شيب
Schrägrampe; سَطح ِ مايِل، ـ مُوَرِب
Schrägschnitt; بُرِش ِ مايِل
Schrägung; پَخ
Schramme; شَخا، خَراش، زَخم
- Küchenschrank; کابينِت
- Nachtschrank; پاتَختي
- Wohnzimmerschrank; کُمُد ِ دِکُر، ـ تَزيين
Schranke; سَد، راهبَند
- Zollschranke; چوب ِ گُمرُک
Schraube; پيچ
- Schraube & Mutter; پيچ و مُهره
- Schraube ohne Ende; پيچ سَر و پا يِکى
- bei jem. ist eine Schraube locker; عَقل ِ کِسى پارة سَنگ مى بَرَد
schrauben; پيچ کَردَن، پيچاندَن
Schraubenschlüssel; آچار ِ شَلاقى، ـ رينگى
- Schraubenschlüssel, Engländer; آچار ِ چَکُش
Schraubenzieher; پيچ گوشتى، پيچ کُش
- flacher Schraubenzieher; پيچ گوشتى ِ لَب ِ تَخت
- Kreuzschraubenzieher; پيچ گوشتى ِ چهار سو
Schraubfassung; پايه پيچ
Schraubstock; گيره، مَنکَنه
- in Schraubstock spannen; مَنکَنه کَردَن
Schraubzwinge; پيچ دَستى
Schrecken; وَحشَت، تَرس، شَم
- lieber ein Ende mit Schrecken, als ein Schrecken ohne Ende; جَنگ ِ اول به از صُلح ِ آخَر
Schreckfänger;
- Schreckfänger (als Feldzeichen); شَمگير
Schreckgespenst;
- Schreckgespenst, "Schwarzer Mann"; لولو، بَختَک
schrecklich; مَخوف، تَرس آوَر، سَهمناک
- schrecklich (z.B. Götzenbild); مُهيب
- er ist schrecklich ungebildet; او به حَد ِ وَحشت انگيز بيسَواد است
- schreckliche Nachrichten; اِطِلاعات ِ دِلهُره اَنگيز
- schrecklicher Gesichtszug; صورَت ِ مَخوف
Schrei; فَرياد
- entsetzlicher Schrei; فَرياد ِ هَراس آوَر
- Schrei ausstossen; نَعره کِشيدَن، صَحيه زَدَن
schreiben; کِتابَت کَردَن، نِوِشتَن، مَرقوم فَرمودَن، لَفظ را به قَلَم آوَردَن
- ich kann seitenweise darüber schreiben; مَن مي تَوانَم يِک عالِمه را از اين چيزها بِنّويسَم
- abschreiben; رونِويسى کَردَن
- von irgendwo herausschreiben; بيرون نِويسى کَردَن
Schreiben (n); کِتابَت، نامه، نِوِشت
Schreiber; کاتِب، مُنشى، نِويسَنده
- Erdbebenschreiber; لَرزه نِگار
Schreiberling; قَلَم فَرسا
Schreibfeder; قَلَم
Schreibmaschine; ماشين ِ تَحريرى
Schreibtafel; (pl.) لوحه، لوح (اَلواح)، لوحه
Schreibtisch; ميز ِ تَحرير
Schreibtischmensch; آدَم ِ پُشت ِ ميز نِشين
Schreibwaren; لَوازِم اُلتَحرير
schreien; داد زَدَن، فَرياد ز.، هَوار کِشيدَن
- sie schreien um Brot ; آنها بِخاطِر ِ نان داد و هَوار راه مى اَندازَند
- du kannst noch so schreien; هَر چه قَدر هَم بَر سَر ِ کِسى داد بِکِشى
Schreihals; خُروشَنده، غُرَنده
Schrein; مَرقَد
Schreiner; نَجار
Schreinerei; نَجاري
schreiten; خَراميدَن
- gemessen schreiten; موزون راه رَفتَن
Schreiten (n); گَردِش و خِرامِش
Schrieb (popul.); کاغَذ، نِوِشت
Schrift; خَط، دَستخَط
- seine Schrift ist schön; دَستخَطِش قَشنگ است
Schriftführer; مُنشى
schriftkundig;
- schriftkundig sein; سَواد بودَن
schriftlich; کُتبى، به رِشتة تَحرير
- schriftlich etwas festhalten; قِيد کَردَن،  قَلَمداد ک.، دَرج گَرداندَن، چيزى را به رِشتة تَحرير دَر آوَردَن
Schriftsetzerei; حُروف چينى
Schriftsteller; (pl.) نِويسَنده، اَهل ِ قَلَم، اَديب (اُدَباء)، نِويسَنده
Schriftstücke; اَسناد و مَدارِک، نُسخه هاى ِ خَطى
Schrifttum;
- persisches Schrifttum; اَدَبيات ِ فارسى
Schriftwechsel; مُکاتِبه
schrill;
- schrille Farben; رَنگهاى ِ زَنَنده، ـ زَرق و بَرق
- schrilles (undefiniertes) Lachen; خَندة نَکِره
Schrippe; کَلوچه
Schritt;
- mit jem. Schritt halten; با کِسى هَمگام بودَن، پا بِپاى ِ ديگَران قَدَم بَر داشتَن
- der erste Schritt; دَر وَهلة اَوَل، اَوَلين قَدَم
- keinen falschen Schritt machen; دَست از پا خَطا نَکَردَن
- keinen Schritt mehr tun; پا از پا بَر نَداشتَن
- diplomatische Schritte unternehmen; اِقدامات ِ ديپلماتيک را بِعَمَل آوَردَن
- das zieht gerichtliche Schritte nach s.; اين پِى گَرد ِ قانونى دارَد
- Riesenschritt machen; چَهار قَدَم يِِکی کَردَن
schrittweise; تَدريجي
schroff; خَشِن
schröpfen (med.); حِجامَت کَردَن
- jem. schröpfen; سَر و کِيسه را شُل کَردَن
Schröpfkopf; باد کِش
- Schröpfkopf ansetzen; باد کِش اَنداختَن
Schrot;
- Gerstenschrot; جو کوب، آرد ِ سَبوس دار
Schrotflinte; تُفَنگ ِ ساچِمه اى
Schrotkugel; چارپاره
Schrott; قُراضه، آهَن پاره
Schrottplatz; مَحَل ِ اوراقى، ـ قُراضه
schrottreif;
- schrottreifer Bus; اُتوبوس ِ قُراضه
schrubben;
- Boden schrubben; کَف ِ اُتاق را کونى کِشيدَن
Schrubber; جاروب ِ زِبر، زَمين شور
schrullig; عَجيب و غَريب
schrumpelig; آبگَز، چُروکيده و پُر چين شده بَر اَثَر ِ تَماس ِ طولانی با آب ِ گَرم
schrumpfen; مُنقَبِض شُدَن، آب رَفتَن
- mein Geld schrumpfte; کيسه ام داشت تَه کِشيد
- sie schrumpfen auf die halbe Grösse; آنها به نيمچه مى رِسَند
Schrumpfung; اِنقِباض
Schubkarre; چرخ  ِدَستى، گارى ِ ـ
Schubkraft; نيروى ِ حَرَکَت
Schublade; کِشو
Schublehre; کوليس ِ وَزنيه
Schubs; ضَربه
- einen Schubs bekommen;  .تَنه خوردَن، ضَربه خ
schubsen; هُل دادَن
- er hat mich auf die Seite geschubst; او مَرا به طَرَفى هُل داد
schüchtern; مَحجوب، خَجول
Schüchternheit; مَحجوبيَت، حُجب، خِجالَت، کَمروئى
Schuft; آدَم ِ رَذَل، نابه کار، بى شَرَف، حَرامى، حَرام خور، زَهر مار
schuften; سَر به زير کار کَردَن
- schwer schuften (*: abschuften); فَعلِگى کَردَن
- den ganzen Tag schuften; تَمام ِ روز جان کَندَن
Schufterei; سَگ دوى
Schuftigkeit; شَقاوَت، شَناعَت، شَنعَت
Schuh; کَفش، چارُق
- Schuh mit Stoffsohle; گيوه
- Schuh mit heruntergetretenem Hackenquartier; کَفش ِ پُشت خوابيده
- jem. etwas in die Schuhe schieben; کِسى را شِلتاق کَردَن، قُصور رو گَردَن ِ کِسى گُذاشتَن
- bis die Schuhe abgelaufen waren; تَه ِ کَفشهايِمان ساييد
- aus den Schuhen kippen; از پا اُفتادَن
- Holzschuh; کَفش ِ چوبين
- den Kinderschuhen entwachsen sein (aktiv); از آب و گِل دَر آمَدَن (آوَردَن
Schuhanzieher; پاشنه کِش
Schuheisen; نَعلهاى ِ اِسبى
Schukostecker; دوشاخۀ بَرق با کُنتاکت ِ مُحافِظ
Schulamt; اِدارة آموزِش و پَروَرِش
Schuld; تَقصير، جُرم، قُصور
- anderer Leute Schuld tragen müssen; به آتَش ِ کِسی سوختَن
schulden;
- jem. etwas schulden; به کِسى بِدِهکار بودَن، مَقروض ِ کِسى بودَن
- was schulde ich Ihnen?; چِقَدر بايَد بِپَردازَم؟
- er schuldet die Miete von 1 Monat; کرايۀ ۱ ماه را بِدِهکار است
- ich schulde Herrn .. Dank;  اِداى ِ دِين مى کُنَم به آقاى ِ فِلان
Schulden (f); بِدِهى، قَرضه، دِين
- Staatsschulden; دَيون ِ دولَتى
Schuldenabtragung; وام فَرسائى
schuldenfrei; بِدون ِ بِدِهى
Schuldenlast; بار ِ بِدِهيها
Schuldenpolitik; سياسَت ِ اِستِقراض، ـ وامگيرى
Schuldgefühl; اِحساس ِ قُصور
Schuldhaftigkeit; قُصور
schuldig; مُجرِم، مُقصِر
- jem. etwas schuldig sein; به کِسى بِدِهکار بودَن
- s. schuldig machen; مُرتَکِب شُدَن
- sie sprachen ihn schuldig; هَمه اورا مُستوجِب ِ اِعدام دانِستُند
- er bekannte s. nicht schuldig; او اِقرار به جُرم نَکَرد
Schuldiger; مُجرِم، مَديون، شَخص ِ مُقَصِر
Schuldkomplex; عُقدة گُناه
Schuldner; بِدِهکار، مَديون
Schuldschein; فَنة طَلَب، وام نامه
Schuldspruch; رأى ِ دادگاه، حُکم ِ مُحَکِمه
Schule; مَدرِسه، مَکتَب
- Schule der Sprachanalytiker; نَحلة زَبان کاوان
- der Schule fernbleiben; دو دَره کَردَن ِ مَدرِسه
Schüler; شاگِرد، دانِش آموز
- Schüler einer besonderen Lehrmeinung; مُريد
schulfähig;
- im schulfähigen Alter sein; دَر سِن و سال ِ مَدرِسه بودَن
Schulschwänzer; مَکتَب گُريز
Schulter; (pl.) کَت، کِتف (اَکتاف)، شانه
- auf die leichte Schulter nehmen; آسان گِرِفتَن
- jem. auf die Schulter nehmen; کِسي را قَلَمدوش کَردَن
Schulterblatt; اُستُخوان ِ کِتف
Schulterriemen; تِسمه
- Schulterriemen der Tasche; تِسمة کيف
Schulterschluss;
- sie marschieren im Schulterschluss; آنها شانه شانه پيش مى رَوَند
Schulterzucken;
- mit Schulterzucken; با بالا اَنداختَن ِ شانه ها
Schulung; دَرس، تَعليم، آموزِش
Schulzeit;
- während der Schulzeit; دَر دوران ِ مَدرِسه
Schummelei; خَررَنگ کُنى، تَقَلُب
schummrig;
- schummriges Licht; کَمنور، نور ِ شوم
- es ist schummriges Wetter; هَوا گُرگ و ميش است
Schund; جِنس ِ بُنجُل، ـ بى اَرزِش
Schuppe;
- Schuppe (Fisch); فِلس، پولَک
- Schuppe (auf dem Kopf); موخوره، شورة سَر
Schuppen; اَنبار ذَخائِر
Schur; پَشم چينى
schüren;
- Feuer schüren; آتَش را اَفروختَن، ـ دامَن زَدَن، ـ تيز کَردَن
- Zwietracht schüren;  .نِزاع بَر پا کَردَن، - تَحريک ک
Schurke; آدَم ِ بَدجِنس
Schurkerei; دِنائَت، بَدجِنسى
schurkisch; دِنائَت طَبع
Schurz; پيش دامَن، پيش لُنگ، پيش بَند
Schürzenjäger; بَند ِ شَلوار ِ کِسی شُل است
Schuss; تير
- Schuss (beim Fussball); شوت
- ein Schuss Milch; يِک مِقدار ِ کَم از شير
- ich goss ihm einen Schuss Alkohol ins Glas; تو ليوان يِک پِيک ِ مَشروب بَراي ِ او ريختَم
- weit ab vom Schuss; دور از بِگير و بِبَند و جار و جَنجال
- das Auto ist gut in Schuss; ماشين مُرَتَب است
- die Wohnung in Schuss bringen; مَسکَن را سَر و سامان دادَن
schussbereit; آمادة آتَش
- hinter dem Gewehr, das jederzeit schussbereit ist, ..; پُشت ِ تُفَنگ ِ هَميشه آماده
Schüssel; باديه، کاسه
- Schüssel (mit Inhalt, z.B. Suppe); باديه
- Waschschüssel; تَشت، لَگَن
Schusser; چونه، گُلوله از خَمير
Schusslinie;
- in der Schusslinie sein; دَر تير رَس قَرار گِرِفتَن
Schussweite; تير رَس، بُرد ِ تير
- auf Schussweite sein; دَر تير رَس بودَن
- auf Schussweite herangehen; تير رَس شُدَن
Schuster; کَفاش
- Flickschuster; کَفش دوزَک، پينه دوز
Schutt; آشغال
- alles liegt in Schutt & Asche; هَمه چيز خَراب است، ـ ويران شُد
Schüttelfrost; تَب و لَرز
schütteln; تَکان دادَن
- sie schütteln mich kräftig; مُحکم تَکانَم مى دَهَند
- er schüttelt seinen Kopf; (infin.) او سَرَش را مى جُنبايد (جُنباندَن)، ـ تَکان مى دَهَد
- ein Schütteln durchläuft ihn; بَدَن ِ او با رَعشه به لَرزِش مى اُفتَد
- geschüttelt werden; تَکان خوردَن
- der Baum wird geschüttelt; دِرَخت تَکان مى خورَد
Schüttelsieb; اَلَک، غَربال
schütten; ريختَن
schütter;
- schütteres Haar; موي ِ کَم پُشت، - تُنُک
Schüttgut; مَواد ِ اَوَليه
Schutz; حِمايَت، حِفاظَت، حِفظ و حَراسَت، پُشتِبانى
- im Schutz von jem. leben; دَر دامان ِ کِسى پَناه بُردَن
- bei jem. Schutz suchen; به کِسى پَناه بُردَن
- zum Schutz Ihrer Angelegenheiten; دَر مُراقِبَت از اُمورات ِ خود
- die Stadt bietet keinen Schutz; اين شَهر بي دَر و دَروازه
Schutzanzug; روکِش ِ مُحافِظ
Schutzblech; گِلگير
Schütze; تُفَنگدار، تيراَنداز
schützen; کِسى را حِفاظت کَردَن، ـ مَحفوظ داشتَن
- geschützte Druckrechte; حُقوق ِ چاپ مَحفوظ
- geschützter Ort; قُرُق، پَناه
Schützengraben; سَنگَر
Schutzgitter; شبکة مُحافِظ
Schutzhaft; توقيف ِ حِفاظى
Schutzhelm; کُلاه ِ ايمَنى
Schützling; دَست نِشانده
Schutzmarke; عَلامَت ِ تِجارَتى، ـ مَحفوظ
Schutzmassnahme; تَدبير ِ ايمَنى
Schutzring;
- ein Schutzring um ..; ... ِ يِک حَلقة مُحافِظ دور
Schutzzoll; گُمرُکى ِ حِمايَتى
schwach; ضَعيف، عَليل، زَمين گير، بى حال
- schwach werden; بال اَفکَندَن، عاجِز شُدَن
- schwach werden (bei Versuchung); دَست و پاى ِ کِسى شُل مى شَوَد
- täglich schwächer werden; آب دَر شِکَر داشتَن، روز از روز نِزارتَر شُدَن
- sie waren durch ... so schwach; آنها از ... نِزار شُده بودَند
- ich habe einen schwachen Punkt; يِک نُکته ضَعف دارَم
- einen schwachen Punkt ergreifen; آتو گِرِفتَن، نُکته ضَعف از کِسى گِرِفتَن
- schwache Hitze (beim Kochen); حَرارَت ِ مُلايِم
- schwacher Tee; چاى کَم مايه، ـ کَم رَنگ
