Tabak; توتون
tolerieren; تَحَمُل کَردَن
toll; بَدیع، عالى
- toll (unter Jugendlichen, ansonst iron.); دَمِت گَرم
- das hast du toll hingekriegt (iron.); دَمِت گَرم خوب کَردی
- toller Erfolg; توفیق ِ چِشم گیر، ـ مُعجِزه آسا
- toller Garten; باغ ِ مُحتَشَم
- tolles Kleid; لِباس ِ جِلف و قَشَنگ
Tollwut; هارى
tollwütig; هار
Tölpel; اَحمَق
- du benimmst dich wie ein Tölpel; هَمهٔ کاسهٔ کوزه هارا بِهَم زَدى
Tomate; (dari) بادِمجان ِ رومی) گوجه فَرهَنگى، ـ فَرَنگى)
Tomatenmark; رُب ِ گوجه فَرَنگى
Ton;
- Ton (Laut); (pl.) صوت (اَصوات)، صِدا
- Ton (- erde); خاک ِ رُسى، گِل ِ رُس
- gebrannter Ton; خاک ِ نَسوز
- halber Ton (in Musik); نیم پَرده
- er spuckt grosse Töne; لاف ِ زیاد مى زَنَد، قُمپُز دَر مى کُنَد
tonangebend; غالِبانه
Tonband; نَوار ِ ضَبط ِ صوت
Tonleiter; گام، دَستگاه هاى ِ اَصلى
Tonne;
- Tonne (Gefäss); بُشکه
- Tonne (Gewichteinheit); تُن، ۱۰۰۰ کیلوگرام
Tonspur; (beim Filmband) حاشیهٔ صوتى
Tonus; اِنقِباض ِ دائِم ِ ماهیچهٔ صاف
Topas; یاقوت ِ زَرد
Topf; دیگ، کوزه، بادیه
- zu jedem Topf passt ein Deckel; دَر و تَخته به هَم جور مى آيَد
- sie in einen Topf werfen; آنهارا به يِک کاسه کَردَن
- Schmortopf; کُماجدان
- mit Töpfeschrubben beschäftigt sein; با دیگ سابى مَشغول بودَن
Töpfer; کوزه گَر
Topographie; موضِع شِناسى
Tor;
- ein Tor schiessen; گُل زَدَن
- 5 Tore erzielen; پَنج گُل زَدَن
- mit 1 Tor vorne liegen; با يِک گُل از سَر ِ حَریف ِ خود گُذَشت
- es ist besser, einen Klugen zum Gegner zu haben, als einen Tor zum Freund; مُخالِف ِ دانا بِه از نادان دوست
- Einfahrtstor; دَرب ِ وُرودى
- Torkasten (beim Ballsport); باجه، دَروازه
Torf; (turb) تورب
Torheit; حِماقَت، جَهالَت، بى عَقلى، بى فَهمى
torkeln; تِلو تِلو خوردَن، نَوان شُدَن
Tornister; دوش تُبره
Torpedo; اَژدَر
Torpedoboot; ناو ِ اَژدَر اَنداز
Torschütze; گُلزَن
Torsionskraft; نیروى ِ پیچِش
Torso; مُجَسَمهٔ ناقِص، تَندیس
Torwart; دَروازه بان
tot; مَيِت، بى جان، مُرده
total; تَماماً، کامِلاً
- total hilflos; مَذبوحانه، کامِلاً بى چاره، تَماماً بى چاره
- alles geht total bergab; هَمه چیز به تَمامى به قَهقَهرا مى رَوَد
Totalausverkauf; اَجناس ِ کُتره اى فُروخته مى شَوَد
totalitär; مُستَبِد
- totalitäre Regierung; دولَت ِ هَمه گیر، دولَت ِ مُستَبِد
Totalitarismus; اِستِبداد ِ هَمه گیر، تام رَوائى، يِکه تازى
Totalreflexion; اِنعِکاس ِ کُلى
töten; کِسى را مَقتول ساختَن، ـ کُشتَن
Totenandacht; خَتم
Totengräber; گور کَن
Totenkleid; خَلعَت، کَفن
Totenmesse; فاتِحه
- Totenmesse lesen; فاتِحه خواندَن
Totenschein; گُواهى ِ فوت
Totenstarre; جُمود ِ نَعشى
Toter; مُرده، مَيِت
totgebrannt; سوختهٔ خاموش
Totschlag; قَتل ِ غِیر ِ عَمد
- die Zeit totschlagen; وَقت کُشى کَردَن
Totschläger; قاتِل
Tour; مُسافِرَت ِ تَفریحى
- Tour de France; تور دو فرانس
Tourismus; توریسم، جَهانگَرى
Tourist; توریست، جَهانگَر
Toxikologe; سَم شِناس
Toxin; زَهرابه
toxisch; مَسموم
Trab; یورتِمه
traben; یورتِمه رَفتَن
- trabendes Pferd; اَسب ِ رَهوار
Trachee; مُجراى ِ تَنَفُسى دَر حَشَرات
trachten;
- nach dem Leben von ... trachten; قَصد ِ جان ِ کِسى داشتَن
- trachten nach; راغِب بودَن به، دَر بارهٔ ... اَندیشیدَن
- das ganze Denken & Trachten ist ...; تَقَلاى ِ تو تَقَلاى ِ چیزى بودَن، اَسباب چینى سَر ِ این است
Trachtenkleidung; لِباس ِ ماهوت، ـ مَحَلى
trächtig; باردار
Trächtigkeit; باردارى
tradiert;
- tradierte Geschichten; حِکايَتهاى ِ مأثور
Tradition; (pl.) (آداب و رُسوم، سُنَت (سُنَن
traditionell; سُنَتى
tragbar;
- tragbar (als Gewicht); دَستى، قابِل ِ حَمل
- tragbar (z.B. Kleidung); قابِل ِ پوشیدَن
träge; تَنبَل، بیحال
- sie sind sehr träge; آنها خِیلى خُمود هَستَند
- ein träger Typ; آدَم ِ ناکار
Trage; زَنبه، تَخت ِ رَوان
tragen; حَمل کَردَن، بُردَن
- bequem zu tragen; خوش بار
Träger; حامِل
- Eisenträger; تیر آهَن، تیر ِ حَمال ِ آهَنى
- Lastenträger; باربَر
trägerlos; (- es Kleid) لِباس بِدون ِ رِکاب
Tragetuch; چَپَرپیچ
- in ein Tragetuch einwickeln (z.B. Baby); چَپَرپیچ کَردَن
Trägheit; فَرويِش، بى حالى، خُمود، تَکَسُل
Trägheitsmoment; گَشتاوَر مانَد، مُمان ِ اینَرسی
Tragik; نُحوسَت، بَديُمنى، مُصیبَت
tragisch; فاجِعه اَنگیز، غَم اَنگیز، حُزن آوَر
- tragischer Vorfall; اِتِفاق ِ جانسوز، ـ جانگُداذ، ـ فَجیع
Tragödie; فاجِعه
- Tragödie (Theater); تراژِدى
Tragweite; (polit.) عَواقِب
Trainer; مُدَرِب، مُرَبى
trainieren; تَمرین کَردَن
Training; تَمرین
Trainingsanzug; لِباس ِ وَرزِشى
Trainingsstunden; دورهٔ کلاس ِ مُرَبیگَرى
Traktat; رِساله
Traktor; تراکتور
trampen; با اُتو اِستاپ مُسافِرَت کَردَن
Träne; سِرِشک، اَشک
- unechte Tränen vergießen; آب ِ غوره گِرِفتَن
- jem. zu Tränen rühren (v.a. bei Trauerveranstaltung); کِسی را به گریه اَنداختَن، اَشک گِرِفتَن
- Freudentränen; اَشک ِ شوق، گِریه شادى
- Krokodilstränen; اَشک ِ تَمسَح
Tränendrüse; غُدهٔ اَشکى
Tränengas; گاز ِ اَشک آور
Tränke; آبِشخور
tränken; کِسى را سیرآب کَردَن، ـ نوشانیدَن، ـ آب دادَن
Transaktion; مُعامِله
Transfer; اِنتِقال
- Geldtransfer; حَواله
Transformator; مُبَدَل، ترانسفورماتور
transformieren; .تَبدیل کَردَن، دِگَرگون ک
Transfusion; تَزریق، اِنتِقال
Transistor; ترانزیستور
transparent; شَفاف
Transparenz; پالایه، شَفافى، شَفافيَت
Transplant; عُضو ِ پِیوَندى
Transplantation; پِیوَند ِ اَعضاء
- Herztransplantation; پِیوَند ِ قَلب
transplantieren; پِیوَند زَدَن ِ بافتها، جابِجا زَدَن ِ ـ
Transport; بارکِشى، حَمل و نَقل
- einen Transport unternehmen; يِک حِرفهٔ نَقل و اِنتِقال پَرداختَن
Transportband; تَسمهٔ نَقاله
Transportgefährdung; مُخاطِرهٔ حَمل و نَقل
transportierbar; قابِل ِ حَمل و نَقل
Transportmittel; وَسیلهٔ نَقلیه
- allgemeine Transportmittel; وَسیلهٔ نَقلیهٔ هَمِگانى
Transportunternehmen; شِرکَت ِ حَمل و نَقل
transzendent; اِدراک ِ مُتَعال
- transzendente Welten; (olwi) عَوالِم ِ عُلوى، ماوَراى ِ عالَم
- Transzendenz Gottes; ماوَراء ِ خِلقَت، تَعالى ِ خُدا
Trapez; (mathemat., Sport) ذو زَنَقه
Trapezkünstler; بَند باز
Trassierung; اِنتِخاب ِ مَسیر
Tratsch; بَد زَبانی، جُغُلی، سُخَن چینی
tratschen; .دو بَر هَم زَنى کَردَن، سُخَن چینى ک
Traube; اَنگور
- unreife Traube; غوره
- Saft aus unreifen Trauben; آب ِ غوره
Traubenlese; اَنگور چینى
Traubensaft; آب ِ اَنگور
Traubenzucker; گلوکُز
trauen;
- trauen, vertrauen; اِعتِماد داشتَن
- jem. trauen (verheiraten); عَقد کَردَن
Trauer; ماتِم، نوحه، سوکوارى، نوحه گَرى، تَرَح، عَزا داری
- wegen Trauer; به عِلَت ِ تألُمات
- voll Trauer; با قَلبى ِ آکَنده از غَم و اَندوه
- jem. in Trauer stürzen; کِسى را دَر سوگ ِ وُجود ِ خویش نِشاندَن
- welche Trauer!; چه عَزائيست که مُرده شور هَم گِريه می کُنه
- Nationaltrauer; عَزاى ِ مِلى
- Trauerphase (eine geschiedene Frau oder Witwe darf innerhalb 100 Tagen nicht heiraten); عِده
Trauerfeier; عَزادارى، مَجِلس ِ تَرحیم، ـ عَزا
Trauerklage; شیوَن، مَرثیه
Trauerkleidung; لِباس ِ عَزا، ـ سوکیانه
Trauermarsch; مارش ِ عَزا
Trauermelodie; قَصیده
trauern; ماتِم گِرِفتَن، ـ داشتَن، عَزادار بودَن
- er trauerte 3 Wochen; او سه هَفته ماتِم گِرِفت، ـ عَزا گِرِفت
- jem. betrauern; به سوگ ِ کِسى نِشَستَن، بَراى ِ کِسى عَزا گِرِفتَن
Trauernder; نوحه گَر، عَزادار
Trauerzug; دَستهٔ عَزادارى، مُشايِعَت، تَشییع ِ جِنازه
Traufe; راه آب، ناودانى
- vom Regen in die Traufe; از چاله به چاه اُفتادَن
träufeln; چِکانیدَن
- etwas ins Ohr träufeln; قَطور دَر گوش چِکاندَن
Traum; خواب
- und im Traum sah er Brot; و خواب نان مى دید
- ich hatte einen Traum; خوابى دیده ام
- schlechter Traum; بَختَک
- ein Traum von Haus; خانهٔ مَعَرِکه ای است
- ... mir nicht mal im Traum einfallen; هَرگِز به خواب هَم نَدیده باشَم، هَرگِز فِکرِش را فِکر نِمى کَردَم
- Träume sind Schäume; خَربُز آب است فِکر ِ نان باش
Traumata; جَراحَت، آسیب
Traumbild; آرمان
Traumdeutung; تَعبیر ِ خواب
träumen; خواب دیدَن
- träumen, phantasieren; رؤیاها دیدَن
- träum mal; خوابَش را بِبین
- von etwas träumen; اُمید ِ چیزى را داشتَن، سوداهاى ِ خام پُختَن، دَر خیال خواستَن
- von jem. träumen; خواب ِ کِسی را دیدَن
- von ... zu träumen anfangen; دَر مورد ِ ... به رویا پَروَرى پَرداختَن
- ich träumte; خوابى دیده ام، مَن خواب دیدَم
- ihm träumte, dass ...; او خوابى دید
- erleben & erträumen; مُشاهِدات و تَخَيُلات، چِشیده ها و خواسته ها
Träumer; خواب بین، آدَم ِ خیالى
Träumerei; خیال پَردازی، خیال بافی
Traumtänzer; يِک شاهی بِده آش به هَمین خیال باش
Traumwelt; عالَم ِ خیال، دُنیاى ِ فاضِله
traurig; مَحزون، مَغموم، سوکوار
- das machte mich traurig; دِلَم را ریش کَرده
- eine traurige Angelegenheit; واقِعهٔ مولِمه، اِتِفاق ِ اَسَفناک، ـ دِل آزار
- traurige Augen; چِشمهاى ِ غَم گِرِفته
Traurigkeit; اَندوه، غَم
Trauschein; سَنَد ِ اِزدِواج
Traute; جُرأت، شُجاعَت
- ich hatte keine Traute; دِل توی ِ دِلَم نَبود
Trauung; عَهد ِ نِکاح، اِزدِواج، عَقد، اِنکاح
Traverse; تیر ِ مُتَقاطِع، تراوِرس
Treffen; (n) بَرخورد، مُلاقات
- ein gemütliches Treffen; گِردِهَمائى ِ خودِمانى
treffen;
- jem. treffen; کِسى را مُلاقات کَردَن، ـ بَرخورد ک.، با کِسى دیدار ک.، به دیدَن ِ کِسى رَفتَن
- nicht treffen (z.B. ein Ziel); تیرَش به سَنگ مى خورد
- das Bedürfnis, Menschen zu treffen; نیاز به هَم رِساندَن با مَردُم
- entschloss mich, ... zu treffen; تَصمیم گِرِفتَم با ... دیدار کُنَم
- ein Schlag hat ihn getroffen; ضَربه اورا اِصابَت کَرد
- gestern hat uns ein Unglück getroffen; دیروز بَلائى سَر ِ ما آوَرده
- was für ein Unglück ihn trifft!; چه بَدبَختی سَرَش می آيَد
- du hast nicht getroffen; جا خالى زَدى، نِشانه نَزَدى
- das trifft ihn, das sitzt; بَر او کارگَر مى افتَد
- für einen Augenblick trafen s. unsere Blicke; نِگاهِمان يِک لَحظه به هَم اُفتاد
treffend;
- er machte folgende treffende Bemerkung über ihn; او کَلَمات ِ قِصار ِ زیررا بَر زَبان آوَرد
- treffendes Urteil; رأى ِ صائِب
Treffer;
- Fehltreffer; تیر ِ غِیبى
trefflich; حَکیمانه، عالى
Treffpunkt; مَحَل ِ تَلاقى، ـ مُلاقات، میعاد گاه، پاتُق
Treibeis; تودهٔ يَخ ِ شِنَوا
treiben; راندَن، پیش بُردَن
- Sport treiben; وَرزِش کَردَن
- er treibt uns hierhin und dorthin; او مارا به جِلو و عَقَب مى رانَد
- was treibst du gerade?; چه کار می کُنی؟
Treiber; (bei Jagd) آهو گَردان
Treibhaus; گُلخانه
Treibmine; مین ِ شِناوَر
Treibsand; شِنهاى ِ رَوان
Treibstoff; مَواد ِ سوختَنى، سوخت
Trend; گِرايِش
Trendanalyse; تَحلیل ِ گِرايِش
trennen; .مُفَرِق شُدَن، ـ بودَن، جُدا کَردَن، قَطع ک
- s. von jem. trennen; از کِسى اِستِعفا کَردَن
- trennt sie voneinander; از هَم دىگَر سِوايِشان کُنید
- gibt es getrennt von Gott ...?; آیا جُدا از خُدا ...؟، بِجُدائى از خُدا ...؟
- getrennte Kasse; مَخارِجِشان سَواست
- in getrennten Buchstaben; به تَفکیک ِ حُروف
trennend; مُمَيِز، ویرگول
Trennscheibe; قُرس ِ جُدا کُنَنده
Trennung;
- Trennung von jem.; فَراق، حاشیه رَفتَن از کِسى، جُدائى ـ
- Trennung von Kirche & Staat; تَفکیک ِ دین از دولَت، جُداسازى ِ ـ
Trennungsentschädigung; جُبران ِ خِسارَت ِ جُدائى
Trennungszulage; اِضافهٔ حُقوق ِ جُدائى
Trennwand; دیوار ِ تیغه
Treppe; نَرده بان، پِله کان، پِلکان
treppenförmig; به شِکل ِ نَردِبانى
Treppengeländer; نَرده
Tresor; گاو ِ صَندوق
Tretanlasser; اِستارت ِ پائى
treten;
- in Verbindung treten mit; اِرتِباط با کِسى بَر قَرار کَردَن
- jem. gegen das Bein treten; به کِسى پُشت ِ پا زَدَن
- nach unten treten, nach oben buckeln; از خُردان لَخشیدَن از بُزُرگان بَخشیدَن
- er tritt durch die Glastür ins Innere; از دَر ِ شیشه ای به دَرون پا مى نَهايَد
- ich bin in einen Nagel getreten; دَر میخ پا گُذاشتَم
Tretmühle;
- das ist eine Tretmühle; عِین ِ اَسب ِ اَسیره چَرخیدَن
treu; اِخلاصمَند، اَمین، وَفادار
- ich bin mir treu geblieben; مَن رو حَرفَم موندَم
Treue; وَفادارى، صِداقَت
- jem. wird seine Treue aufgeben; کِسى نَمَک به حَرامى خواهَد بود
Treueeid;
- Treueeid leisten; .سوگَند ِ یاد کَردَن، سوگَند ِ وَفادارى ک
Treuhand; توليَت، قِیمومَت، مُدیريَت ِ اَمانى، تراست
Treuhänderschaft; تَوَلا
treuherzig; بى ریا، بى عِیب
treulos; غَدار، خائِن
Tribunal; دیوان ِ حَرب، دادگاه، دیوان ِ مُحاکِمات
Tribüne; جایگاه ِ تَماشاچیان
Tribut; باج
tributpflichtig; مُستَلزِم ِ عَوارِض
Tributpflichtiger; باجگُذار
Trichter; قیف
- Erdtrichter; قَمع
trichterförmig; قیفى
Trick; تَرفَند
- mit faulen Tricks; با دوز و کَلَک
- das sind keine faulen Tricks; مَن شیله پیله توی ِ کارَم نیست، راستی حُسِینی هَستَم
- kleine Tricks; لَطایف اُلحيَل
- zur Vermeidung dieser Tricks; بَراى ِ اِجتِناب از این تَرفَندها
- seine Tricks führen zu nichts; آب از سَرِش گُذَشت
tricksen; .بامبول زَدَن، فَن ز
- jeder trickst jeden aus; با هَمه بَلی با مَن هَم بَلی
Trickserei; حُقه بازى، شیله پیله
Trieb;
- Trieb, Ableger; پِیجوش، نَهال، نورَسته
- Trieb (sexuell); سائِقه، سايِقه، سايِق
- Selbsterhaltungstrieb; اَنگیزهٔ اِحتِفاظ، سائِقهٔ ـ
triebhaft;
- triebhafter Mensch; آدَم ِ هیز
Triebkraft; قُوهٔ مُحَرِکه
Triebwerk; (bei Rakete) نیروى ِ مُحَرِکهٔ موشَک
triefen; چِکیدَن
- triefende Frucht; میوهٔ آبلَنبو
Triefnase; (mofu) مُفو
triftig; مُوَجَه، قانِع کُنَنده
- triftiger Grund; عُذر ِ مُوَجَه، دَلیل ِ ـ
Trigonometrie; مُثَلَثات
Trikotage; کِش بافى
Trikotwäsche; لِباس ِ کِش باف
Trinität; تَثليَث، ثالوث، تَثلیس، سه یگانِگی
trinkbar; آشامیدَنى
trinken; نوشیدَن
- mit. jem. ein Gläschen trinken; با کِسى دو گیلاس زَدَن
Trinkerei; مِیگُسَرى
Trinkgeld; اِنعام
Trinkhalm; نِى ِ نوش
Trinkwasser; آب ِ آشامیدَنى
Triplexverfahren; رَوِش ِ سه بوته اى
Tripper; سوزاک
trist;
- trist sein; .مَلول بودَن، خَسته کُنَنده ب
- tristes Leben; زِندِگى ِ کَسِل کُنَنده، ـ مَلال آوَر
- triste Farben; رَنگهای تیره
Tritt; لَگَد
- jem. einen Tritt (in den Hintern) geben; .شَلَخته زَدَن، لَگَد ز
Trittbrett; رِکاب
Trittbrettfahrer; نِیزه باز، راکِب
Triumph; پیروزى
Triumphbogen; طاق ِ پیروزى
triumphieren;
- triumphieren über; بَر کِسى پیروز شُدَن
trocken; خُشک
- trocken, dürr (Wüste); بَرَهوت
- auf dem Trockenen sitzen; دَر تَنگدَستى بودَن
Trockenheit; خُشکى
trockenlegen; (eines Gewässers) زیر آب زَدَن
Trockenlegung; تَجفیف کَردَن
trocknen; خُشک کَردَن
Trockner; خُشک کُن گَردان
Trödel; خِرت و پِرت
trödeln; فِسفِس کَردَن
Trödler; پیله وَر، سِمسار
Trog; تَغار
- Backtrog; تَغار ِ خَمیر، لاوَک
Trommel; طَبل، دُگِل، دُهُل، دَمام
- kleine Trommel; طَبله
Trommelfell; پَردهٔ سِماخ، ـ صِماخ
Trommelmischer; مَخلوط کُنَندهٔ تَغارى ِ گَردان
trommeln; طَبل زَدَن
Trommelwirbel; ضَرباهَنگ ِ طَبل
Trommler; ضَرب زَن، طَبال
Trompete; ترُمپِت
Tropen; نَواحى ِ گَرمسیر
Tropf; (med.) سُرُم
- ein armer Tropf; آدَم ِ کَم عَقل
Tropfen; (m) قَطره، چِکه
- bis zum letzten Tropfen; لاجُرعِه
tropfen; چِکیدَن، تَراویدَن
- abgetropfter Quark; ماست ِ چِکیده
tropfenweise; قَطره قَطره، چِکه چِکه
Trophäe; (pl.) (غَنیمَت (غَنائِم
- Kriegstrophäe; غَنايِم ِ جَنگ
Trost; تَسَليَت، تَسَلى، آسايِش، آسودِگى، دِلدارى، آرامِش خاطِر
trösten; (jem. -) تَسَلى دادَن، آسايِش بَخشیدَن، آسودِگى ب.، دِلدارى دادَن، آب ِ شادی بَر آَتش ِ غَم ریختَن
Tröster; مُعَزى، تَسَليَت دَهَنده
trostlos; مأیوس، بِدون ِ چِشم داشت
- trostlose Stimme; صِداى ِ حَزین
Trottel; خُل و چِل، اَلدَنگ
trottelig; خِنگ
Trottoir; پیاده رو
Trotz; (m) خودسَری، لَجاجَت
- zum Trotz; اِلى رَغم
trotz; ِ با آنهَمه، با اینکه، با وُجود
- trotz allem ...; به هَر کَلَکی بود
trotzdem; با اینحال، با وُجود ِ این که
trotzen;
- einer Sache gegenüber trotzen; بَر چیزى پا نَهادَن، دَر مُقابِل ِ چیزى مُقاوِمَت کَردَن
trübe; تار و تیره، بی رَنگ
- trübe Farbe; رَنگ ِ تاسیده، ـ تیره، ـ کَدِر
- trübe Scheiben, Milchglas; شیشهٔ تاره
- eine Sache trüben; ِ گِل آلود کَردَن ِ آبها دَر مورد
- in trüber Stimmung sein; دَر حال ِ ضَجور بودَن
Trubel; شُلوغ
- Arbeitstrubel; کِشاکِش ِ کار
- Feiertagstrubel; دَنگ و فَنگ ِ عِید
Trübsal; سَختى، زَحمَت، مِحنَت، پَریشانى
trübsinnig; اَفسُرده، دِلتَنگ، دِلخورده
Trübung;
- Trübung (des Blickes); زِیغ اُلبَصر
- Trübung (des Wassers); تیرِگى
Trug; فَریب، گول
trügerisch; فَریبَنده
Trugschluss; قیاس ِ کاذِب
Truhe; صَندوق
Trümmerhaufen; مَزبَله، خَرابه، آوار
Trumpf; بَرگ ِ بَرَنده
- Pik ist Trumpf; حُکم پیک است
trumpfen; (Kartenspiel) حُکم کَردَن
Trunkenbold; بَدمَست، اَلکُلى
Trunkenheit; مَستى، سَکره
Truppe; (milit.) نیروى ِ نِظامى، لَشکَر
- sie setzten ihre Truppen in Bewegung; آنها صُفوف ِ سَربازان ِ خودرا به حَرَکَت دَر آوَردَند
- Kampftruppen; عِدِه هاى ِ رَزمى
- schnelle Eingreifstruppe; نیروهاى ِ واکُنِش ِ سَریع
Truppenabzug; عَقَب کِشى ِ واحِد ِ نِظامى
Truppenaufstellung; صَف آرايی
Truppenreduzierung; تَقلیل ِ قُواى نِظامى
Trust; تراست
Truthahn; بوقلَمون
Tschüss; تا بَعد، خُدا نِگَهدارِتان باشد
Tube; لوله
Tuberkulose; سِل
- tuberkulöses Mädchen; دُختَر ِ مَسلول
Tuch; ماهوت، پارچه
- mit dem Tuch über ... wischen; با کُهنه روى ِ چیزى کِشیدَن
- Halstuch; لَچَک
- Kopftuch; چارقَد، رو سَرى
- Tragetuch (zum Transportieren von Wäsche, etc.); بُقچه
tüchtig; کارى، زِرَنگ
- tüchtig sein für ...; لیاقَت ِ این چیزرا داشتَن، قابِليَت ِ ـ ، اَهَليَت ِ ـ
tuckern; (z.B. Motor) ریپ زَدَن
tückisch; بَد جِنس
- tückische Krankheit; مَرَض ِ موذى، ـ خَطَرناک
Tugend; ماهيَت، تَقوا
tugendhaft; صالحِانه
- eine tugendhafte Frau; زَن ِ عَفیفه
Tugendhaftigkeit; فَضیلَت
Tulpe; گُل ِ لاله
Tümpel; آبگیر، بِرکه
Tumult; کِشمَکِش، غوغا
- wegen Tumult; از داد و بیداد، از کِشمَکِش
- nächtlicher Tumult; آشوب ِ شبانگاهى، گیر و دار ِ ـ
- er fängt den grossen Tumult an; هَنگامه را به راه مى اَندازَد
tun; کَردَن، اِجرا کَردَن، اَنجام دادَن، عَمَل نِمودَن، دَست اَندر کار بودَن
- ich tu dir nichts (popul.); کارَت نَدارَم
- sonst habt Ihr nichts zu tun? (iron.); دیگه سوژه گیر نَیاوَردید؟
- was du nicht willst, dass man dir tu, das füg auch keinem anderen zu; با دیگَران هَمانطور رَفتار کُن که مى خواهى آنها با تو رَفتار کُنَند
- etwas gutes tun (relig.); ثَواب کَردَن
- er konnte nichts mehr tun; او نِمى تَوانِست کارى کُنَد
- was muss ich tun; مَن چه بايَد بِکُنَم
- ich werde alles, wozu ich in der Lage bin, für dich tun; هَر کارى که از دَستَم بَر مى آيَد بَرايَت مى کُنَم
- tu, was richtig ist; آنچه راست است بِجا آوَر
- 2 Dinge auf einmal tun; دو مَنزِل يِکى رَفتَن
- mit jem. was zu tun haben; با کِسى نِشَست و خاست کَردَن، با کِسى سَر و کار داشتَن
- was hast du damit zu tun?; تورا به این کارها چه کار؟، به تو چه رَبطى دارَد؟
- ich hatte mit ihm zu tun; کارَم با او بود
- sie hatten damit nichts zu tun; کارى به این کار نَداشتَند
- sie wollen damit nichts zu tun haben; آنها از پَذیرُفتَن ِ آن سَر باز مى زَنَند
- mit dir habe ich nichts zu tun; اَگَر پُشت ِ گوشت را دیدى مَرا هَم مى بینى
- wir haben noch miteinander zu tun; کارِت دارَم
- pass auf, dass du es nicht mit ihm zu tun bekommst; مُواظِب باش مَبادا با او دَر اُفتاده باشى
- das eie hat mit dem anderen nichts zu tun; تَلافی ِ غوره را سَر ِ کوره دَر نِیآوَردَن
- so tun, als ob; پیاز هَم خودِش را داخِل ِ میوه ها کَرده، توریه کَردَن
- so tun, als ob man nicht Bescheid wüsste; خودرا به کوچهٔ على چَپ زَدَن
- ohne Erlaubnis darf er nichts tun; بِدون ِ اِجازه دَست به سیاه و سِفید نِمى زَنَد
- jeder, der mit Armen zu tun hat; هَر کِسى که با مَحرومان مَحشور شُده باشد
- es tut s. was; اِتِفاقى دَر شُرُف ِ وُقوع است
- es tat s. nichts; خَبَرى نَشُد
- die Arbeit muss getan werden; بايَد کار اَنجام شَوَد
- ohne seinen Rat tat er nichts; بِدون ِ مَشوَرَتَش آب نِمی خورَد
- er fand den Mut, das zu tun; او جَسارَت ِ این کاررا پِیدا کَرد
- er kann tun & lassen, was er will; او مى تَوانَد اَنجام و ایجاب کُنَد هَرچه را که اِراده مى کُنَد
- Tun & Lassen; حَرَکَت و سَکَنات، اَنجام و ایجاب
Tünche; اَندود، دوغاب ِ گَچ
tünchen; اَندودَن، سِفید کَردَن ِ دیوار
Tunnel; تونِل
- Licht am Ende des Tunnels; دَر نومیدی بَسی اُمید است پایان ِ شَب سیه سِفید است
Tunte; اُبنه ای
tuntig; اُبنه
Tür; دَر
- an der Tür klopfen; دَر زَدَن
- zweiflügelige Tür; دَر ِ دو لِنگه
- jemandem die Tür zeigen; کَفش ِ کِسى را جُفت کَردَن
- das Fest steht vor der Tür; عِید نَزدیک است
- Hintertür; دَر ِ پُشتى
Türabsatz; پاشنهٔ دَر
Türangel; لولاى ِ دَر
Turban; عِصابه، عَمامه
turbantragend; مُعَمَم
Turbine; تُربین
Turbolader; شارژکُنَندهٔ توربور
Turbulenz; آشُفتِگى
Türflügel; لِنگهٔ دَر
Türfüllung; تَختهٔ دَرب
Türgriff; دَستگیرهٔ دَر
Türke; تُرک
Türkei; تُرکیه
Türkis; فیروزه
türkisch; تُرکى
Türklopfer; دَرکوب
Turm; بُرج
Turnen; (n) ژیمناستیک
turnen; ژیمناستیک کَردَن
Turner; زور وَرز، وَرزِش کار
Turnier; مُسابِقهٔ قَهرَمانى
Turnus;
- im monatlichen Turnus; از طَریق ِ ماهواره
turnusmässig; بِنوبَت
Türpfosten; تیر ِ عُمودى، قائمهٔ دَر
Türschwelle; کِریاس ِ دَر، کَف ِ دَرگاه، آستان ِ دَر
turteln; لاس زَدَن، لاسیدَن
Türvorleger; پادَرى
Tusche; مُرَکَب ِ چین
tuscheln; پِچ پِچ کَردَن
Tüte; ساک، پاکَت
- Plastiktüte; نایلون
Typ;
- Typ, Art; نَحو
- Typ (negativer Sinn); مَتیکه، مَردیکه
- Leute vom gleichen Typ; هَمطِراز ِ اَشخاص
- idealer Typ; نِمونهٔ عالى
- der Typ ist nicht zu genießen; او را با صَد مَن (تَقریباً ۳۰۰ کیلو) شِکَر هَم نِمی تَوان خورد
- ein undurchsichtiger Typ; پُشت و روش مَعَلوم نیست
Typhus; تیفوس، حَصبه
typisch;
- das ist typisch; مُختَص به ... است
- das ist typisch für Dich; لايِق ِ ریشِت است
- er ist ein typischer Iraner; او از جَنَم ِ ایرانى است، او ایرانى ِ اَصلى است
Typologie; سِنخ شِناسى
Tyrann; مُستَبِد، جَبار، زورگو، ظالِم
Tyrannei; ظُلم، اِستِبداد
tyrannisch; ظالِمانه
tyrannisieren; .ظُلم کَردَن، سِتَم ک
tyrannisiert; سِتَم دیده
