Vabanquespiel; ماجِرا
Verfassungsbeschwerde; اِعتِراض به تَخَلُف از قانون ِ اَساسى
Verfassungsbruch; نَقض ِ قانون ِ اَساسى، تَخَلُف ِ ـ
verfassungsgebend;
- verfassungsgebende Gewalt; قُوهٔ مؤِسِسان
- verfassungsgebende Versammlung; مَجلِس ِ مُؤِسِسان
verfassungsgemäss; مُبتَنى بَر قانون ِ اَساسى
Verfassungsgericht; دادگاه اَساسى
Verfassungsklage; شِکايَت بُردَن به دیوانِعالى ِ قانون ِ اَساسى
verfassungsmäßig; بَر قانون ِ اَساسى
- verfassungsmäßige Ordnung; نِظام مُبتَنى بَر قانون ِ اَساسى
- verfassungsmäßiges Recht; حُقوق ناشى از قانون ِ اَساسى
- Verfassungsmäßigkeit einer Organisation; مُطابِقَت ِ سازِمان با قانون ِ اَساسى
verfassungsrechtlich;
- verfassungsrechtlicher Rahmen; مَحدودهٔ قانون ِ اَساسى
Verfassungsschutz; حِفظ ِ قانون ِ اَساسى، حَراسَت ِ قانون ِ اَساسى
verfassungswidrig; غِیر ِ قانون ِ اَساسى، مُغايِر ِ ـ
- für verfassungswidrig erklären; خَلاف ِ قانون ِ اَساسى تَشخیص دادَن
- Verfassungswidrigkeit einer Organisation; ضِديَت ِ سازِمان با قانون ِ اَساسى
verfaulen; پوسیدَن
- verfault; پوسیده، گَندیده، عَفِن، مُتَعَفِن
verfehlen; عَوَضی گِرِفتَن
- Gebote verfehlen; از دَستور تَخطى کَردَن، دَر شَرائِط لَغزیدَن
- Ziel verfehlen; نِشانه نَزَدَن
Verfehlung; خَطا
verfilzen (s. -);  .کُرک شُدَن، دَر هَم بافته ش
verflochten (Zaun, u.ä.); مُتَشَبِک
verfluchen; لَعَنَت کَردَن
- verflucht; مَلعون، لَعَنَت شُده
verflüssigen; مايِع کَردَن
verfolgen; تَعَقیب کَردَن
- wegen dir konnte ich die Sache nicht verfolgen; مَحض ِ خاطِر ِ تو بود که پاپِى ِ قَضیه نَشُدَم
- er verfolgt mich dauernd heimlich; او خِیلی زاغ ِ سیاه مَرا چوب می زَنَد، او ذاغَم را چوب می زَنَ
Verfolger; تَعاقُب کُنَنده، تَعَقیب کُنَنده
Verfolgung; تَعاقُب، پِیگیرى، تَعَقیب
- strafrechtliche Verfolgung; تَعقیب ِ کِیفَرى
- Rassenverfolgung; تَعقیب ِ نِژادى
verformen; تَغییر ِ شِکل دادَن
Verformung; تَغییر ِ شِکل
verfügen;
- verfügen über ...; از .. بَهره گِرِفتَن، ـ بَهرِمَند شُدَن
- Wie haben Sie über Ihr Geld verfügt?; پول ِ خودِتان را چه قِسم به مَصرَف رِساندید؟
Verfügung; اِختیار
- etwas jem. zur Verfügung stellen; چیزى را دَر اِختیار ِ کِسى گُذاشتَن
- jem. sein Vermögen zur Verfügung stellen; ثِروَت ِ خود را به پاى ِ کِسى ریختَن، ـ خَرج ِ دیگَرى کَردَن
- zur Verfügung sein; دَر دَسترِس بودَن
- die Übersetzung steht zur Verfügung; تَرجُمه دَر دَسترِس است
- ich stehe Ihnen zur Verfügung; دَر خِدمَت ِ شُما هَستَم
- zur allgemeinen Verfügung stehen; دَر مَعرَض ِ اِستفادهٔ عُمومى قَرار مى گیرَد
- das Zimmer war zu ihrer Verfügung; اُطاق دَر اِختیار ِ آنها بود
- etwas zur Verfügung haben; چیزى را دَر اِختیار داشتَن
- er hat das Auto für s. alleine zur Verfügung; او مى تَوانَد ماشین را به تَمامى از آن ِ خود کُنَد
Verfügungen; تَصمیمات
Verfügungsgewalt; قُدرَت ِ تَصَرُف
verführen; کِسى را گُمراه کَردَن
Verführer (im moralischen Sinn); مُفسِد فى اُلاَرض، غاوى
verführerisch; فَریب آمیز
- verführerische Augen; چِشمهاى ِ فَتان
- verführerische Reden; زَبان ِ چَرب و نَرم
Verführung; اِغوا، وَسوَسه، گُمراهى
- Verführung zur Unzucht; تَفسیق
Verführungskunst; فَریبَندِگى
vergällen (Laune); مُنَغَص کَردَن
vergammelt; پوسیده، زِپِرتى، فاسِد
vergangen; تَمام، گُذَشته
- vergangene Woche; هَفتهٔ گُذَشته
seine Kleidung aus längst vergangenen Tagen; لِباسی که یادگِار ِ روزهای ِ دَریانَوَردی اَش بود
Vergangenes; سابِقه، پیشینه
Vergangenheit; گُذَشته، سابِقه
- Vergangenheit (Grammatik); ماضى، زَمان ِ گُذَشته
vergänglich; ناسوتى، يِک دَمه، فَناپَذیر، گُذَرا، دَر حال ِ مَحو شُدَن
Vergaser; سوخت آما، کاربُراتور
Vergaserklappe; ساسات
vergeben; آمُرزیدَن، بَخشیدَن
- Gott vergibt; خُدا از سَر ِ تَقصیر ِ کِسى مى گُذَرَد، خُدا مى بَخشَد
- Fehlen ist menschlich, vergeben können ist von Gott; از کوچکها خَطا از بُزُرگان عَطا
- vergib uns (zwischen Menschen); مارا حَلال کُن، مارا بِبَخش
vergebens; اَلَکى
vergeblich; ضايِع، بیخود، عَبَث
- vergeblich drohen; قُپى کَردَن
- vergeblicher Versuch, Sorge; تَقَلا، تَلاش ِ عَبَث
Vergebung; بَخشِش
- Vergebung der Sünden; مَغفَرَت، آمُرزِش، بَخشِش، عَفو
- Bitte um Vergebung der Sünden; اِستِغفار
vergehen; سِپَرى شُدَن، گُذَشتَن
- gegen etwas vergehen; به چیزى عُصیان وَرزیدَن
- jede Stunde, die vergeht; هَر ساعَتى که سِپَرى مى شَوَد
- da vergeht etwas Zeit; يِک کَمی وَقت می بَرَد
- vergangen; تَمام، گُذَشته
- das ist vergangen; تَمام شُد
- 2 Jahre waren vergangen; دو سال سِپَرى شُد
Vergehen (n); جُرم، تَقصیر، خَطا
- Disziplinarvergehen; تَخَلُف از شُئون ِ اِدارى، تَخَلُف از اِنضِباط
- Bleiben & Vergehen; بَقاء و فَناء
Vergeistigung; مَعنَويَت
vergelten; سَزا دادَن، کِیفَر دادَن، به کِسى جَزا رِساندَن
Vergeltung;
- Vergeltung, Strafe; اِنتِقام
- Vergeltung (jurist.); قَصاص، سَزا، کِیفَر، تَلافى
- Vergeltung bezüglich ... zuteil werden; به سَزاى ِ چیزى رِسیدَن، چیزى را به سَزاى ِ عَمَلَش رِساندَن، ـ دیدن، سَزاى ِ کِسانى که ... کَردَند این است
Vergeltungsaktion; عَمَل ِ اِنتِقامى
vergessen; فَراموش کَردَن
- abtun & vergessen; دَر نَوَردیدَن و دَر نِوِشتَن
- ich habe das vergessen; یادَم رَفته، از یادَم اُفتاد، اینرا فَراموش کَردَم
- ich hab´s vergessen (i.S.: verschlafen); مَن خواب ماندَم
- ich habe alles vergessen (was ich gelernt habe); پُشتَم باد خورد
- Sie haben es vergessen; شُما فَراموش فَرمودید
- das eine können sie noch nicht, das andere haben sie vergessen; راه رَفتَن ِ کَبک را یاد نَگِرِفته خودرا هَم از باد بُرده اند
- er hat alles vergessen; فیلِش یاد ِ هِندوستان نِمى کُنَد
- hast du das vergessen?; آیا از یاد بُرده اى؟
- man hat sie vergessen; آنها به بوتهٔ نِسیان سِپُرده شُدَند
- durch Schach den Hunger vergessen machen; با شَطرَنج گُرُسنِگى را از یاد مى بُرد
- seine Kleidung aus längst vergessenen Tagen; لِباسی که یادگار ِ روزهای ِ دَریانَوَردی اَش بود
- vergiss es!; بى خیال باش، این چیزهارا از کَله اَت به دَر زَن
Vergessenheit;
- etwas der Vergessenheit preisgeben; چیزى را دَر نِوِشتَن، بَر طاق ِ نِسیان گُذاشتَن، به دَست ِ فَراموشى سِپُردَن
- sie sind in Vergessenheit geraten; آنها به بوتهٔ نِسیان سِپُرده شُدَند
vergesslich;
- ich bin vergesslich; مَن فَراموش کار هَستَم
Vergesslichkeit; ذُهول
vergeuden; به باد دادَن، تَلَف کَردَن
- sie vergeuden ihre wertvolle Zeit; وَقت ِ زیادى را بَر سَر ِ کارهاى ِ واهى هَدَر مى دَهَند
Vergeudung; اِتلاف
- Vergeudung des Lebens; تَضییع ِ عُمر، تَلَف ِـ، اِتلاف ـ
vergewaltigen; به کسى تَجاوُز کَردَن
Vergewaltigung; هَتک ِ ناموس، زِناى ِ به عُنف، تَجاوُز
vergiessen; ریختَن
vergiften;  .مَصموم کَردَن، زَهرآلود ک
- jem. mit seinen Ideen vergiften; ذِهن ِ کِسى را مَشوب کَردَن
- vergiftet; مَسموم
Vergiftung; مَسموميَت
vergilben; زَرد شُدَن
vergittert; مُشَبَک
- vergitterte Fenster; پَنجَره هاى ِ نَرده کِشیده
verglasen; جام اَنداختَن، شیشه ـ، ـ زَدَن
Vergleich; تَشبیه، مُقايِسه
- im Vergleich zu ...; ِ دَر مُقابِل ِ، دَر قیاس
vergleichen; مُقايِسه کَردَن
- er ist mit nichts zu vergleichen; مِثقالى ِ خُفت ِ صَنار با دیگَران فَرق دارَد
- Äpfel mit Birnen vergleichen (und ersetzen); تَلافی ِ غوره را سَر ِ کوره دَر آوَردَن
- vergleichende Literaturwissenschaft; اَدَبیات ِ تَطبیقى
Vergleichsmessung; سَنجِش ِ قیاسى
Vergleichsverfahren; تَشریفات ِ مُصالِحه، مُصالِحهٔ قَضیه، ـ دَعوا
vergleichsweise; دَر مُقايِسه با
vergnügen (s. -); دَر لَهو و لَعَب بودَن، کِیف کَردَن
- er ist vergnügt; او سَر ِ کِیف است
Vergnügen;
- Vergnügen, Freude; تَحظیظ، لِذَت
- Vergnügen, Spass; عِیش و نوش، لَعَب، تَفریح، سَرگَرمى
- mit Vergnügen; با مَسَرَت
- viel Vergnügen!; خوش بِگذَرَد!، خوش باش
- ich habe das Vergnügen, ...; مَسرورَم که
- es war mir ein Vergnügen, Sie zu sehen; از دیدَن ِ شُما مَحظوظ شُدَم، ـ لِذت بُردَم
- wir hatten das Vergnügen, sie zu sehen; سَعادَت ِ دیدَن ِ آنهارا داشتیم
vergnügungssüchtig; عِشرَت پَرَست
vergoldet; مُطَلا
vergöttert; مَعبود
Vergötterung; مَعبوديَت
- (Gegenstand der) Vergötterung; مَعبود
vergraben; دَفن کَردَن
- wir vergraben das Tier; حِیوان را چال مى کُنیم
vergrämt; سینه چاک
vergreifen;
- s. vergreifen an; به چیزى دَستبُرد زَدَن
- vergreife dich nicht an seinem Eigentum; به مال ِ او دَست نَزَن
- sie beabsichtigten, s. an ihnen zu vergreifen; دَر صَدَد ِ دَست دِرازى به آنها بَر مى آيَند
- damit ... sich nicht vergreift; بَراى ِ اینکه ... خَلاف نَکُنَد
vergriffen;
- das Buch ist vergriffen; کِتاب نایاب است، تیراج ِ کِتاب تَمام شُد
vergrössern; بُزُرگ کَردَن
- vergrössernd; مُکَثِر
Vergrösserung; بُزُرگ نَمائى
Vergrösserungsglas; شیشهٔ بُزُرگ کُنَنده
vergüten; جُبران کَردَن
Vergütungsstahl; فولاد ِ آب دیده
verhaften; دَست گیر کَردَن
Verhaftung; توقیف، بازداشت، دَست گیرى،  بِگیر و بِبَند
- bei all den Verhaftungen von Seiten der ...; توی ِ این هَمه بِگیر و بِبَندهای ِ حُکومَت
verhaken;
- das Geweih hat s. verhakt; شاخها گیر کَرده است
- der Belag verhakte s. am Schuh; روکِش مى گِرِفت به کَفش
verhallen; فُرو نِشَستَن
verhalten;
- verhalten, zurückhaltend; خوددار، پَرهیزکار
- s. verhalten; رَفتار کَردَن
- die Art und Weise, wie sie s. gegenüber ... verhalten; مَنظَرهٔ بَرخورد ِ آنها با
- verhalte dich so, wie du es von anderen erwartest; با دیگَران هَمانطور رَفتار کُن که مى خواهى آنها با تو رَفتار کُنَند
Verhalten (n); حالَت، رَفتار
- ein schräges Verhalten an den Tag legen; اَطوار ریختَن، - دَر آوَردَن
- vom Charakter & Verhalten; دَر ظاهِر و باطِن
Verhaltensmuster; اُلگوى ِ رَفتار
Verhaltensnorm; ضابِطهٔ رَفتار
Verhaltensregel; قاعِدهٔ رَفتار
Verhältnis;
- im Verhältnis zu; ِ بِفَرا خور ِ ..، به نِسبَت
- Kräfteverhältnis; تَناسُب ِ قُوا
- Produktionsverhältnisse; مُناسِبات ِ تولید
- das Verhältnis von X zu ... ist so; اِنتِساب ِ آن به فِلان این است، رابِطهٔ آن ـ
- angespanntes Verhältnis; تیرِگی ِ رَوابِط
- angespanntes Verhältnis zwischen den Ländern; تیرِگی دَر رَوابِط ِ کِشوَرها
- das Verhältnis zwischen Mann und Frau ist im Verhältnis 3 zu 4; نِسبَت ِ مَرد بَر زَن به نِسبَت ِ سه بَر چَهار است
verhältnismässig; نِسبى، نِسبَتاً، بالنِسبه
verhandeln;  .مُذاکِره کَردَن، رِسیدِگى ک
- verhandeln (geschäftlich); مُعامِله کَردَن
Verhandlung;
- Gerichtsverhandlung; مُحاکِمه
- laufende Verhandlung; مُذاکِرهٔ جارى
Verhandlungsbasis; زَمینهٔ مُذاکِره
Verhandlungsfortgang; رَوَند ِ مُذاکِره
verhangen; حاجَب ِ ماوَراء
verhängen;
- Sanktion verhängen; تَحریم بَر قَرار کَردَن
- gegen jem. Restriktionen verhängen; مَحدوديَتهائى قائِل شُدَن عَلَیِه
Verhängnis; پاگیر
- zum Verhängnis werden; چیزی پاگیر می شَوَد
verhängnisvoll;
- verhängnisvoller Irrtum; خَطاى ِ کِران
verharmlosen; بى اَهَميَت جِلوه دادَن، دَست کَم گِرِفتَن
verharren;
- in etwas verharren; دَر چیزى پافِشارى کَردَن، ـ مُصِر بودَن، پایدار ماندَن
verhärten;
- sein Herz verhärten; دِل ِ خودرا سِفت و سَخت کَردَن
Verhärtung (in Beziehungen); تَشدید
verharzen; صَمغ زَدَن
verhasst; مَبغوض
verhätschelt; ناز پَروَرده
verhauen; کُتَک زَدَن
- verhaut werden; کُتَک خوردَن
verheerend;
- verheerende Wirkung; اَثَر ِ شوم ، ـ خانِمانسوز
verhehlen; پِنهان کَردَن
- jem. etwas verhehlen; از کِسى مَخفى داشتَن
verheilen; جوش خوردَن، اِلتِهام یافتَن
verheilt; مُلتَحِم
verheimlichen;  .پِنهان کَردَن، مَخفى ک.، روپوشى ک
- es läßt s. vor euch nicht verheimlichen; و از شُما چه پِنهان
Verheimlichung; کِتمان، روپوشى
verheiraten; شوهَر کَردَن، زَن گِرِفتَن
- seine Tochter an ... verheiraten; دُختَرَش را به عَقد ِ کِسى دَر آوَردَن، شوهَر کَردَن
verheiratet; مُتأهِل
- sie sollte verheiratet werden mit ...; او بايَد عَقد به فِلان کَس بِشَوَد
- Mann, mit 1 Frau verheiratet; مَرد ِ يِک زَنه
- sie war seine verheiratete Tochter; او دُختَر شوى کَردهٔ او بود
- verheirateter Mensch; شَخص ِ تَزویج کَرده
Verheiratung; تَزویج، عَقد
verheissen;  .وَعده دادَن، قول د
- der verheissene Sohn; پِسَر ِ موعود، ـ پیش گوئى شُده
Verheissenes; (pl.)  (موعود (مَواعيِد
Verheissung; وَعده، قول
- Gott steht zu seinen Verheissungen; خُدا به وَعده هايَش وَفا مى کُنَد
verheissungsvoll; اُمیدبَخش
verhelfen;
- zum Wachstum verhelfen; چیزى را رُشد دادَن
- allen Gewalten hat Gott zur Macht verholfen; تَمام ِ دولَتهارا خُدا بَر سَر ِ قُدرَت آوَرده است
verherrlicht; مُعَظَم
Verherrlichung; تَجلیل، تَعظیم
verhindern; از ... باز داشتَن، مانِع شُدَن، جِلوى ِ ... را گِرِفتَن
- um zu verhindern, dass ...; بَراى ِ جِلو گیرى از
- verhindert werden; پاگیر شُدَن
Verhinderung; مُمانَعَت، جِلو گیرى، بازدارَنگى
verhöhnen; کِسى را مَسخَره گِرِفتَن، ـ اِستِهزاء کَردَن
verhökern; چیزى را وِل کَردَن، ـ حَراج کَردَن
Verhör; اِستِنطاق، بازخواست، باز پُرسى
verhören; بازپُرسی کَردَن
- den Täter verhören; جانى را اِستِنطاق کَردَن، - بازپُرسی کَردَن
- verhört werden; سین جین شُدَن
verhornen; شاخى شُدَن
verhüllen; پوشاندَن، پِنهان کَردَن
- verhüllter Bericht; گُزارِش ِ نَهانى
verhungern; از گُرُسنِگى مُردَن
- die letzten Tage war er nahe am Verhungern; او روزهاى ِ اَخیر با گُرُسنِگى دَست به گَریبان بود
verhüten; پیش گیرى کَردَن
Verhüttung; مِتالورژی
Verhütung; جِلوگیری
- Empfängnisverhütung; وَسیلهٔ ضِد ِ حامِلِگى، جِلوگیرى از آبِستَنى
Verifizierung; تَحَقُق
- die Verifizierung der prophetischen Aussagen; تَحَقُق ِ پیشگوئى
verirren;  .گِرِفتار شُدَن، مُنحَرِف ش.، گُمراه ش
verjagen; بیرون راندَن، طَرد کَردَن
- verjagt; مَطرود
verjähren; مَشمول ِ مُرور ِ زَمان شُدَن
Verjährung;
- Anspruchverjährung; تَضییع ِ حَق دَر اَثَر ِ مورِد ِ زَمان
- Besitz durch Verjährung; تَصَرُف بِلامُعارِف
Verjährungsfrist; موعِد ِ مَشموليَت ِ مُرور ِ زَمان
verjüngen;
- verjüngen, an der Spitze auslaufen; باریک شُدَن
- verjüngen, jünger werden; جَوان شُدَن
verkalken; آهَکى شُدَن
verkanten; لَبه دادَن، کَج کَردَن
verkappt; پُشت ِ پَرده
Verkauf; فُروش
- Verkauf ohne Gewinn; مایه کارى کَردَن
- eine Möglichkeit zum Verkauf für ... finden; چیزى را بازار یابى کَردَن
- zum Verkauf bestimmt; مُباع
verkaufen; فُروختَن، به فُروش رِساندَن
Verkäufer; فُروشَنده
- Straßenverkäufer; دَست فُروش
verkäuflich; قابِل ِ فُروش
- gut verkäuflich; بازار پَسَند
Verkaufsstand; بَساط
Verkehr; عُبور و مُرور، آمَد و شُد، رَفت و آمَد
- der Verkehr war gering; ترافیک بِسیار سَبُک بود
- im Verkehr steckenbleiben; توى ِ ترافیک گیر اُفتادَن
- mit jem. Verkehr haben; با کِسى حَشر و نَشر داشتَن، ـ مُعاشِرَت کَردَن، دَمخور بودَن با
- Fernverkehr; اَیاب و ذَهاب ِ بَعید المُسافه، عُبور و مُرور ِ راه ِ دور
- Ortsverkehr; عُبور و مُرور ِ مَحَلى
- Luftverkehr; ترافیک ِ هَوائى
- diplomatischer Verkehr; مُراوِدهٔ دیپلماسى
verkehren;
- er verkehrt mit Studenten; او با دانِشجویان مَحشور است
Verkehrsabkommen; موافِقَتنامهٔ راه و تَرابَرى، ـ حَمل و نَقل
Verkehrschaos; گِره هاى ِ ترافیکى
Verkehrsleitwesen; راهنَمائى ِ رانَندِگى
Verkehrsmittel; نَواقِل
Verkehrssünderkartei; فِهرِست ِ مُقَصِرین ِ عُبور و مُرور
Verkehrswert; مِقدار ِ مُعامِله شُده
verkehrt;
- den Strumpf verkehrt anziehen; جوراب را وارونه پوشیدَن
- er hängt das verkehrt auf; این چیزهارا وارونه آویزان مى کُنَد
- ich habe ihm den verkehrten Schlüssel gegeben; کِلید ِ عَوَضى را به او تَحویل دادَم
- Sie haben die verkehrte Nummer gewählt; نُمرهٔ شُما اِشتِباه بود
- das erweist s. als verkehrt; این غَلَط از آب دَر مى آيَد
- Verkehrung der Ereignisse; قَلب ِ حَوادِث
verkeilen; خار گُذاشتَن
Verkettung (von Ideen, u.ä.); تَسَلسُل
verkitten; سیمان کَردَن
- Verkittung einer Fuge; دَرزگیرى
verkleiden; روکِش کَردَن
verkleinern; کوچِک کَردَن، کاهِش دادَن
Verkleinerung; کاهِش
- Verkleinerungsform (Grammatik); اِسم ِ تَصغیر، مُصَغِر
verklumpen; لَخته شُدَن
verknallen;
- s. in jem. verknallen; دِلبافتهٔ کِسى شُدَن
Verknappung; کَمیابى
verkneifen;
- s. sämtliche Vergnügungen verkneifen; تَمام ِ تَشریفات را بَر خود حَرام کَردَن
verknoten; گِره زَدَن
- verknotet; گِره خورده
verkohlen; زُغال کَردَن، زُغال و نیمسوز شُدَن
verkommen;
- verkommener Mensch; آدَم ِ فاسِد
- verkommene Strassen; کوچهٔ حَقیرى
verkörpern; مُجَسَم کَردَن
- s. auch in anderen Menschen verkörpern; خودرا دَر اَفراد ِ دیگَرى نیز حُلول کَردَن
- verkörperte Offenbarung; وَحى ِ مُجَسَم
Verkörperung; تَجَسُم، مَظهَر، حُلول
verköstigen; خوراک دادَن
- jem., der verköstigt wird; نانخور
verkraften; تَحَمُل کَردَن
- etwas nicht verkraften; او نِمى تَوانَد از غَم ِ... تَسکین بیابَد
verkriechen;
- du verkriechst dich; تو دَر لاک ِ خودَت هَستى
verkrümmen (s. -); خَم شُدَن
verkrümmt; کَج، اَعوَج، خَمیده
Verkrümmung; اِعوِجاج، شِکَستِگى، پیچِش، تابیدِگى
verkrusten; قِشر اَنداختَن
- verkrustet werden; قِشرى شُدَن
- verkrustete Strukturen; ساختارهای ِ قَدیمی، - تَُجدید نشُده
verkümmern; پَژمُرده شُدَن
verkündigen; اِعلام کَردَن، به گوش ِ مَردُم رِسانیدَن
verkupfern; صَفارى کَردَن
verkürzen;  .مُنقَبِض کَردَن، کوتاه ک
- verkürzte Erklärung; بَیان ِ موجِز، ـ خُلاصه
- in verkürzter Form; به صورَت ِ موجِز
Verkürzung;
- Verkürzung (biolog.); اِنقِباض
- Verkürzung (bei einem Verfahren); عَدَم ِ اِطاله
- Verkürzung eines Wortes (durch Auslassen); حَذف
Verladebühne; راهروى ِ شیب دار ِ بارگیرى
Verladen; بارگیرى
Verlag; بُنگاه ِ نَشر، اِنتِشارات، نَشریه
verlagern; .تَغییر ِ مَحَل دادَن، اِنتِقال د
verlangen; طَلَبیدَن
- Souveränität verlangt Freiheit; لازِمهٔ بَرتَرى داشتَن آزادى است، بَرتَرى طالِب ِ آزادى است
- ihn verlangt danach, ...; دِلِش هَوَس ِ ... را مى کُنَد، دِلِش هَواى ِ ... را مى کُنَد
- ich verlange nach dir, so wie das Rinnsal seine Quelle sucht; تورا بِدانسان مى طَلَبَم که جویبارى سَرچِشمه اش را
- wenn Eile verlangt wird; اَگَر مُتَلزِم ِ عَجَله باشد، اَگَر عَجَله بِخواهَد
- verlangend sein nach; راغِب ِ ... بودَن
- verlangender Blick; نِگاه ِ هیز
Verlangen (n); نَهمَت، مايِليَت، هَوَس
- mit Verlangen; با رِغبَت
- Objekt des Verlangens; مَطمَع
- du wirst kein Verlangen mehr danach haben; تو دیگَر هَوَس نَکُنى به
- tiefes Verlangen haben nach ...; آه کِشیدَن برای ِ چیزی
- heftiges Verlangen zeigen; پیازداغِش را زیاد کَردَن
- sie hatten heißes Verlangen auf Tee; دِلِشان برای ِ يِک چای لَک زَد
verlängern;  .مُنبَسِط شُدَن، طَویل ش
- das Netz verlängern; جُل ِ ماهیگیرى را با مِقدارى ِ نَخ دِراز کَردَن
- verlängerter Riss; گُسِل ِ اِمتِدادى
Verlängerung;
- Verlängerung (biolog.); اِنبِساط
- Verlängerung (z.B. Pass); تَمدید
- Verlängerung der Achse; اِمتِداد ِ مِحوَر
Verlängerungsschnur; سیم ِ رابِط
verlangsamen; به تَعویق اَنداختَن، آهِسته کَردَن
- der Herzschlag verlangsamt s.; تَپِش ِ قَلب کُند مى شَوَد، ـ کَم مى شَوَد
Verlangsamung; تَعویق، کُندى
Verlass; اِطمینان
- auf sein Wort ist kein Verlass; حَرفَش زیاد پَر و پا نَدارَد، - قابِل ِ اطمینان نیست
verlassen; تَرک کَردَن
- etwas verlassen; چیزى را پُشت ِ سَر گُذاشتَن
- das Glück verliess sie; بَخت از کَف رَفت
- s. auf etwas verlassen; به چیزى مُتَمَسِک شُدَن، تَوَکل داشتَن بَر، اِطمینان ـ
- verlassener Bahnhof; ایستگاه ِ مَتروک
- verlassene Gegend; سَر زَمین ِ دور اُفتاده
Verlassenheit (im Stich gelassen sein); خِذلان
verlästert; بُهتان
- damit keiner die Sache verlästert; تا هیچ کَس از این چیز بَدگوئى نَکُنَد
Verlauf; کورس، مَسیر، جَریان
- gelungener Verlauf; حُسن ِ جَریان
- der Verlauf der Geschichte; رَوال ِ حِکايَت، رَوَند ِ مُذاکِرات
- im Verlaufe dessen; دَر پِى ِآن
- Entwicklungsverlauf; سِیر ِ تَکامُل
- Verhandlungsverlauf; رَوَند ِ مُذاکِره، جَریان ِ ـ
verlaufen;
- s. verlaufen; راه را گُم کَردَن
- Operation ist gut verlaufen; جَراحى خوب به پایان رِسید، - بِخِیر گُذَشت
- die Nacht verläuft ruhig; شَب به آرامى مى گُذَرَد
verlaust; شِپِشو، تِشى
Verlautbarung; بَیانیه، اِعلامیه
verlegen; خیت و پیت، شَرمزَده، شَرمَنده، با دَستپاچِگى، خِجِل
- verlegen werden; حال ِ کِسى دِگرگون مى شَوَد
- er ist verlegen stehen geblieben; او گیچ و سَر دَر گُم ایستاده مى مانَد
- Fussboden mit ... verlegen; کَف ِ زَمین را با ... فَرش کَردَن
- seine Haare waren verlegen; موهايَش بَد خواب بود
Verlegenheit; شَرمزَدِگى، خِجالَت زَدِگى، کَم روئى
- jem. in Verlegenheit bringen;  کِسى را گیج کَردَن، ـ دَست پاچه ک.، ـ مُشَوَش ک.، ـ خِجِل کَردَن
- jem. in Verlegenheit versetzen (durch eine freundliche Tat); کِسی را چوبکاری زَدَن
- in Verlegenheit gebracht werden; خیت (خیط) شُدَن
Verlegenheitspolitik; سیاسَت ِ ناچارى
Verleger; (pl.)  (ناشِر (ناشِرین
Verleih; عاریه
- Filmverleih; عاریهٔ فیلم
verleihen;  .قَرض دادَن، اَمانَت د
- jem. verleihen (z.B. Würde); اَعطا کَردَن
- verleiht der Aussage noch mehr Gewicht; فوريَت و لزوم ِ پِیامَش را بَسى بیشتَر مى کُنَد
Verleihung; اَعطا
- Verleihung eines Titels; تَلقیب، اَعطاى ِ لَقَب
verlernen; از یاد بُردَن
- das habe ich verlernt; از یادَم بُرد
verletzbar; جَراحی پَذیر
- er ist nicht leicht verletzbar; او جَراحى ناپَذیر است
verletzen;  .کِسى را مَجروح کَردَن، ـ زَخمى ک
- die Neutralität verletzen; از بیطَرَفى تَخَلُف کَردَن
- er redet so, dass er den anderen nicht verletzt; او حَرفهايَش را يِک دَستى مى گیرَد
- verletzend (jem. gegenüber); جَراحى کُنَنده، آزار دَهَنده
- verletzende Sprache; زَخم ِ زَبان، نیش ِ ـ، زَبان ِ خَدشه دار
verletzlich; نازُک دِل
verletzt; زَخمى، مَجروح، جَریحه دار
- verletzt werden; زَخمى شُدَن
- ich habe mir den Fuss verletzt; پايَم ضَربه خورد، ـ صَدَمه خورد
- er ist schwer verletzt worden; او بَد جورى مَجروح شُد
Verletzter; شَخص ِ زَخمى، مَجروح، مَصدوم
Verletzung; جَراحَت، صَدَمه، زَخم
- Verletzung (seelischer Art); داغدارى
- grobe Verletzung; از چیزى سَخت تَخَلُف کَردَن
- Verletzung der Ehre; لَطمه زَدَن به شَرافَت
- Verletzung des Friedens; نَقض ِ قَرار داد ِ صُلح
- Verletzung des Gesetzes; تَخَلُف از قانون
- Verletzung des Luftraums; تَجاوُز به حَریم ِ فَضائى
- Verletzung der Menschenrechte; به حُقوق ِ بَشَر تَجاوُز کَردَن
- s. eine Verletzung zufügen; به خودَش صَدَمه زَدَن
verleugnen; اِنکار کَردَن
- seine Herkunft lässt s. nicht verleugnen; عاقِبَت ِ گُرگ زاده گُرگ شَوَد گَرچه با آدَمى بُزُرگ شَوَد
verleumden; اِفتِرا بَستَن، تُهمَت زَدَن، بُهتان ز.، هَتاکى کَردَن
- verleumdet werden;  بُهتان خوردَن
Verleumder; مُفتَرى، هَتاک
verleumderisch; اِفتِرا آمیز
Verleumdung; اِفتِرا، بُهتان، مَچَل گوئى
Verleumdungskampagne; حَملهٔ اِفتِرا آمیز
verlieben;
- s. in jem. verlieben; دِلباختهٔ کِسى شُدَن، عاشِق ِ کَسى ش.، به هَم دِل دادَن و از هَم قُلوه گِرِفتَن، چِشم و اَبرو نِشان دادَن
- total verliebt in ...;  ... عاشِق و دِلباختهٔ ..، دِلدادهٔ
