Waage; تَرازو
- die Schuhe liegen weggeschleudert in der Ecke; کَفشها تُک پا خورده در گوشه مى گُذارَند
wegschliessen; قُفل کَردَن
wegschütten; دور ريختَن
wegspülen; از زير ِ نَقب زَدَن
Wegstrecke (1 Stunde); يِک ساعَت راه، فَرسَخ
wegweisend;
- wegweisende Forschung; تَحقيقات ِِ راه اَندازى
Wegweiser; (pl.)  (تابلو، عَلامَت، مَعلَم (مَعالِم
wegwerfen; به دور اَفکَندَن، دور اَنداختَن
wegwischen; پاک کَردَن
wehtun; دَرد کَردَن
- der Schmerz tut weh; دَردى دَر جانَش خانه مى کُنَد، تير کِشيدَن، دَرد گِرِفتَن
- mein Kopf tut weh; سَرَم دَرد مى کُنَد
- Habe ich dir weh getan?; دَردِت آوَردَم؟
- o weh!; اى واى
- mit Weh & Ach; با آه و واه
- Wehe Euch; واى بَر شُما
wehen; وَزيدَن
Wehen (Geburts-); دَرد ِ زايِمان
wehklagen;  .فِغيان بَر آوَردَن، فِغان کَردَن، آه و ناله ک
wehleidig; خِيلى حَساس، آدَم آه و دَم است
wehmütig; دِلتَنگ، اَندوهگين
Wehr; سَد ِ آب
Wehrdienst; خِدمَت ِ سَربازى، ـ نِظامى
wehren (- s.); از خود دِفاع کَردَن
wehrlos;
- Angriff auf wehrlosen Menschen; حَمله به يِک تَن ِ بيجان
Wehrpflicht; نِظام ِ وَظيفه، وَظيفة نِظامى
wehrpflichtig;
- wehrpflichtig sein; مَشمول ِ نِظام بودَن، ـ خِدمَت بودَن
Wehrpflichtiger; سَرباز ِ وَظيفه
Weib; زَن
- Klatschweib; آبجی ِ خاک اَنداز
weiblich; مُؤَنَث، زَنانه
Weiblichkeit; اُناثيَت، زَنانِگی
- Würde ihrer Weiblichkeit; شأن ِ زَنانِگيش
weich; مُلايِم، نَرم
Weiche; سوئىچ ِ رِيلى، دو راهى
weichherzig; مُشفِق، خوش قَلب
weichkochen; نَرم پُختَن
- weichgekochtes Ei; تُخم ِ مُرغ ِ نيم بَند، تُخم ِ مُرغ ِ عَسَلى
weichlich;
- weichlicher Körper; اَندام ِ پَت
Weichling; آدَم ِ کَم بُنيه، شوشو
Weichtier; حِيوان ِ نَرم تَن
Weide;
- Weide, Wiese; مَراتِع، چِراگاه، عَلَفزار
- Weide (Baum); دِرَخت ِ بيد، بيدمِشک
Weidegang; چَرا رَفتَن
weiden;
- weiden (Tiere); چَرانيدَن، چَرا کَردَن
- s. weiden an etwas; دِل ِ کِسي از چيزي کِيف مي کُنَد (به مَعَني مَنفي
Weidegrund; چِراگاه
weigern (- s.); تَن زَدَن، از چيزى اِبا کَردَن، اِمتِناع ک
- er weigert s. zu kommen; او از آمَدَن اِمتِناع مى وَرزَد، او از آمَدَن سَر باز مى زَنَد
Weigerung; اِمتِناع
weihen (- s.); خودرا وَقف ِ چيزى کَردَن
Weihnachten; عِيد ِ ميلاد ِ مَسيح
Weihnachtsfeier; جَشن ِ کريسمَس
Weihnachtsmann; بابا نوئِل
Weihrauch; کُندُر، بُخور ِ مُعَطَر
Weihrauchfass; مَجمَر، بُخور دان
Weihung; تَقديس
- Entweihung; تَنجيس
weil; اينکه، چِرا که، چونکه، زيرا
- nicht weil; نه اينکه
- und weil es schwer war, ..; و اينکه ... مُشکِل بود
Weile;
- es braucht eine Weile; يِک کَمي وَقت مي بَرَد
Weiler; قَصَبه
Wein; باده، شَراب، مِي
Weinbeere; (mou) سِته، مو
Weinberg; تاکِستان
weinen; گِريه کَردَن، نالِش ک.، وِلوِله ک.، ناليدَن، گِريستَن، موئيدَن
- unaufhörlich weinen; زار زار گِريه کَردَن
- sie weint bitterlich; سَخت گِريسته است
- zum Weinen; گِريه آوَر
- "Gefährte des Weinens" (bei Passionsfeier); مُعين اُلبُکا
- sie sitzt weinend ...; او گِريان مى نِشينَد
weinerlich; گِريه کُنان
- weinerliche Stimme; صِداى ِ نُدبه
Weinfest; باده نوشى
Weinglas; جام ِ شَرآب، ليوان ِ ـ
Weinlaube; داربَست ِ مو، آلاچيق ِ اَنگور
Weinlese; اَنگور چينى
Weinrebe; تاک
Weintraube; اَنگور
- unreife Weintraube; غوره
- Saft von unreifen Weintrauben; آب ِ غوره
Weinverkäufer; عَناب، مِى فُروش
weise; حَکيمانه، فاضِل، خِرَدمَند، بِخِرَدانه
Weise (f); نَحو
- auf allerbeste Weise; به وَجه ِ اَکمَل
- auf beliebige Weise; به نَحوى از اَنحاء
- in dramatischer Weise; به نَحو ِ فاجِع
- wir werden auf diese Weise fähig sein, ...; ما دَر اين راستا قادِر خواهيم بود
Weisheit; خِرَدمَندى، حِکمَت، فِطانَت
weiß; سِفيد
- das Weiß seiner Augen stach hervor; چِشمهايَش سِفيدى مى زَد
weissagen;  .نُبُوَت کَردَن، پيشگوئى ک
Weissagung; نُبُوَت، پيشگوئي
Weißglut;
- jem. zur Weißglut bringen; کِسي را اَنگُلَک کَردَن
Weisung; حُکم، دَستور، فَرمان
Weisungsrecht; حَق ِ صُدور ِ دَستور
weit; دور
- weit vom Schuss; مَتروک
- nicht mehr weit; فاصِلة چَندانى نَدارَد
- ist es noch weit bis ...?; تا ... خِيلي مانده؟
- weit weg; مُتَباعِد، بَعيد، دور دَست
- wie weit ist es?; چِقَدر راه است؟
- unendlich weit; دَرَندَشت
- wie weit bist du mit der Arbeit?; تا کُجاى کارِت پيش رَفته اى؟
- weite Ebene; دَشت ِ گستَرده
- von weitem; دَر دور دَستها، از دور
- sperrangelweit offen; چار طاق باز بودَن
weitblickend; وَسيع اُلنَظَر
Weite; وُسعَت، گُشادي
- Weite, Ausdehnung; مَساحَت
- Weite des Meeres; فَراخناي ِ آبها
- das Weite suchen; از چيزى دورى جَستَن
weiten; گُشودَن، گُشاد کَردَن
- seine Augen weiten s.; چِشمهايَش گُشاد مى شَوَند
weiter;
- und so weiter; اِلىٰ آخَر، و غِيره
- ... sind noch nicht weiter gediehen; از ... فَراتَر نَرَفته است
- weitere Informationen (*: umfassend); اِطِلاعات ِ جامِعتَر، ـ بيشتَر
- weitere Gesetze, die ..; سايِر ِ اَحکام که
- des weiteren; گُذَشته از آن، دَر رَواء ِ اين
- die weiteren Bemühungen; زَحمات ِ پِى گير
- das war ein weiterer Film von mir; فيلم ِ بَعديَم بود
- ein weiteres Mal; ديگَر باره، يِک باره ديگَر
- ohne Rücksicht auf sein weiteres Schicksal; بِدون ِ رَعايَت به سَرنِوِشت ِ غائى ِ او
weiterbringen; پيش بُردَن
- weiterbringen einer Idee; عَقيده را پيش بُردَن
weitergeben;
- eine Idee weitergeben; عَقيده را تَقرير کَردَن، ـ اِنتِقال دادَن
weitergehen;
- einen Schritt weitergehen; يِک قَدَم فَراتَر گُذاشتَن، پارا ـ
- mit weitergehenden Bemühungen; با تَلاش ِ پِى گير
weiterhin; از اين به بَعد، ديگَر، عِلاوه بَر اين
- er betont die Notwendigkeit, die Aufmerksamkeit weiterhin auf ... zu richten; او ضَرورَت ِ اِستِمرار ِ تَوَجُه به ... را مورِد ِ تأکيد قَرار مى دَهَد
weiterlaufen;
- den Motor weiterlaufen lassen; موتور روشَن گُذاشتَن
weiterleiten;
- weiterleiten an ..; به کِسى اِرجاع کَردَن
Weiterlieferung;
- Weiterlieferung an ..; تَحويل به
weitermachen;
- mit einem Mass an .. weitermachen; با ضَريب ِ .. اِدامه يافتَن
- mit einem Gelage weitermachen (i.S. von: anfangen); به عَياشى پَرداختَن
- es war sinnlos, weiterzumachen; اِدامة اين وَضع ديگَر فايده نَداشت
- Weitermachen; باز پَردازى، اِدامه
weiterreden; پُشت ِ سَر هَم صُحبَت کَردَن، بِدون ِ مَکس ـ
- ich konnte nicht mehr weiterreden; زَبانَم بَند آمَد
Weiterverbreitung;
- Weiterverbreitung von ..; بَسط و توسِعِه
weiterverfolgen; پِيگيرى کَردَن، تَعقيب ک
weitgehend;
- weitgehende Vollmacht; اِختيارات ِ گُستَرده
weitläufig;
- weitläufig sein; دَرَندَشت بودَن
- weitläufiger Garten; باغ ِ دَنگال، - وَسيع
- weitläufige Verwandte; خويشاوَند ِ غِير ِ صُلبي
weitreichend;
- weitreichende Entscheidung; تَصميم ِ دور اَنديش، ـ دامَن دار
- weitreichende Rakete; موشَک ِ دور زَن
weitschweifig;
- weitschweifige Erzählung; حِکايَت ِ رودَر بايَسته، ـ رودَر واسى، ـ پُر طول و تَفصيل
weitsichtig;
- sein Auge ist weitsichtig; چِشم ِ دوربين دارد
- eine weitsichtige Politik; سياسَت ِ دور اَنديش
- die Weitsichtigkeit des Auges; دوربينى ِ چِشم
Weitsprung; پَرِش ِ طول
weitverbreitet; شايِع، گُستَرده
Weizen; گَندُم
welche; کُدام، چه
- aus welchem Grund; به چه دَليل
- von welcher (Stadt) davon ist sie?; از کُجا که او باشد؟
- sie sind von einer Stadt, aber ich weiss nicht welcher; آنها اَهل ِ شَهر نِمى دانَم چى هَستَند
- welches Buch ist das?; اين چه کِتاب است؟
- welches ist das richtige?; کُدام از آنها دُرُست است؟
welk; پَژمُرده، از آب و رَنگ اُفتاده
Wellblechdach; شيروانى ِ موجدار
Welldrahtglas; شيشة مات و نَصاف
Welle; (pl.)  (موج (اَمواج
- Wellen schlagen; موج زَدَن
- Wellen schlagend (Meer, u.ä.); مَواج
- Gelenkwelle; غُرغُره
wellenförmig; موج دار، موج آسا
Wellenkamm; کوهة آب
Wellenlänge; طول ِ موج
Wellenschlag; تَلاطمُ
Welpe; توله
Welt; جَهان، دُنيا، گيتى، عالَم
- die Welt hat s. geändert; رَوَند ِ جَهان تَغيير کَرد
- die Welt, und alles, was s. darin befindet; دُنيا و مافيها
- solange die Welt besteht; تا دِنيا دِنياست
- in der Neuen Welt; دَر يَنگه دُنيا
Weltall; فَضا، کائنِات
Weltanschauung; مَسلَک، جَهان بينى
Weltbild; ديد و بينِش
- das Weltbild der ..; ديد و بينِش ِ فِلان
Weltenbewohner; عالَميان، جَهانيان
Weltenherrschaft; جَهان بانى
Weltenlenker (Gott); جَهان بان
weltfremd; پُشت ِ تاپويی، چِشم و گوش بَسته
Weltkrieg; جَنگ ِ جَهانى
- der zweite Weltkrieg; جَنگ ِ جَهانى ِ دُوُم
weltlich; جَهانى، دُنياوى
- religiös oder weltlich (Gesetz); شَرعى يا عُرفى
Weltmeister; قَهرَمان ِ جَهان
Weltmeisterschaft; جام ِ جَهانى
Weltraumfahrt; فَضانَوَردى
Weltraumforschung; پَژوهِش ِ فَضا
weltumspannend; جَهان شُمول، ـ گُستَر
weltweit; جَهاني، سَر تا سَر ِ جَهان
wem; بِکى
wen; که را، کى را
Wende; تَغيير
- Wende, Kurve; پيچگاه
- Tendenzwende; تَغيير ِ جَهَت ِ گِرايِش
Wendehals; نَرمخوئى
Wendekreis; (nördlich, südlich)  (مَدار( ِ شُمالى، ـ جِنوبى
Wendeltreppe; پِلة مارپيچى
wenden;
- Fleisch wenden; گوشت را چَپه کَردَن
- s. an jem. wenden; به کِسى مُراجِعه کَردَن، کِسى را مُخاطِب ساختن
- s. gegen etwas wenden; به ضِد ِ چيزى رو تافتن، ـ کَردَن
- den Hemdkragen wenden; يَقه را پُشت و رو کَردَن
- seine Schwierigkeiten haben sich zum Guten gewendet; خَرِش از پُل گُذَشت
- s. hinwenden an; رو بُردَن به
wenig; قَليل اُلعَدَد، کَم
- ein wenig; اَندَک، تا حُدودى
- ein wenig auch von ...; شِمه اى هَم از
- ein wenig nachdenken zeigt, dass ..; اَندَکى تأمُل نِشان مى دَهَد که
- wenig haben; کَم داشتَن
- besser wenig, als nichts; کاچى به از هيچ است
- einige wenige sind es, die ..; مَعدودى هَستَند که
- er ist einer der wenigen, der ..; او از مَعدود ِ اَفرادى است که
- ich denke, ich bin einer der wenigen Menschen, die ...; مَن فِکر کُنَم جُزو نادِر ِ آدَمهايي هَستَم
- mit den wenigen Büchern, die ich gelesen habe; با چُس ِ مِثقال کِتابى که خواندَم
- die Frau, deren Wäsche nicht weniger wird; زَنى که دَمى از رَختشوئى نِمى آسايَد
- mehr oder weniger; کَم و کَسر، کَما بيش
wenigstens; دَست ِ کَم، لايَقَل
- du kommst wenigsten bis Berlin; دَست ِ کَم تا به بِرلين مى رِسى
wenn; به شَرط ِ اينکه، اگَر
- so, als wenn; که آيا، که اِنگار
- wenn das so ist; گيريم که
- und wenn nicht, ..; وَاِلا، وَگَر نَه
- wenn schon, denn schon; يا رو مى رَم يا زَنگى ِ زَنگ
- denn wenn es nicht so wäre, käme ihnen der Gedanke nicht; وَگَر نَه فِکر ِ ... به سَرِشان نِمى زَد
- wenn das Wörtchen "wenn" nicht wär, ..; اگررا نَکاشتَند سَبز نَشُد
- ohne Wenn und Aber; بى بُرو بَرگَرد، بِدون ِ چون و چِرا
wer; کى، چه کِسى
- es wurde klar, wer sie sind; مَعلوم شُد آنها کيانَند
werben; تَبليغ کَردَن
- um jem. werben; از کِسى خواستِگارى کَردَن
Werbung; تَبليغات
- Werbespruch: Die Wahl liegt bei Ihnen; اِنتِخاب با شُما است
Werbungskosten; مَخارِج ِ آگَهى، ـ تَبليغ
werden; شُدَن
- ich werde gehen; مَن خواهَم رَفت
- Was soll aus dir werden?; تورا چه مى شَوَد؟
- hast du Angst, dass daraus nichts wird?; وَحشَت دارى که مُعامِله جوش نَخورَد؟
- sie sind entlassen worden; آنها اِخراج شُده اند
- mir wurde wichtig, dass; به نَظَرَم لازِم و بِجا آمَد که
werfen; پَرتاب کَردَن، اَنداختَن
- einen Blick auf die Tür werfen; نِگاهى به دَر کَردَن
- Geld in den Kasten werfen; پول توي ِ صَندوق اَنداختَن
- man warf ihn ins Auto; اورا تو ماشين يَله دادَند
Werft; کارخانة کَشتى سازى
Werg; کَنَف لائى
Werk;
- Werk, Arbeitsplatz; کارگاه، کارخانه
- Werk; (pl.)  اَثَر، عَمَل (عَمال)، مَحصول، اَمر (اُمور)، کار
- gutes Werk (relig.); کار ِ ثَواب
- literarisches Werk; تَصنيف
- das ist ihr Lebenswerk; حاصِل ِ کار ِ همة عُمرِشان است
- eine andere ... macht s. ans Werk; چيزى ديگَرى روى ِ کار مى آيَد
- wir sind das Werk deiner (Gottes) Hände; ما مَصنوع ِ دَستهاى ِ تو مى باشيم
Werksbescheinigung; گُواهى ِ آزمايِش ِ کار
Werkstatt; تَعميرگاه
Werkstoff; مادة اَوَليه، ماتِريال
Werkstoffprüfung; آزمايِش ِ مَواد ِ اَوَلية مَصرَفى
Werkstück; قَطعة کار
Werktag; (pl.) روز (هاى) ِ کار
Werkvertrag; مُقاوِله بِين ِ مولِد و سِفارِش دَهَنده، مُقاوِلة کار
Werkzeug; اَبزار، آلَت ِ کار
Werkzeugkasten; جَعبة اَبزار
Werkzeugkonstrukteur; طَراح ِ اَبزار
Wermut; اَفسِنتين
wert;
- es ist wert, erwähnt zu werden; دَر خور ِ ذِکر است
- ist des Lebens nicht wert; دَر خور ِ زِندِگى نيست
- Nicht der Rede wert; سَخيف، قابِل ِ گُفتَن نيست، قابِل ِ شُما را نَدارَد، قابِلي نَدارَد
- bist du es denn wert?; تو چه قابِل هَستى؟
- dessen bin ich nicht wert; اين چيز از سَر ِ مَن زياد(ي) است
- das ist viel wert; خِيلى با اَرزِش است، اَرزِش ِ چَندانى دارَد
- der Arbeiter ist seines Lohnes wert; اَرزِش ِ يِک کارگَر بِاَندازة اُجرَتَش است
- die Arbeiter waren ihm nicht wert, sie vorzustellen; کارگَران را لایِق ِ مُعَرِفي نِمي دانِست
Wert (m); اَرزِش
- an Wert gewinnen; اَفزايِش ِ اَرزِش يافتَن
- an Wert verlieren; کاهِش ِ اَرزِش داشتَن
- Wert legen auf; اَرزِش قائِل شُدَن به
- Ausverkauf der Werte; آب سَربالا مي رَوَد قورباغه شِعر مي خوانَد، بِمِزاح: ناداني فُرصَتي يافته و فَضيلَت فُروشي آغاز کَرده  است
- Relativität der Werte; نِسبيَت ِ اَرزِشها
- der Wert dieser Kultur; بِضاعَت ِ اين فَرهَنگ
- seinen Wert verlieren; از اِعتِبار اُفتادَن
Wertetabelle; جَدوَل ِ مَقادير
wertgeachtet; اَرجُمَند
- bei jem. wertgeachtet sein; جِلو ِ کِسي رو سِفيد بودَن
Wertigkeit (chem.); ظَرفيَت
wertlos; پَشيز، از اِعتِبار اُفتاده، بى اَرزِش، بُنجُل، اِسقاط
- dieser Plan ist wertlos und zählt nicht; اين نَقشه ناجيز است و به حِساب نِمى آيَد
- etwas wertloses erschaffen; آب بُردَن، بي قَدر و عِزَت ساختَن
Wertmarke; کوپُن
Wertpapiere; اوراق ِ بَهادار، اَسناد ِ بَهادار
wertschätzen; چيزى را قَدردانى کَردَن، ـ اَرج نِهادَن
- die Hilfe von jem. wertschätzen; از کُمَک ِ کِسى قَدردان بودَن
wertvoll; مَرغوب، گِرانبَها، با اَرزِش
- jem. wertvolle Hilfe sein; به کِسى کُمَک ِ شايانى کَردَن
- alles, was uns wertvoll ist; تَمامى ِ نَفايِس ِ ما
- wertvolle Informationen; اِطِلاعات ِ ذيقِيمَت
- wertvolles und wertlosen kann man nicht in einen Topf werfen; تير و رَد نِمی تَوان با هَم گُذاشت
Wesen;
- Wesen, Existenz; موجود
- Wesen, Innerstes; ضَمير، ماهيَت، جوهَر
- vielleicht entspricht das nicht Deinem Wesen; شايَد باب ِ طَبعَت نَباشَد
- das Wesen Gottes; ذات ِ خُدا، مَرام و مَشى ِ خُدا
Wesenskennzeichen; عَلائِم ِ ذاتى، خُصوصيه، صِفَت
Wesenszug;
- positive Wesenszüge; شَمايِل، صِفات، حَسَنه
- für jem. die Wesenszüge eines Vaters haben; بَراى ِ کِسى سِمَت ِ پِدَرى داشتَن
wesentlich; ذاتى، اَصلى، بُنيانى، فِطرى، نَفس اُلامرى، جوهَرى
- wesentlicher Teil der Gespräche; قِسمَت ِ اَعظَم ِ صُحبَتها، ـ عُمده از صُحبَتها
- wesentlicher Punkt; لُب ِ مَطلَب
- die beiden wesentlichen Lehrmeinungen; دو مَکتَب ِ عُمدة رايِج
- seine Vergangenheit ist wesentlicher blasser als die von ..; گُذَشته اَش از .. بَسى کَمرَنگتَر است
- er hat eine wesentlich wichtigere Arbeit als ...; او کارى بَس مُهِمتَر از ... دارَد
- Wesentliches & Unwesentliches; اُصول و فُروع
weshalb;
- weshalb war .. wichtig?; به چه مَنظور .. مُهِم بود؟، چِرا ... مُهِم بود؟
Wespe; زَنبور ِ طَلائى
Wespenstich; نيش ِ زَنبور
Weste; جِلتِقه، جِليتقه
Westen; غَرب
Westentasche; جيب ِ جِليتقه
westlich; غَربي
- westliche Länder; کِشوَرهاى ِ باختَرى، ـ غَربى
Wettbewerb; رِقابَت
- Wettbewerb, Wettrennen; مُسابِقه
- mörderischer Wettbewerb; رِقابَت ِ آدَمکاشانه
Wette; شَرط بَندى
wetten; شَرط بَستَن، شَرط بَندى کَردَن
- wetten, mit hohem Einsatz spielen; بُلَند باز
- mit jem. wetten; با کِسى شَرط بَستَن
- ich wette um einen Ball; مَن شَرط مى بَندَم سَر ِ توپ
- wir wetten um was besseres; شَرط ِ بِهتَرى مى بَنديم
Wetter; هَوا، آب و هَوا
- das Wetter fühlen; تَغييرات ِ هَوارا اِحساس کَردَن
- gut Wetter machen bei jem.; سَر ِ کِسي شيره ماليدَن
Wetterbericht; گُزارِش ِ وَضع ِ هَوا
Wetterfahne; باد نَما
Wetterkarte; نَقشة هَوا شِناسى
Wettervorhersage; پيش بينى ِ وَضع ِ هَوا
Wettkampf; مُسابِقه، تَفاضُل
- im Wettkampf mit ...; دَر تَفاضُل با
Wettlauf; مُسابقة دُو
wettmachen; جُبران کَردَن
- seinen Kleinmut wettmachen; کَفارة بُزدِلى اش را مى دَهَد، بُزدِلى اش را جُبران کَردَن
Wettstreit; مُسابِقه
- Wettstreit der Dichter; مُشاعِره
wetzen; تيز کَردَن
Whirlpool; جَکوزي
wichtig; مُهِم، با اَهَميَت
- nicht wichtig (*: unbedeutend); کَم اَهَميَت
- sehr wichtig; مُهِم و حَياتى
- mir wurde wichtig, dass; به نَظَرَم لازِم و بِجا آمَد که
- wichtig sein;  .حائِز ِ اَهَميَت بودَن، مُهِم ب
- ... gehört zu den wichtigen Problemen; از اَهَم ِ مَسائِل است
- s. wichtig tun; تَشَخُص فُروختَن، اِفاده کَردَن، فيس ک.، باد دَر بُروت ک.، پُز دادَن، فيس و اِفاده داشتَن
- s. mit .. wichtig tun; دَم از .. زَدَن
- wenn sie s. wichtig tun, dann ...; اَگَر بِخواهَند شاخ و شانه بِکِشَند
- die Dinge, die für (eine Sache) wichtig sind, auf den Weg bringen; بَساي ِ چيزي را راه اَنداختَن
- der Kern ist wichtiger als die Schale; تَن ِ آدَمي شَريف است به جان ِ آدَميَت، نَه هَمين لِباس ِ زيباست نِشان ِ آدَميَت
- das ist das Wichtigste; جان ِ کَلام اين است
- am allerwichtigsten; اَلاَهَم
Wichtigkeit; اَهَميَت
Wichtigtuerei; اِفاده، تَکَبُر
Wicke; ماش
wickeln; پيچيدَن
- wickeln (in Windeln); قُنداق کَردَن
Widder; قوچ
wider; ضِد ِ، بَر خَلاف ِ
- für & wider; بَر لَه يا عَلِيه، مُوافِق يا مُخالِف
widerfahren;
- uns ist .. widerfahren; بَراى ِ ما پيش آمَد
- jem. etwas widerfahren lassen; چيزى را نِسبَت به کِسى رَوا داشتَن
- Gerechtigkeit widerfahren lassen; اِنصاف دادَن
Widerhall; طَنين
- zum Widerhall bringen; چيزى را طَنين اَنداز کَردَن
Widerlager; نيم پايه
widerlegen; مُخالِفَت کَردَن، با دَليل رَد کَردَن
widerlich; تَهَوُع آور، پَتياره
Widerrede; ضِد گوئى، جَر و بَحث
Widerruf; اِلغاء، اِبطال، تَرک ِ دَعوا
widerrufen; چيزى را پَس گِرِفتَن
widerruflich; قابِل ِ فَسخ، بَرگَشت پَذير
widersetzen;
- s. jem. widersetzen; با کِسى مُعارِضه کَردَن، از فِلان مُتَمَرِد شُدَن، عُصيان وَرزيدَن
- s. widersetzend; مُستَنکِف، مُتَمَرِد
Widersezlichkeit; تَمَرُد
widerspenstig; (gah-gir) سَر کِش، عاصى شُدَن، گَهگير، کَله شَق، مُتَمَرِد
- widerspenstiges Pferd; اَسب ِ توسَن
Widerspenstigkeit; تَمَرُد، سَرپيچى
widerspiegeln; اِنعِکاس کَردَن، مُنعَکِس ک
- s. widerspiegeln; مُنعَکِس شُدَن
Widerspiegelung; بازتاب، اِنعِکاس
widersprechen; مُخالِفَت کَردَن با کِسي
- s. widersprechen; مُتَناقِض بودَن
Widerspruch; (pl.) اِعتِراض، مُخالِفت، تَناقُض، مُبايَنَت، ، مُناقِضَت، ضِد (اَضداد)، تِضاد
- Widerspruch in s. selbst, Antinomie; اَحکام ِ جَدَلي اُلطَرَفِين
- das ist ein Widerspruch in sich; اين يِک تَناقُض بِالنَفسه است
- jem. in Widersprüche verwickeln; کِسى را به تَناقُض گوئى واداشتَن
- keinen Widerspruch findend; (-on-alejh) مُتَفِق عليه
- etwas im Widerspruch zu .. verstehen; چيزى را مُغايِر با چيزى ديگَر دانستن
- im Widerspruch stehen zu; با چيزى مُنافات داشتَن، در تَناقُض بودَن
widersprüchlich; مُتَضاد، مُنافى، ضِد و نَقيض، مُغايِر
Widerspruchsbescheid; اِعلام ِ اِعتِراض
widerspruchslos; بِدون ِ تَناقُض
- s. widerspruchslos fügen; خودرا به خواست ِ کِسى گَردَن نِهادَن
widerspruchsvoll; مُتَناقِض
Widerstand; مُقاوِمَت
widerstandsfähig;
- widerstandsfähige Naturen; طَبايِع ِ سَرکِش، ـ مُقاوِم
Widerstandskämpfer; مُبارِز
Widerstandskraft; پا و پَر، تاب ِ مُقاوِمَت
widerstandslos; بِلامُعارِض
Widerstandsnest; آشيانة مُقاوَمَتى
widerstehen; مُقاوِمَت کَردَن
- mit aller Kraft ... widerstehen; دَر مُقابِل ِ چيزى تا پاى ِ جان مُقاوِمَت کَردَن
widerstrebend; رو گَردان
Widerstreit; دَرگيرى، کِشمَکِش
widerwärtig;
- in einer widerwärtigen Situation; دَر حالَت ِ مُنزَجِر
Widerwillen; اِکراه، اِنزِجار
- Widerwillen haben; اِکراه داشتَن، اِنزِجار د
widerwillig; به اِکراه
widmen;
- widmen, überreichen (Urkunde, Zeugnis); کارنامه را اِهداء کَردَن
- s. widmen; خودرا اِختِصاص دادَن به
- Zeit für etwas widmen; وَقت بَراى ِ چيزى اِختِصاص دادَن
- ich widme meine Zeit; وَقت را تَعلُق مى دَهَم
Widmung; تَقديم، وَقف
widrig; ناجور
- widriges Wetter; هَوا پَس است
- widrige Umstände; اوضاء ِ نامُساِعد
- vertragswidrig; مُغايِر ِ قَرار داد
Widrigkeit; مَرارَت، پَس
- die Widrigkeiten verringern; از مَرارَت کاستَن، ـ کاهيدَن
wie;
- wie ein Schwan; چون قو
- weiss wie Schnee; سِفيد مِثل ِ بَرف
- leben wie die anderen; هَمرَنگ ِ ديگَران زِندِگى کَردَن
- er wird in Kürze genauso wie ...; و به زودي لِنگة ... مي شَوَد
- wie geht es dir?; حالَت چِطور است؟
- wie spät ist es?; ساعَت چَند است؟
- wie schön!; چه قَشَنگ
- wie bekannt wurde; از قَرار ِ مَعلوم
- wie du mir, so ich dir; کَلوخ اَندازرا پاداش ِ سَنگ است، چيزى که عَوَض داره، گِله نداره
- wie kam es dazu?; چِطور شُده بود؟
- wie er so dasitzt, sieht es aus, als ob er nicht an Schlaf denke; هَمچون راحَت مى نِشينَد که اِنگار خيال ِ خواب نَدارَد
- wie eine Mutter, die ihr Kind verteidigt; گوئى مادَر از فَرزَند شير خورِش دِفاع مى کُنَد
- wie lange ist es her, dass ...?; چَند مُدَت است که
- wie wenig es auch ist; هَر چِقَدر هَم کوچِک باشد
- wie lange leben Sie in Deutschland?; چَند وَقت است که شُما دَر آلمان تَشريف داريد؟
Wiedehopf; هُدهُد، شانه به سَر
wieder;
- immer wieder sagte er; هِى مى گُفت، بارها و بارها ـ
- er kommt wieder; او دوباره مى آيَد
- es ist immer wieder das gleiche; هَميشه هَمينطور است
- wieder neu etwas aufnehmen; باز پَردازى
- das ist gelaufen, kommt nicht wieder; دَر هَميشه به روى ِ يِک پاشنه نِمى گَردَد، باز هَم زِندِگى ِ گُذَشته رو نَخواهَد آوَرد
Wiederaufbau; بازسازى
Wiederaufnahme;
- Wiederaufnahme der Beratungen;  از سَر گيرى ِ مُذاکرِات، اِستيناف ِ  ـ
wiederaufnehmen; از سَر گِرِفتَن
wiederbekommen; پَس گِرِفتَن
wiederbeleben; اِحياء کَردَن
Wiederbelebung; دَست از دِل ِ کِسى بَرداشتَن، کِسى را به حال ِ خود گُذاشتَن
wiederbringen;
- das Versäumte lässt s. nicht wiederbringen; گُذَشته را نِمى تَوان بَر گَرداند
Wiedereinsetzung; اِرجاع
wiedergeben; پَس دادَن
- das Thema wird nicht wiedergegeben; حَق ِ مَطلَب اَداء نمى شَوَد
Wiedergutmachung (jurist.); حَق ِ قَصاص، اِعاده، جُبران
Wiederherstellung; تَجديد، بَرقَرارى، اِستِخلاص
- Wiederherstellung von Rechten; اِعادة حُقوق
wiederholen; تِکرار کَردَن
wiederholt; مُکَرَر
- wiederholter Versuch; آزمايِش ِ مُجَدَد، ـ دوباره
Wiederholung; تِکرار
- hoffentlich komme ich aus den nichtsnutzige Wiederholungen raus;  اُميدوارَم از مِنجِلاب ِ تِكرار بيرون آمَده باشَم
Wiederholungsprüfung; اِمتِحان ِ تَجديدى
wiederkäuen; نُشخوار کَردَن
Wiederkäuer; نُشخوار کُنَنده
Wiederkehr; بَرگَشت، بازگَشت
Wiedersehen;
- auf Wiedersehen; خُدا نِگَهدار، خُدا حافِظ، مَرحَمَت ِ شُما زياد
