Saal (m); سالُن
Schlosser; مِکانیک، چِلِنگَر
schlottern;
- schlotternde Kniee; پاى ِ مُرتَعِش، زانوهاى ِ به هَم خورده
Schlucht; تَنگه، گَلوگاه ِ بِین دو کوه
schluchzen;  .فِغان کَردَن، شیوَن ک.، مویه ک.، زارى ک
Schluchzen (n); صِداى ِ هِق هِق، مویه، زارى
- ihr lautes Schluchzen erfüllte das Haus; هاى هاى ِ گِریه اش خانه را پُر کَرد
schluchzend; زار زار، با زارى و گِریه
Schluck; غورت، جُرعه
Schluckauf; سَکسَکه
- Schluckauf haben; سَکسَکه کَردَن
schlucken; بَلعیدَن، بَلع کَردَن، غورت دادَن
- ohne Widerspruch das Urteil schlucken; بِدون ِ سُخَنى داوَری را نوش ِ جان کَردَن، - قَبول کَردَن
- er wollte was sagen, schluckte es aber runter; او می خواست چیزی بِگويَد اَما حَرف ِ خودرا خورد
- runterschlucken (z.B.: Probleme); خود خور، خود خوری کَردَن
Schlucken (n); اِسکِرَک
Schlucker;
- armer Schlucker; دَست به دَهَن
schlummern; غُنودَن، غُنَو کَردَن، خُفتَن، خوابیدَن
- ein schlummerndes Gewissen haben; وُجدان را دَر خود خَفه داشتَن
Schlund;
- Schlund (anatom.); گَلوگاه، حَلق
- Schlund, Abgrund; هاویه
Schlupf; لَغزِش
schlüpfrig;
- schlüpfriger Boden; زَمین ِ لَغزَنده، زَمین لیز است
schlürfen;
- schlürfen (bei Tieren); پوزه زَدَن
- seinen Tee schlürfen; اِستِکان را مَزه مَزه کَردَن، چاى هورت کِشیدَن
- sie schlürfen über die Strasse; تَلان تَلان راه مى رَوَند، پایشان را لِخ لِخ به زمین مى کِشَند، کِشو کِشو راه مى رَوَند
Schluss;
- Schluss, Ableitung; اِستِنباط
- Schluss, Ende; پایان
- Schluss der Debatte; خاطِمهٔ مُباحِثه، بَستَن ِ مُباحِثه
- ich habe mit allem Schluss gemacht; کارَم را با هَمه اَش يِکسَره کَرده ام
- ihr zieht die Schlüsse, die euch genehm sind; هَرچه مايِل باشَد از خودتان دَر مى آوَرید
Schlussabstimmung; رأى گیرى ِ نَهائى
Schlussakte; سَنَد ِ نَهائى
Schlüssel; کِلید
- Schlüssel für die Lösung; حَل اُلمَسائِل
- Schlüssel (zum Dechiffrieren); مَفتَح
- Hauptschlüssel; شاه کِلید
Schlüsselbein; آخُرَک، اُستُخوان ِ تَرقُوه
Schlüsselbund; دَستهٔ کِلید، دَر و بَند ِ کِلید
Schlüsselfrage; مَسئَلهٔ اَصلى، مَسئَلهٔ مِحوَرى
Schlüsselfunktion; وَظیفهٔ اَساسى
Schlüsselposition; مَقام ِ کِلیدى
Schlüsselrolle; نَقش ِ اَساسى، نَقش ِ کِلیدى
schlussendlich; سَر اَنجام، لِذا، خُلاصه، آخَر ِ سَر
- schlussendlich starben sie; و عاقِبَت مُردَند
schlussfolgern; از قِصه حِصه گِرِفتَن، اِستِنباط کَردَن
Schlussfolgerung; اِستِنباط، اِستِنتاج، پیش فَرض، اِستِقراء، نَتیجه
schlüssig;
- schlüssige Antwort; جَواب ِ قاطِع، ـ قَطعى
Schlusslicht;
- Schlusslicht (z.B. in Wertetabelle); قَعر نِشین
- er ist beim Sport das Schlusslicht; او آدَم ِ بازَنده است
Schlussphase; مَرحَلهٔ نَهائى، دور ِ ـ
Schlussverkauf; حَراج
Schlusswort; پَسگُفتار، خِتام گُفتار، خاتِمهٔ کَلام
Schmach; رُسوائى، نَنگ
schmachten;
- schmachten nach ...; اِشتیاق ِ شَدید داشتَن به
- schmachtender Blick; نِگاه ِ هیز
schmächtig; لاغَر، دِیلاق
- schmächtiges Männchen; آدَم ِ دِیلاق
schmackhaft; لَذیذ
schmähen;  .فُحش دادَن، توهین کَردَن، سَب ک
Schmähung; سَب، فُحش، توهین
schmal; تَنگ، باریک
- schmales Bett; تَختِخواب ِ کَم عَرض
Schmalz; پیه
- Gänseschmalz; پیه ِ غاز
Schmarotzer; سورچَران، نیزه باز، مُفت خور، اَنگَل
- sie leben als Schmarotzer; آنها به طُفِیل ِ دیگَران زِندِگى مى کُنَند، آنها اَنگَل ِ دیگَران هَستَند
Schmarotzertum; طُفِیلى پَروَرى
schmatzen; مِلِچ مِلِچ کَردَن
Schmaus; بَزمَچه، سور
schmecken;
- schmecken, probieren; چِشیدَن، لَب زَدَن
- etwas schmecken; مَزمَزه کَردَن
- schmecken nach ...; مَزهٔ ... مى دَهَد
- s. das ... schmecken lassen; نوش ِ جان کَردَن...
- selbst das Beste schmeckt nicht; حَلوارا با بَلوا خوردَن و نوش را بَر خود ِ نیش ساختَن
- die Kirschen aus Nachbars Garten schmecken am besten; مَنع چو بینَد حَریص تَر شَوَد اِنسان
- der Wurm muss dem Fisch schmecken, nicht dem Angler; عَلَف بايَد به دَهَن ِ بُزی سیری بیايَد
Schmeichelei; تَمَلُق، چاپلوسى، هِندِوانه، زَبان بازى
schmeicheln (jem. -); به کِسى مُداهَنه کَردَن، کِسى را خایه مالى ک.، ـ چاپلوسى ک.، تَمَلُق ک.، هِندِوانه زیر ِ بَغَل ِ کِسی گُذاشتَن، بادِنجان دور ِ قاب ِ کِسی چیدَن
- mit schmeichelnden Blicken; با چِشمهاى ِ تَحسین آمیز
schmeichlerisch; خوش زَبان، چاپلوسانه
- schmeichlerisch & kokett; ناز و غَمزه اى
schmeissen; پَرتاب کَردَن
- er schmeisst s. auf den Boden; او روى ِ زَمین وِلو کَرد
Schmelz; لُعاب
- Zahnschmelz; میناى ِ دَندان، لُعاب ِ دَندان
Schmelzbereich; حوضهٔ مُذاب
schmelzen; قال گُذاشتَن، گُداختَن، آب شُدَن، ذوب کَردَن
- geschmolzenes Material; مَواد ِ مُذاب
- er schmilzt dahin; دِلِش آب می شَوَد
- ich schmolz dahin, während er redete; طَرز ِ گُفتَنِش قَند تو دِلَم آب کَرد
Schmelzpunkt; نُقطهٔ ذوب
Schmelztiegel; بوته
Schmelzwasser; بَرفاب
Schmerz; دَرد، اَلَم
- bohrender Schmerz; دَرد ِ پیچان
- Schmerzen erleiden; اَلَم کِشیدَن
- vor Schmerzen zucken; از دَرد تیر کِشیدَن
schmerzen; تیر کِشیدَن، دَرد گِرِفتَن، دَرد آمَدَن، زوق زوق کِشیدَن
- seine Füsse schmerzen; پاهايَش زوق زوق مى کِشَند
- mit schmerzendem Fuss; با پاى ِ مُتألِم
Schmerzensgeld; غَرامَت ِ آسیب دیدِگى
schmerzlich; دَرد اَنگیز، رَنج آوَر
schmerzlindernd; دَردچین
schmerzstillend; مُسَکِن، تَسکین کُنَنده
- schmerzstillende Tablette; قُرص ِ مُسَکِن
Schmetterling; پَروانه
Schmied; آهَنگَر
Schmiede; آهَنگَرى
Schmiere; گِریس
- Schmiere stehen; پاییدَن
schmieren;
- jem. schmieren (finanz.); خَر ِ کَریم را نَعَل کَردَن
- Brot schmieren (z.B.: mit Käse); پَنیر روی نان مالیدَن
- Kugellager schmieren; بُلبرینگ روغَن زَدَن
- das läuft wie geschmiert; هَمه اش خوب اَنجام می شَوَد
Schmierfette; دُهُنیات
Schmierfilm; قِشر ِ جَربى
Schmiergeld; رِشوه، آجیل، حَقانه
- Schmiergeld zahlen;  .مایه گُذاشتَن، رِشوه دادَن، آجیل د
- hier musst du Schmiergeld zahlen; (infin.) (اینجا بايَد چیزى سُرفید (سُرفیدَن
Schmierheft; مُسَوَده
schmierig; چَرب و چیلی، روغَنی
- schmieriger Typ; آدَم ِ جُلُنبُر
Schmierseife; صابون ِ روغَنى
Schmierung; روغَنکارى
Schminke; سُرخاب، سِفیداب
Schminken; بَزَک، آرايِش
- ihre Zeit mit Schminken vertreiben; تَمام ِ وَقتَش صَرف ِ بَزَک و دوزَک می شَوَد
schminken (s. -);  .بَزَک کَردَن، آرايِش ک
- geschminkte Frau; زَن ِ ماتیک مالیده، بَزَک کَرده
Schmirgel; سُمباده
schmirgeln; سُمباده کِشیدَن
schmollen;  .بُق کَردَن، قَهر ک.، اَخم ک
schmoren; آهِسته جوشیدَن
Schmortopf; کُماجدان
Schmuck; زینَت، زیوَرآلات
- mit Schmuck behangen; با زیوَرآلات آراستَن
schmücken;
- Raum festlich schmücken;  .اُطاق را آذین بَستَن، - زینَت کَردَن، - مُزَيِن ک
- s. schmücken; (präs.) خود را آراستَن (مى آرايَد)، آرائى کَردَن
- geschmückt; آراسته، مُزَيِن
Schmuckstück;
- .. wird zu einem Schmuckstück; چِشم اَنداز ِ زیبائى دَر اینجا پَدید مى آوَرَد
Schmuggel; قاچاق
schmuggeln; قاچاق کَردَن
Schmuggelware; اَجناس ِ قاچَاق
Schmuggler; قاچاقچى
schmusen;  .ناز کَردَن، ناز و نَوازِش ک
Schmutz; رِجاسَت، کِثافَت
schmutzabweisend (Farbe); رَنگ ِ چرک تاب
Schmutzfink; پِسَرَک ِ جُلُنبُر
schmutzig; کَثیف، آلوده
- schmutzige Bilder; عَکسهاى ِ مُفتَضَح، - رَکیک
- schmutzige Wäsche waschen; کاسه و کوزه را سَر ِ هَم خَراب کَردَن، آبروى ِ کِسى را به گَله کِشیدَن، کِسى را لَجَنمال کَردَن
Schnabel; مِنقار، نوک
Schnabeltier; حِیوان ِ پِستاندار ِ اُسترالیائى که مِنقاردار و صَدَفخوار است
Schnalle; سَگَک، قُلاب
schnappen;
- schnappen, wegnehmen; قاپ زَدَن، قاپیدَن
- frische Luft schnappen; هَوا خوردَن
- wie oft hat man dich geschnappt? (z.B. beim Diebstahl); چَند بار گیر اُفتادى؟
- zuschnappen; گاز گِرِفتَن
Schnäppchen; بُزگیر
- einen Schnäppchenkauf machen; بُزگیر آوَردَن
Schnappschuss; عَکس ِ فورى
Schnaps; عَرَق
schnarchen;  .خَرناس کِشیدَن، خُرخُر کَردَن، خُر و پُف ک
Schnarchen (n); خَرناس، نَفیر خواب
schnaufen; نَفَس نَفَس زَدَن
- schnaufend kam er an; نَفَس نَفَس زَنان نَزدیک شُد
Schnaufen (n); خَرناس
Schnecke; حَلزون
- jem. zur Schnecke machen; کِسى را تا حَد ِ شِش دَر چَهار کوچِک کَردَن
- Meeresschnecke; حَلزون ِ دَریائى
Schneckenhaus; صَدَف ِ حَلزون
Schneckentempo; سَرعت ِ خَزِشى
Schnee; بَرف
- Schnee schippen; بَرف پارو کَردَن
Schneeball; گُلولهٔ بَرفى
schneebedeckt; بَرفپوش
- schneebedeckte Erde; زَمین ِ بَرفپوش
Schneebesen; تُخم ِ مُرغ بِهَم زَن
Schneeflocken; دانه هاى ِ پُفى ِ بَرف
Schneegestöber; سوزبَرف
- Schneegestöber (als Störung beim Bildschirm); بَرفَک
Schneemann; آدَمَک ِ بَرفى
Schneeregen; شِلاب
Schneeschaufel; پاروى ِ بَرف
Schneesturm; بوران
Schneid ( - haben); جِگَرِش را داشتَن
Schneide; لَبهٔ تیز
schneiden; بُریدَن
- Haare schneiden; مو زَدَن
- die Linien schneiden s.; خَطها يِکدیگَررا تَقاطُع مى کُنَند
- abschneiden; قِیچى کَردَن
Schneider; خَیاط
Schneiderei; خَیاطى
schneidern; دوخت و دوز کَردَن
Schneidersitz;
- im Schneidersitz sitzen; چَهار زانو نِشَستَن
schneien; بَرف آمَدَن
Schneise; راه ِ عُبور
- jem., der eine Schneise schlägt; راه گُشا
schnell;
- schnell, schnell; پوى پوى، تُند تُند، جَنگى، سَریع، زود باش، عَجَله کُن، بِکوب بِکوب
- schnell machen; هُل زَدَن
- ganz schnell, überstürzt; هول هولَکی، تُند تُند، با دَستپاچِگی
- er macht schnell; خِیلى هُل مى زَنَد
- schnelles Eingreifen; دِخالَت ِ فى الفور
- schnelle Eingreifstruppe; نیروى ِ مُداخِلهٔ سَریع
- schneller laufen; تُندتَر کَردَن
- schneller Entschluss; تَصمیم ِ آنى
- schneller sein, zuvorkommen; پیشدَستى کَردَن
- seine Bewegungen werden schneller; حَرَکاتَش فِرزتَر مى شَوَد
- schnelles Pferd; اَسب ِ راهوار
- auf die Schnelle; به سُرعَت، فى الفور
schnellfüßig; تیزرُو، تیزپا
Schnelligkeit; سُرعَت
Schnellkochtopf; دیگ ِ بَرقى ِ زود پَز
Schnellkraft; قُوهٔ فَنَر، فَنَريَت
Schnellverfahren; دادرِسى ِ اِختِصارى
Schnellzug; قَطار ِ سَریع اُلسِیر
schneuzen; بینى را فین کَردَن، ـ خالى ک.، دَماغ گِرِفتَن
schneuzend; فین فین کَنان
schnippisch; زَبان ِ دِراز
Schnipsel; دَم ِ قِیچى
schnipseln; قِیچى کَردَن، خُرد ک.، چیدَن
schnipsen;
- auf die Zigarette schnipsen; تَلَنگُرى به سیگار زَدَن
- Staub vom Ärmel wegschnipsen; غَبار را روی ِ آستین با چَند تَلَنگُر پاک کَردَن
Schnitt; بُرِش، قَطع
Schnitte;
- eine Schnitte Brot; يِک تِکه نان
Schnittfläche; سَطح ِ مُقَطَع، ـ بُرِش ِ خورده
Schnittlauch; تَره
Schnittmuster; اُلگوى ِ خَیاطى
Schnittpunkt; نُقطهٔ تَقاطُع، ـ بُرِش
Schnittstelle; مُقاطِع
- sie sassen an den Schnittstellen der ...; مَسئولین دَر مَقاطِعى از
Schnittwunden; زَخمهاى ِ چَپ اَندَر راست
schnitzen; تَراش دادَن
Schnitzer; اِشتِباه
- Schnitzer, Holzbearbeiter; کَنده کار
- ein dicker Schnitzer; اِشتِباه ِ گُنده، ـ لُپى
Schnitzerei; کَنده کارى
schnorcheln; غوطه کَردَن با لولهٔ هَوا
Schnorrer; مُفت خور
schnüffeln; اِستِشمام کَردَن
Schnuller; پِستانَک
Schnupfen; نَزله، زُکام
- ich habe Schnupfen; .نَزله کَردَم، زُکام ک
- er bekommt Schnupfen; زُکام مى شَوَد
Schnupftabak; اَنفیه
Schnur; سیم، نَخ، بَند
Schnurrbart; سِبیل، شارِب
- einen Schnurrbart haben; سِبیل گُذاشتَن
schnurren (bes. bei Katzen); خُره زَدَن
Schock; شوک
- Elektroschock; شوک ِ بَرقى
schockieren;  .شُکه کَردَن، شوکه ک
- ich bin schockiert; جا خوردَم، يَکه خ.، شُکه شُدَم
- ich war echt geschockt; مَن پاک واخوردَم
Schöffe; عُضو ِ هَیئَت ِ مُنصِفه
Schokolade; شُکُلات
Scholle;
- Scholle, Fischart; ماهى ِ پَهن
- Scholle, Acker; زَمین
schon;
- ich habe das schon mal gehört; اینرا شِنیده بودَم
- wenn schon, denn schon; یا رو میرَم یا زَنگى ِ زَنگ
- was ist schon dabei?; مَگه چى شُده؟
schön; زیبا، قَشَنگ
- s. schön machen; .زیوَر دادَن، زینَت د
- hier ist es schön warm; اینجا خوب گَرم است
- jedes Mal, wenn ich dich sehe, bist du schöner als das Mal vorher (Sadi);   هَر نوبَتَم که دَر نَظَر اى ماه بُگذَرى بار ِ دُوُم ز ِ بار ِ نَخُستین نیکوتَرى
- Schöne Künste; صَنايِع ِ مُستَظرِفه، صَنايِع ِ ظَریف
Schonbezug; روکِش، سَرپوشیده، کاپوت
schonen; بَر کِسى تَرَحُم کَردَن، کِسى را دَریغ کَردَن، بَر کِسى شَفَقَت داشتَن
- schone meiner!; بَر مَن شَفَقَت فَرما
- jem. schonen vor etwas; کِسى را از چیزى  خُلاصى دادَن، ـ دَریغ کَردَن
schönfärben;
- eine Sache schönfärben; به چیزى رَنگ و جَلاء دادَن
- schönfärberische Worte; حَرفهای ِ خَر رَنگ کُن
Schönfärberei; شاخ و بَرگه دادَن
schöngeistern; باد دَر غَبغَب اَنداختَن
Schönheit; زیبائى
- natürliche Schönheit (eines Menschen); آرايِش و گیرایش ِ طَبیعی داشتَن، آرا و گیرا
- die Frau ist eine Schönheit; این زَن بَر و رویی دارَد
Schönling; قِرتى
schönreden;
- eine Sache schönreden; مَطلَب را تَلفیق کَردَن
Schönschrift; خوش نِویسى، خَطاطى
schonungslos; بى مُلاحِظه، بى مُحابا
Schopf;
- Schopf (bei Vogel); کاکُل
- Haarschopf; بافتهٔ مو
- die Gelegenheit beim Schopf ergreifen; فُرصَت را غَنیمَت شُمُردَن
schöpfen;
- Suppe schöpfen; سوپ کِشیدَن
- Wasser schöpfen; آب کِشیدَن
- Hoffnung schöpfen; اُمیدوار شُدَن
Schöpfer; خالِق
- Schöpfer der Welt; خالِق، آفَرینَنده، آفَریدِگار، دادار  ِجهان، کِردِگار، پَروَردِگار
- Jedes Blatt von einem Baum weist darauf hin, dass es einen Schöpfer gibt (Sadi); بَرگ ِ دِرَخت ِ سَبز دَر نَظَر ِ هوشیار هَر وَرَقِش است مَعَرِفَت ِ کِردِگار
schöpferisch; خَلاقه، خَلاقانه
- schöpferische Kräfte; قُوهٔ مَخلوقه، ـ خَلاقه
Schöpfkelle; (pl.) مِلعَقه (مَلاعِق)، مَلاقه
Schöpflöffel; آبگَردان
Schöpfprobe; کَفچهٔ نِمونه
Schöpfung; تَکوین، پِیدايِش، آفَرینِش، خِلقَت
Schornstein; دودکِش
Schoss;
- jem. bei s. auf den Schoss setzen; کِسى را روى ِ دامَن ِ خود نِشاندَن، ـ روى ِ زانو ـ
- im Schosse der Familie; دَر کانون ِ خانِواده
- Geld, das einem in den Schoss fällt; گَنج است بِدون ِ رَنج، پول ِ باد آوَرده
Schössling (biolog.); پا جوش
Schote; خورجینَک، نیام
Schotter; ریگ
schraffieren; هاشوَر زَدَن
schraffiert; هاشور
schräg; مايِل، شیب دار، اُریب، مُوَرِب
- Strasse verläuft schräg; خیابان اُریب است
- schräger Vogel; اَطواری
- ein schräges Verhalten an den Tag legen; اَطوار ریختَن، - دَر آوَردَن
Schräge; تَوَرُب، شیب
Schrägrampe; سَطح ِ مايِل، ـ مُوَرِب
Schrägschnitt; بُرِش ِ مايِل
Schrägung; پَخ
Schramme; شَخا، خَراش، زَخم
Schrank;
- Küchenschrank; کابینِت
- Nachtschrank; پاتَختی
- Wohnzimmerschrank; کُمُد ِ دِکُر، ـ تَزیین
Schranke; سَد، راهبَند
- Zollschranke; چوب ِ گُمرُک
Schraube; پیچ
- Schraube & Mutter; پیچ و مُهره
- Schraube ohne Ende; پیچ سَر و پا يِکى
- bei jem. ist eine Schraube locker; عَقل ِ کِسى پارهٔ سَنگ مى بَرَد
schrauben; پیچ کَردَن، پیچاندَن
Schraubenschlüssel; آچار ِ شَلاقى، ـ رینگى
- Schraubenschlüssel, Engländer; آچار ِ چَکُش
Schraubenzieher; پیچ گوشتى، پیچ کُش
- flacher Schraubenzieher; پیچ گوشتى ِ لَب ِ تَخت
- Kreuzschraubenzieher; پیچ گوشتى ِ چهار سو
Schraubfassung; پایه پیچ
Schraubstock; گیره، مَنکَنه
- in Schraubstock spannen; مَنکَنه کَردَن
Schraubzwinge; پیچ دَستى
Schrecken; وَحشَت، تَرس، شَم
- lieber ein Ende mit Schrecken, als ein Schrecken ohne Ende; جَنگ ِ اول به از صُلح ِ آخَر
Schreckfänger (Unheilsabwender als Feldzeichen); شَمگیر
Schreckgespenst;
- Schreckgespenst, "Schwarzer Mann"; لولو، بَختَک
schrecklich; مَخوف، تَرس آوَر، سَهمناک
- schrecklich (z.B. Götzenbild); مُهیب
- er ist schrecklich ungebildet; او به حَد ِ وَحشت انگیز بیسَواد است
- schreckliche Nachrichten; اِطِلاعات ِ دِلهُره اَنگیز
- schrecklicher Gesichtszug; صورَت ِ مَخوف
Schrei; فَریاد
- entsetzlicher Schrei; فَریاد ِ هَراس آوَر
- Schrei ausstossen; نَعره کِشیدَن، صَحیه زَدَن
schreiben; کِتابَت کَردَن، نِوِشتَن، مَرقوم فَرمودَن، لَفظ را به قَلَم آوَردَن
- ich kann seitenweise darüber schreiben; مَن می تَوانَم يِک عالِمه را از این چیزها بِنِویسَم
- abschreiben; رونِویسى کَردَن
- von irgendwo herausschreiben; بیرون نِویسى کَردَن
Schreiben (n); کِتابَت، نامه، نِوِشت
Schreiber; کاتِب، مُنشى، نِویسَنده
- Erdbebenschreiber; لَرزه نِگار
Schreiberling; قَلَم فَرسا
Schreibfeder; قَلَم
Schreibmaschine; ماشین ِ تَحریرى
Schreibtafel; (pl.) لوح (اَلواح)، لوحه
Schreibtisch; میز ِ تَحریر
Schreibtischmensch; آدَم ِ پُشت ِ میز نِشین
Schreibwaren; لَوازِم اُلتَحریر
schreien; داد زَدَن، فَریاد ز.، هَوار کِشیدَن
- sie schreien um Brot ; آنها بِخاطِر ِ نان داد و هَوار راه مى اَندازَند
- du kannst noch so schreien; هَر چه قَدر هَم بَر سَر ِ کِسى داد بِکِشى
Schreihals; خُروشَنده، غُرَنده
Schrein; مَرقَد
Schreiner; نَجار
Schreinerei; نَجاری
schreiten; خَرامیدَن
- gemessen schreiten; موزون راه رَفتَن
Schreiten (n); گَردِش و خِرامِش
Schrieb (popul.); کاغَذ، نِوِشت
Schrift; خَط، دَستخَط
- seine Schrift ist schön; دَستخَطِش قَشنگ است
Schriftführer; مُنشى
schriftkundig (sein); (سَواد (بودَن
schriftlich; کُتبى، به رِشتهٔ تَحریر
- schriftlich etwas festhalten; قِید کَردَن،  قَلَمداد ک.، دَرج گَرداندَن، چیزى را به رِشتهٔ تَحریر دَر آوَردَن
Schriftsetzerei; حُروف چینى
Schriftsteller; (pl.) اَهل ِ قَلَم، اَدیب (اُدَباء)، نِویسَنده
Schriftstücke; اَسناد و مَدارِک، نُسخه هاى ِ خَطى
Schrifttum;
- persisches Schrifttum; اَدَبیات ِ فارسى
Schriftwechsel; مُکاتِبه
schrill;
- schrille Farben; رَنگهاى ِ زَنَنده، ـ زَرق و بَرق
- schrilles (undefiniertes) Lachen; خَندهٔ نَکِره
Schrippe (Gebäck mit Honig & Mandeln); کَلوچه
Schritt;
- mit jem. Schritt halten; با کِسى هَمگام بودَن، پا بِپاى ِ دیگَران قَدَم بَر داشتَن
- der erste Schritt; دَر وَهلهٔ اَوَل، اَوَلین قَدَم
- keinen falschen Schritt machen; دَست از پا خَطا نَکَردَن
- keinen Schritt mehr tun; پا از پا بَر نَداشتَن
- diplomatische Schritte unternehmen; اِقدامات ِ دیپلماتیک را بِعَمَل آوَردَن
- das zieht gerichtliche Schritte nach s.; این پِى گَرد ِ قانونى دارَد
- Riesenschritt machen; چَهار قَدَم يِِکی کَردَن
schrittweise; تَدریجی
schroff; خَشِن
schröpfen (med.); حِجامَت کَردَن
- jem. schröpfen; سَر و کِیسه را شُل کَردَن
Schröpfkopf; باد کِش
- Schröpfkopf ansetzen; باد کِش اَنداختَن
Schrot;
- Gerstenschrot; جو کوب
- Getreideschrot; آرد ِ سَبوس دار
- Schrot (Kugel); ساچِمه
schroten; نیمکوب کَردَن
Schrotflinte; تُفَنگ ِ ساچِمه اى
Schrotkugel; چارپاره
Schrott; قُراضه، آهَن پاره
Schrottplatz; مَحَل ِ اوراقى، ـ قُراضه
schrottreif;
- schrottreifer Bus; اُتوبوس ِ قُراضه
schrubben;
- Boden schrubben; کَف ِ اُتاق را کونى کِشیدَن، ساباندَن
Schrubber; جاروب ِ زِبر، زَمین شور
schrullig; عَجیب و غَریب
schrumpelig; آبگَز، چُروکیده و پُر چین شُده بَر اَثَر ِ تَماس ِ طولانی با آب
schrumpfen; مُنقَبِض شُدَن، آب رَفتَن
- mein Geld schrumpfte; کیسه ام داشت تَه کِشید
- sie schrumpfen auf die halbe Grösse; آنها به نیمچه مى رِسَند
Schrumpfung; اِنقِباض
Schubkarre; چَرخ  ِدَستى، گارى ِ ـ
Schubkraft; نیروى ِ حَرَکَت
Schublade; کِشو
Schublehre; کولیس ِ وَزنیه
- Schublehre mit Digitalanzeige; کولیس ِ دیجیتال
Schubs; ضَربه
- einen Schubs bekommen;  .تَنه خوردَن، ضَربه خ
schubsen; هُل دادَن
- er hat mich auf die Seite geschubst; او مَرا به طَرَفى هُل داد
schüchtern; مَحجوب، خَجول
Schüchternheit; مَحجوبيَت، حُجب، خِجالَت، کَمروئى
Schuft; آدَم ِ رَذَل، نابه کار، بى شَرَف، حَرامى، حَرام خور، زَهر مار
schuften; سَر به زیر کار کَردَن
- schwer schuften (*: abschuften); فَعلِگى کَردَن
- den ganzen Tag schuften; تَمام ِ روز جان کَندَن
Schufterei; سَگ دوى
Schuftigkeit; شَقاوَت، شَناعَت، شَنعَت
Schuh; کَفش، چارُق
- Schuh mit Stoffsohle; گیوه
- Schuh mit heruntergetretenem Hackenquartier; کَفش ِ پُشت خوابیده
- jem. etwas in die Schuhe schieben; کِسى را شِلتاق کَردَن، قُصور رو گَردَن ِ کِسى گُذاشتَن
- bis die Schuhe abgelaufen waren; تَه ِ کَفشهايِمان سایید
- aus den Schuhen kippen; از پا اُفتادَن
- Holzschuh; کَفش ِ چوبین
- den Kinderschuhen entwachsen sein (aktiv); از آب و گِل دَر آمَدَن (آوَردَن
Schuhanzieher; پاشنه کِش
Schuheisen; نَعلهاى ِ اِسبى
Schukostecker; دوشاخهٔ بَرق با کُنتاکت ِ مُحافِظ
Schulamt; اِدارهٔ آموزِش و پَروَرِش
Schuld; تَقصیر، جُرم، قُصور
- anderer Leute Schuld tragen müssen; به آتَش ِ کِسی سوختَن
schulden; مَدیون بودَن
- jem. etwas schulden; به کِسى بِدِهکار بودَن، مَقروض ِ کِسى بودَن
- was schulde ich Ihnen?; چِقَدر بايَد بِپَردازَم؟
- er schuldet die Miete von 1 Monat; کرایهٔ ۱ ماه را بِدِهکار است
- ich schulde Herrn ... Dank;  اِداى ِ دِین مى کُنَم به آقاى ِ فِلان
Schulden (f); بِدِهى، قَرضه، دِین
- Staatsschulden; دَیون ِ دولَتى
Schuldenabtragung; وام فَرسائى
schuldenfrei; بِدون ِ بِدِهى
Schuldenlast; بار ِ بِدِهیها
Schuldenpolitik; سیاسَت ِ اِستِقراض، ـ وامگیرى
Schuldgefühl; اِحساس ِ قُصور
Schuldhaftigkeit; قُصور
schuldig; مُجرِم، مُقَصِر
- jem. etwas schuldig sein; به کِسى بِدِهکار بودَن، مَدیون بودَن نِسبَت به کِسی
- s. schuldig machen; مُرتَکِب شُدَن
- sie sprachen ihn schuldig; هَمه اورا مُستوجِب ِ اِعدام دانِستَند
- er bekannte s. nicht schuldig; او اِقرار به جُرم نَکَرد
Schuldiger; مُجرِم، مَدیون، شَخص ِ مُقَصِر
Schuldkomplex; عُقدهٔ گُناه
Schuldner; بِدِهکار، مَدیون
Schuldschein; وام نامه
Schuldspruch; رأى ِ دادگاه، حُکم ِ مُحَکِمه
Schule; مَدرِسه، مَکتَب
- Schule der Sprachanalytiker; نَحلهٔ زَبان کاوان
- der Schule fernbleiben; دو دَره کَردَن ِ مَدرِسه
Schüler; شاگِرد، دانِش آموز
- Schüler einer besonderen Lehrmeinung; مُرید
schulfähig;
- im schulfähigen Alter sein; دَر سِن و سال ِ مَدرِسه بودَن
Schulschwänzer; مَکتَب گُریز
Schulter; (pl.) کَت، کِتف (اَکتاف)، شانه
- auf die leichte Schulter nehmen; آسان گِرِفتَن
- jem. auf die Schulter nehmen; کِسی را قَلَمدوش کَردَن
Schulterblatt; اُستُخوان ِ کِتف
Schulterriemen; تِسمه
- Schulterriemen der Tasche; تِسمهٔ کیف
Schulterschluss;
- sie marschieren im Schulterschluss; آنها شانه شانه پیش مى رَوَند
Schulterzucken (mit -); با بالا اَنداختَن ِ شانه ها
Schulung; دَرس، تَعلیم، آموزِش
Schulzeit;
- während der Schulzeit; دَر دوران ِ مَدرِسه
Schummelei; خَررَنگ کُنى، تَقَلُب
schummrig;
- schummriges Licht; کَمنور، نور ِ شوم
- es ist schummriges Wetter; هَوا گُرگ و میش است
Schund; جِنس ِ بُنجُل، ـ بى اَرزِش
Schuppe;
- Schuppe (Fisch); فِلس، پولَک
- Schuppe (auf dem Kopf); موخوره، شورهٔ سَر
Schuppen; اَنبار ذَخائِر
Schur; پَشم چینى
schüren;
