Haar; مو
heiligen; تَقدیس کَردَن
- s. heiligen; زِندِگی به قَداسَت اَنجامیدَن
Heiligenschein; هالهٔ مُقَدَس
Heiliger; قَدیس
Heiligkeit; قُدوسیَت
Heiligung; تَقَدُس، تَقدیس، قَداسَت
Heilmittel; دارو، عِلاج
Heilpflanzen; گیاهان ِ داروئى
heilsam;
- heilsame Antwort; جَواب ِ شافى، ـ مُفید
Heilsarmee; سِپاه ِ رَستِگارى
Heilslehre; رَستِگاری شِناسی
Heilung; مُعالِجه، اِلتیام، شَفاء، تَشفیه
Heilwasser; آب ِ گُوارا
Heilwirkung; اَثَر ِ دَرمانى
Heilzweck; مورِد ِ اِستِعمال ِ دَرمانى
Heim; خانه
- ein Heim gründen; خانه را سَر و سامان کَردَن
Heimarbeit; دَست وَرزى
Heimat; (pl.) وَطَن (مَواطِن)، میهَن، زاد و بوم، زاد بوم، آب و خاک
- ewige Heimat, obere -; سَراى ِ اَبَدى، بَرین ِ وَطَن
- entweder die Heimat oder das Leichentuch (Schlachtruf); یا وَطَن یا کَفَن
heimatlich; مِیهَنی
heimatlos; دَر بِدَر، بى خانِمان، آواره
- jem. heimatlos machen; کِسى را آواره کَردَن
Heimatloser; آواره، خانه بَر دوش
Heimatlosigkeit; دَر بٍدَرى، آوارِگى
heimgehen;
- heimgegangen, verstorben (liter.);فَقید، رَحل ِ اِقامَت به سَراى ِ باقى اَفکَندَن  
Heimkehr; عودَت بِوَطَن، باز گَشت ـ
heimlich; دَر اِخفاء، دَر خِفا، نِهُفته، پِنهانى، دُزدَکى
Heimlichkeit; خَفاء، نِهُفتِگى
Heimschneiderin; خِیاط سَر ِ خانه
heimsuchen; چیزى جَزا دادَن، گِرِفتار شُدَن، دُچار شُدَن
heimtückisch; رَذیل، مَکر آمیز، دورو
Heimweh; غُربَت زَدِگی
- Heimweh haben; غُربَت زَده، دِلتَنگى داشتَن
heimzahlen;
- er wird es dir heimzahlen; او حَقَت را به کَف ِ دَستَت مى گُذارَد، ـ به تو مُکافات مى رِسانَد، ـ تَلافى خواهَد کَرد، تَقاص ِ این کاررا از تو خواهَد گِرِفت
- er hat es ihm heimgezahlt; آن شَخص را به سَزاى ِ عَمَل ِ خود رِسانید
- ... es ihnen mit einem Fusstritt heimgezahlt; یِک لَگَد خَرجِشان مى کَردیم
Heirat; اِزدِواج، تأهُل، تَزویج، اِنکاح
heiraten; اِزدِواج کَردَن
- er heiratete Maria; او با مَریَم عَروسى کَرد
heischen; دَر جُستِجو بودَن
- profitheischend; سودجویانه
heiser; صِدای ِ گِرِفته
- seine Stimme ist heiser, wie ein Reibeisen; صِدایَش زَنگار است، ـ گِرِفته است
Heiserkeit; گِرِفتِگى ِ صِدا
heiß;
- stechend heiß; سوزان
- mir ist heiß; داغَم شُد
- der Tee ist sehr heiß; چاى لَب پَز است
- glühend heißer Ort; جاى ِ تَفسان، ـ تَفتى
- heißes Wasser; آب ِ داغ
- gestern war es brüllend heiß; دیروز آتَش مى بارید
- jem. heiß machen auf etwas; سَر ِ کِسى را گَرم کَردَن،  شائِق شُدَن ِ او، مُشتاق  کَردَن ِ او
- auf etwas heiß sein; آج و داغ ِ چیزی بودَن
heißen;
- wie heißen Sie?; اِسم ِ شُما چیست؟
- das heißt; عُنوان میشَوَد
- wie heißt das auf deutsch?; آلمانى اش چه مى شَوَد؟
- was soll das heißen?; چه حَرفها؟
Heißwasserspeicher; مَخزَن ِ آب ِ گَرم
heiter; بَشاش، سَرخوش، طَبع نَواز، با نِشاط، فَرحان، فَرَحبَخش
- das Wetter ist heiter; هَوا صاف است
Heiterkeit; نِشاط ِ زِندِگى، اِبتِهاج، شادآبى، فَرَح
heizen;
- den Ofen heizen; اُجاق را روشَن کَردَن
Heizkissen; بالِش ِ بَرقى
Heizkörper; رادیاتور، شوفاژ
Heizung; شوفاژ، حَرارَت، گَرماساز
Hektar;
- 1 Hektar; یِک گَریب، ۱ هِکتار
Hektik; عَجَله، شِتاب
- in Hektik (i.S.: Durcheinander) geraten; به تَکاپو اُفتادَن
hektisch; عَجول، به تَعجیل
- ein hektischer Mensch; آدَم ِ عَجول
- sei nicht so hektisch!; عَجَله نَکُن
- hektisch zog er an der Zigarette; فِرت فِرت سیگار کِشید
Held; پَهلَوان، دِلاوَر، قَهرَمان
- Freiheitsheld; سِلَحشور ِ آزادى
- Scheinheld; پَهلَوان ِ پَنبه
helfen; مَدَد کَردَن، کُمَک ک.، یارى ک.، به نَفع ِ کِسى کارهائى ک.، به کِسى رِسیدگى کَردَن
- ich wollte ihm helfen; مَن اورا کامیاب ساختَم
- er wusste s. nicht anders zu helfen, als ...; او چاره اى نَدید جُز آنکه
- ... uns helfen, dass Ziel zu erreichen; مارا در نِیل ِ به هَدَف یارى بِرِسانَند
- ich helfe meiner Mutter; مَن به مادَرَم رِسیدِگى میکُنَم
- keiner half ihnen; آنها فَریاد ِ رَسى نَداشتََند
- hilf mir!; به دادَم بِرِس، کُمَکَم کُن
- Helfen & Geben; داد و دِهِش
Helfer; حامى، پاکار، یار، باوَر، یاروَر
hell; روشَن
- ein helles Kerlchen (*: pfiffig); او قاشُق ِ هَر آش است
- eine Sache aufhellen; موضوع را واضِح کَردَن
hellblau; آبى ِ روشَن، آبى ِ کَم رَنگ
Heller; قِران، ریال
- dafür habe ich keinen Heller erhalten; از این کار خَط و نَصیبى نَبُردَم، ـ حَتى یِک قِران دَریافت نَکَردَم
hellhörig;
- das Haus ist hellhörig; دیوار موش دارَد موش گوش دارَد
- da wurden sie hellhörig; آنها سَر و پا گوش شُدَند
Helligkeit; روشَنائى
helllicht;
- am helllichten Tag etwas machen; دَر روز ِ روشَن چیزى را کَردَن
Helm; کُلاهخود، تَرک
- mit Helm; تَرک دار
Hemd; پیراهَن
- das Hemd ist näher als der Rock; خَر ِ خودرا از پُل گُذَراندَن
- Büßerhemd (bei Aschura); دَر روز ِ عاشورا) پیرهَن ِ شاخسینی )
- Nachthemd; پیرهَن ِ خواب
Hemdkragen; یَقه
Hemisphäre (nördlich, südlich); (نیمه کُره ( ِ- شُمالى، جِنوبى
hemmen; جِلوگیری گَردَن
Hemmung; خِجالَت
- Hemmungen haben; خِجالَت کِشیدَن
hemmungslos; بى پَرهیز، بى اَندازه
Henkel; دَسته، دَست گیره
Henker; دَژخَم، میرقَضَب، جَلاد
Henna; حِنا
herabhängen;
- das Hemd hängt schlaff an ihr herab; پیرهَن به تَنَش زار میزَنَد
herabkommen; نازِل شُدَن
- eine Stimme kam vom Himmel herab; نِدائى از آسمان دَر رِسید
herabschauen (- auf jem.); (تُف تُفه کَردَن (نِسبَت به کِسی
herabsetzen; کاستن، پائین آوَردَن، کاهِش دادَن
- zu herabgesetztem Preis; به قِیمَت ِ نازِل
herabsetzend; خِفت آمیز، کَسر آمیز
herabsteigen; فُرود آمَدَن
herankommen;
- wir kommen an die Sachen heran; به چیزها دَسترِسى داریم
heranmachen (s. -); نَزدیک شُدَن
heranwachsen; از آب و گِل دَر آمَدَن، بُزُرگ شُدَن، رُشد کَردَن
- heranwachsende Generation; نَسل ِ رو به رُشد
- heranwachsende Pflanze; گیاه ِ رویا
heranziehen; کِشیدَن
- zur Arbeit heranziehen; تو کار کِشیدَن، بِکار گِرِفتَن
heraufbeschwören;
- Krise heraufbeschwören; بُحرانى را بَر اَنگیختَن
herausbringen;
- der Verlag bringt ein neues Buch heraus; چاپخانه کِتاب ِ نو را اِنتِشار مى کُنَد، ـ پَخش مى کُنَد
herausheben;
- s.(aus der Masse) herausheben; جِلوه کَردَن
herausfallen; بیرون اُفتادَن
herausfinden;
- mit Überraschung herausfinden; با شِگِفتِگى دَر یافتَن
- ob er herausfindet, dass ...?; ... او هَم عَقلَش مى رِسَد که
- sie finden heraus, dass ...; آنها بو مى بَرَند که، ـ کَشف مى کُنَند 
- zum Herausfinden (was .. weiss); جَهَت ِ آزمون  ِ دانِش ِ کِسى، سَر و گوشی ِ آب دادَن
Herausforderer; چالِش گَر، طالِب
herausfordern; طَلَبیدَن، به چالِش کِشیدَن
- jem. herausfordern; کِسی را به چالِش کِشیدَن
- aufmuntern & herausfordern; تَرغیب و تَشویق کَردَن
- er fordert seinen Ehrgeiz heraus; اورا سَر ِ غِیرَت مى آوَرَد، غِیرَتَش را مى طَلَبَد
- er fordert mich heraus, provoziert mich; او مَرا کُرکُری می خوانَد
Herausforderung; دَعوَت به، چالِش
- wenn diese Herausforderung nicht wäre; اَگَر گَرمى ِ این چالِش نِمى بود
Herausgeber; ناشِر
heraushalten (s. -); دِِخالَت نَکَردَن، فُضولی نَکَردَن
herauskommen; بیرون آمَدَن
- das, was dabei herauskommt; فَرجام کار
- und was dabei herauskommt, ist ...; و حاصِل ِ آن ... است
- es kommt für mich nichts heraus; هیچ چیز عاِیدَم نِمى شَوَد
- war zu Fuss herausgekommen; به پیاده رو آمَده بود تا
- der Film kommt heraus; فیلم به نَمایِش دَر میایَد
- das Geheimnis kommt heraus; رَمز فاش میشَوَد
- keinerlei Wunsch verspüren, herauszukommen; به رَهائى از آن چَندان عَلاقه اى نَدارَد
herauskristallisieren (s. -); تَبَلوُر یافتَن
herauslassen; کِسى را راه دادَن، ـ آزاد کَردَن، ـ رَهائى دادَن
- den Hund herauslassen; سَگ را به بیرون راه دادَن
herausmachen;
- du hast dich aber fein herausgemacht; عَجَب لِباس ِ آراسته اى به تَن کَرده اى
- du hast dich gut herausgemacht; عَجَب تَن و بَدَنى به هَم زَده اى
herausnehmen;
- s. etwas herausnehmen (*: erdreisten); تَجَری کَردَن
- ihr nehmt euch zuviel heraus!; شُما از حَد ِ خود تَجاوُز مى کُنید
- die Ware herausnehmen; کالا را بَر داشتَن
herausragen;
- über andere herausragen; از دیگَران بَرتَر بودَن
- herausragender Plan; طَرح ِ نابِغه
- herausragende Stellung; مَقام ِ شامِخ
herausragendst; اَخص، عالى تَرین
herausreissen (i.S.: entwenden); قاپیدَن
- jem. herausreißen (aus schwieriger Situation); کِسی را نِجات دادَن
- jem. aus seiner herausreißen; کِسی را از وَطَنِش طُرد کَردَن
herausrutschen; به بیرون آمَدَن
- mir ist das herausgerutscht; خودِش از دَهَنَم دَررَفت، ـ پَرید
herausspringen;
- nichts herausspringen (*: abfallen); هیچ چیز عایِد نِمیشَوَد، ـ از کار دَر نِمیایَد
- es ist nichts für mich herausgesprungen; از این کار چیزى عایِدَم نَشده بود
herausstellen (s. -); .دَرز کَردَن، اِفشاء شُدَن، مَعلوم ش
herb;
- herb (im Geschmack); گَس
- herb, bitter (Nahrungsmittel); دِبش
herbeieilen; سَر رِسیدَن
herbeiführen; چیزى را فَراهَم کَردَن
herbeirufen; .کِسى را بِحُضور خواندَن، ـ فَرا خ
Herbheit; دِبشى
Herbst; پائیز، خَزان، خَریف
Herbstlaub; بَرگ ِ خَزان شُده
herbstlich; پائیزه، خَریفى
Herd; اُجاق
Herde; رَمه، گَله
hereinfallen (auf ein Versprechen -); گول ِ کِسى را خوردن، به دام اُفتادَن
hereinkommen; به داخِل آمَدَن
- kann ich hereinkommen? (popul.); اِجازه هَست بیایَم تو؟
- komm herein! (popul.); بیا تو
hereinstürzen;
- was für ein Unglück über ihn hereinstürzt!; چه بَدبَختی سَرَش می آیَد
herkömmlich; عادی، رَواج
hereinlegen; گول زَدَن، فَریب دادَن
- er hörte nicht auf, die Leute hereinzulegen; او از تَقَلُب رو گردان نَبود
herfallen;
- über jem. herfallen; بَر کِسى تَعَدى کَردَن، ـ هُجوم آوَردَن، هول به جان ِ کِسى اَنداختَن، به جان ِ کِسی اُفتادَن
- übereinander herfallen; دو بِهَم زَنی کَردَن
- über den Angreifer herfallen; بَر مُتَجاوِز تاختَن
Hergang; جَریان، رَوَند
Hering; گَرماهى، شاه ماهى
Herkunft; نَسَب
- der Herkunft nach; نَسَبى
- die Herkunft ist unklar; اَصلِش مَعلوم نیست، سَر چِشمه اش ـ، مَنشاء ِ آن ـ
- gibt Aufschluss über die Herkunft von ..; اِشتِقاق ِ.. را رونَق مى بَخشَد
hermachen;
- s. über etwas hermachen; با سَبُعیَت چیزى را کَردَن
- s. über jem. (etwas) hermachen; به جان ِ کِسى (چیزی) اُفتادَن
- sie machen s. über das Essen her; آنها سَر گَرم ِ خوردَن میشَوَند، آنها وَلَع ِ خوردَن ِ غَذارا دارَند
hermetisch;
- der Topf ist hermetisch abgeschlossen; دیگ کیپ است
Hernie; فَتق
Herodot; هِرودوت
Herold; جارچى، مُنادى
Herpes; سِلُنج، تَفسیده لَب، تَبخال
Herr;
- Herr, Besitzer (Herrin); (صاحِب (صاحِبه
- Herr Hofmann; آقاى ِ هوفمان
- Mein Herr; جِناب عالى، آقاى ِ مُحتَرَم
- Hausherr; سَروَر
- er ist Herr über sein Haus & Gesinde; او صاحِب ِ خَدَم و حَشَم است
- sein eigener Herr sein; آقای ِ خود و نوکَر ِ خود بودَن
- sehr geehrte Damen & Herren; خانُمها و آقایان ِ مُحتَرَم، حُضَار ِ ـ
Herrenbekleidung; لِباس ِ مَردانه
herrichten; آرایِش کَردَن
- ich bin damit beschäftigt, .. herzurichten; مَن دَست اَندر کار ِ تَدارُک ِ .. هَستَم، مَن به مُهَیا کَردَنِش مَشغولَم
herrisch; تَحَکُم آمیز
- herrisch zu jem. schauen; به کِسى چِشم ِ غَره زَدَن
herrlich; با شُکوه، پُر جَلال
- herrlicher; با شُکوه تَر، پُر جَلالتَر
Herrlichkeit; شوکَت، فَر، شُکوه، جَلال
Herrschaft;
- Herrschaft erlangen; سُلطه یافتَن، تَسَلُط ـ
- Fremdenherrschaft; سُلطهٔ بیگانِگان
- meine sehr geehrten Herrschaften; بانویان و آقایان ِ مُحتَرَم،  حُضار ِ ـ
herrschaftlich;
- hochherrschaftlich (in der Haltung); با جَبَروت
Herrschaftsbereich; قَلَمرو، وِلایَت
Herrschaftsgewalt; مَتبوعیَت
herrschen; حُکمرانى کَردَن، بَر چیزى مُسَلَط بودَن، تَسَلُط یافتَن
- jem. über etwas herrschen lassen; کِسى را بَر چیزى مُسَلَط گَردانیدَن
herrschend; مُتَحَکِم
Herrscher; مَتبوع، حُکمران، حاکِم
- zum Herrscher von .. gesetzt; اورا به .. مُسَلَط نمود، اورا حاکِم ِ ... را گُذاشت
- ihn zum Herrscher über ... gesetzt; اورا بَر ... مُسَلَط گَردانیده است
- er ist Herrscher über ..; آقا بالا سَر ِ ... است
herrühren (- von ...); سَرچِشمه گِرِفتَن از، ناشى شُدَن از
herschleifen;
- etwas hinter s. herschleifen; چیزى را دُنبال ِ خود کِشیدَن، ـ کِشاندَن
hersein;
- hinter etwas hersein; دُنبال ِ چیزى بودَن، چیزى را تَعقیب کَردَن، چِشم ِ کِسی پِی ِ چیزی بودَن
herstellen; ساختَن، تولید کَردَن، بِوُجود آوَردَن
- Beziehung herstellen; رابِطه را بَر قََرار کَردَن
- selbst hergestellt; دَست پَروَرد، خود ساخته
- zwischen uns wird übereinstimmung hergestellt; تَوافُق بِین ِ ما حاصِل مى شَوَد
- dieser Kurs wurde hergestellt, um ...; این دوره تَهیه شُده که
Hersteller; سازَنده، ایجاد کُنَنده، صانِع
herum;
- um ... herum; دُورادُور
herumdrucksen; مِن و مِن کَردَن
herumfuchteln; .به هَوا مُشت زَدَن، دَستهارا دَر هَوا پیچ و خَم ز
herumhängen; دور و بَر ِ خود لولیدَن
herumkaspern; مَسخَرِگی کَردَن
- kaspere nicht so herum; مَسخَرِگی نَکُن
herumrätseln;
- was kommt für .. heraus, wenn wir herumrätseln?; ولى از اَنگ ِ » مُعَما « زَدَن به .. چه حاصِل؟
herumreichen;
- den Kelch herumreichen; جامى را دور گَردانیدَن
herumschlagen;
- s. mit jem. herumschlagen; با کِسى مُحاجه کَردَن
herumschweifen; .آواره گشتَن، وِل گ
herumsprechen;
- die Nachricht von ... wird s. herumsprechen; خَبَر ِ ... خواهَد پیچید
- die Sache hat s. herumgesprochen; این موضوع بَر مَلا شُد
herumstehen;
- verloren herumstehen; خودرا کِنِفت کَردَن
herumstochern; کَند و کو کَردَن
- im Schloss herumstochern; با قُفل کَند و کو کَردَن
herumstreuen;
- seine Kleider auf dem Boden herumstreuen; لِباس ِ خودرا روى ِ زَمین وِلو کَردَن
herumstromern; ‌پَرسه زَدَن
- nach einigem Herumstromern; پَس از پَرسه زَدَنهاى ِ مُتَوالى
herumtreiben (s. -); پَلَکیدَن، پَرسه زَدَن، دَدَر رَفتَن، وِل گَشتَن
Herumtreiber; پَرسه زَن، وِلگَرد
herunterkommen;
- heruntergekommene Leute; اَفراد ِ فُرودَست، ـ جُلُنبُر و ریغو
- ein heruntergekommenes Haus; خانهٔ فُرو ریخته
- kommen Sie herunter; بیائید پائین
heruntersetzen;
- Preis heruntersetzen; تَخفیف دادَن
- heruntergesetzter Preis; قِیمَت ِ نازِل
hervorbringen; پَدید آوَردَن، به بار آوَردَن، سَر دَر آوَردَن
- wenn deine Hand Böses hervorbringt; اَگَر دَستَت خَطائى سَر مى زَنَد
hervorgehen;
- hervorgehen, folgern; .مُستَفاد شُدَن، اِستِنباط ش
- hervorgehend aus; چیزى ناشى از .. باعِث شُد که
hervorgehoben (i.S.: einzigartig); فَریده
hervorheben; به چیزی اَهَمیَت دادَن
- s. hervorheben; مُتَمایِز بودَن
- einen Punkt hervorheben; یِک نُکته را اِختِصاص دادَن
hervorholen;
- Hand hervorholen; .. دَست یازیدَن به 
- die Angelegenheit hervorholen; قَضیه را پیش کِشیدَن
hervorkommen; بیرون آمَدَن، به ظُهور رِسیدَن
- als er wieder hervorkam; وَقتى سَر و کَله اَش پِیدا شُد
hervorlugen;
- kein Mensch lugt hervor; هیچ سَرى سَرَک نِمى کِشَد
hervorragen; بَرآمَدِگى داشتَن
hervorragend; عالى، بَرجَسته
- als hervorragend bezeichnet werden; بِعُنوان ِ سَرآمَد ِ چیزى مَحسوب شُدَن، ـ سَربَر اَفراشته ـ
hervorrufen; موجِب شُدَن
- Stillstand hervorrufen; وَقفه ایجاد کَردَن
- den Zorn von jem. hervorrufen (*: erregen); قََهر ِ کِسى را خُروشاندَن، ـ بَر اَنگیختَن
- durch ... ruft er ein Unglück hervor; تَوَسُط ِ ... خَرابى ِ زیادى به بار میاوَرَد
- sie rufen mein Mitleid hervor; آنها حِس ِ تَأسُف ِ مَرا بَر مى اَنگیزَند
hervortreten;
- hervortreten vom Muskel; بیرون زَدن از عَضُله، ماهیچه بَر می آیَد
hervortun; خودرا خود نَمائى کَردَن
Herz; قَلب، دِل
- Herz (beim Kartenspiel); دِل
- mir wird es leicht ums Herz; دِلَم خُنَک مى شَوَد
- das Herz rutschte ihm in die Hose; دِلِش هُرى ریخت پائین، دِل ریش شُد، آب شُد ِ دِلِش، عَظیم تَرسید، سَخت هَراسید
- einen Stich durchs Herz bekommen; کِسى دِل ریش میشَوَد، دِل ِ کِسى جَریحه دار میشَوَد
- Gott sein Herz ausschütten; با خُدا راز و نیاز کَردَن
- sein Herz an etwas hängen; دِل ِ خودرا به چیزى بَستَن
- mein Herz hängt an ...; دِلَم پیش ِ ... می گیرَد
- jem. ans Herz gewachsen sein; با کِسی اُخت شُدَن
- sein Herz schmolz dahin; دِلِش بَراى ِ ... رَفت
- das geht zu Herzen;  .دِلرُبا بودَن، دِلچَسبَنده ب.، دِلنِشین ب
- eine dieser zu Herzen gehende Schönheiten; از آن ِ خوشگِلهای تو دِل بُرو
- sie sehen Dinge, die das Herz erfreut; آنها چیزهاى ِ تو دِل بُرو را مى بینَند
- sein Herz machte einen Freudensprung (verliebt); دِل ِ او زَنج زَد
- mit ganzem Herzen (die Arbeit machen);  (از جان و دِل (کاررا کَردَن
- ein Herz und eine Seele; یِک جان دَر دو قالِب
- jem. Herz brechen; دِل ِ کِسی را شِکَستَن
- sein Herz ist bei ...; دِلِش پیش ِ ... است
- von Herzen etwas sagen; از دِلِش گُفتَن
- zu Herzen nehmen; به دِل گِرِفتَن
Herzenslust;
- nach Herzenslust; هَر چِه مى خواهَد
herziehen;
- etwas hinter s. herziehen; چیزى را یَدَک کِشیدَن
- über Menschen herziehen;  مَردُم را مَچَل گوئى کَردَن، از مَردُم غِیبَت ک.، دَربارهٔ کِسى بَد و بیراه گُفتَن
Herzinfarkt; سِکتهٔ قَلبى
Herzklopfen; دِل تَپِش، تَپِش ِ دِل
Herzkräftigung; مُقَوى ِ قَلب
Herzkranzgefässe; عُروق ِ جانِبهٔ کُرونى
herzlich;
- jem. herzlich empfangen (*: aufrichtig); از کِسى به گَرمى پَذیرائى کَردَن
- mit jem. herzlich umgehen; با کِسی خون گَرم بودَن
- herzlicher Mensch; آدَم ِ فَراخ رو
- es wird herzlichst darum gebeten; اِحتِراماً مَعروض مى دارَد
- mein herzliches Beilied; تَسلیَت ِ قَلبى ِ خودَم را تَقدیم مى دارَم
herzlos; بی رَحم
Herzrasen; تَپِش ِ قَلب شِدَت مى گیرَد
- ich habe Herzrasen; دِلَم مى لَرزَد
Herzscheidewand; دیوارهٔ وَسَط ِ قَلب
Herzschlag; ضَرَبات ِ قَلب
herzzerreissend; دِلگُسِل، جان گَزا، دِلخَراش، جانکاه، جانگُذار
hetero; - پیشوَندى بِمَعنى: دِگَر، نابَرابَر
heterogen; نا مُتَناجِنس
Hetze; تَهییج، تَحریک
hetzen (s. -); شِتاباندَن
- Tiere hetzen; حِیوان را تازاندَن
- er hetzte ihn auf mich; اورا به جان ِ مَن اَنداخت
hetzerisch; تَحریک کُنَنده
Hetzjagd; تازیبانى
Heu; عَلَف ِ خُشک
Heuchelei; شیله پیله، ریاکارى، مُقَدَسبازى، مُنافِقَت، اِفتِعال، نِفاق
heucheln; .آب زیر ِ کاه از آب در آمَدَن، ریاکارى کَردَن، مُنافِقَت ک
Heuchler; مُرائى، ریاکار، مُنافِق
Heugabel; چَنگال ِ چار شاخه
heulen; گِریه کَردَن، گِریستَن
- der Hund heult; زَنودَن
- heulender Schakal;صِداى ِ زوزهٔ شُغال
Heuschrecke; مَلَخ
heute; اِمروز
- heute abend; اِمشَب
- heute morgen; اِمروز صُبح
Heute (n); روز  ِ اِمروز
heutig;
- bis zum heutigen Tag; (al joum) تا اَلیوم، تا اِمروز
- in der heutigen Zeit; دَر روزِگار ِ اِمروزه
heutzutage; روزِگار ِ کُنونى، دَر این بُرهه از زَمان، اِمروزه
Hexaeder; سُداسى اُلوُجوه، جِسم ِ شِش سَطحى
Hexe (Märchenfigur); آل
Hexenschuss (med.); کَمَر دَرد، قولِنج
hie;
- hie und da etwas hören; گوشه و کِنار ِ چیزى را شِنیدَن
Hieb; سُقُلُمه
- jem. einen Hieb (*: Schlag) versetzen; کِسى را سُقُلُمه زَدَن
- jem. einen Seitenhieb versetzen; یِک سُقُلُمه پَهلوی ِ کِسی زَدَن
hier; اینجا
- er kommt von hier; او اَهل ِ اینجاست
Hierarchie; سِلسِله
- Berufshierarchie;سِلسِلهٔ مَراتِب ِ شُغلى
- Ministerialhierarchie;سِلسِلهٔ مَراتِب ِ وِزارَتى
hierher;
- kommen Sie bitte hierher!; بِفَرمائید بیائید اینجا
- hiermit teile ich Ihnen mit; بِدینوَسیله به اطِلاع ِ شُما میرِسانَم
Hieroglyphen; خَط ِ تَصویرى
hiesig; مَربوط به اینجا
- er ist ein Hiesiger; او اَهل ِ اینجاست
hieven; بالا کِشیدَن
High Noon; نیم روز
Hilfe; پایمَردى، کُمَک، یارى، اِمداَد، مَدَد
- gegenseitige Hilfe; هَمیارى، مُساعِدَت
- Bitte um Hilfe; مَدَدخواهى
- jem. zu Hilfe rufen; سَر ِ کِسى داد کِشیدَن، فَریاد خواه
- um Hilfe schreien; هَوار کِشیدَن
- überall Hilfe suchen; به هَر دَرى زَدَن
- mit Hilfe von ...; با پایمَردى  ِ..، با مُعاضِدَت ِ، با اِمداد ِ، با گُزیر ِ، به کُمَک ِ
- mit Hilfe der Duldung durch ..; به پاس ِ اِستِفاده از اِغماض ِ کِسى
- er ist keine Hilfe; دَر این کار دَخیل نیست
- jem. zu Hilfe kommen; به داد ِ کِسى رِسیدَن
- Rechtshilfe; تَعاوُن ِ قَضائى
Hilfeschrei;
- wir hörten den Hilfeschrei der Kinder; ما هَوار ِ بَچه ها را شِنیدیم
hilflos;
- hilflos sein; آه دَر بَساط نَداشتَن
- s. hilflos fühlen; خودرا زَبون و بیچاره اِحساس کَردَن، اِز آمَدَن
- total hilflos; مَذبوحانه، دَرمانده
Hilflosigkeit; بی چارِگی
- in seiner Hilflosigkeit sagte er ..; او که مانده بود چه کُند، گُفت ..، دَر بیچارِگى اَش گُفت ...
hilfreich;
- hilfreich sein; کار ساز بودَن، سودمَند ب.، مُفید بودَن
Hilfsarbeiter; عَمَله
Hilfsgüter; وَسائِل ِ اِمدادى
Hilfsorgan;نَهاد ِ کُمَکى، مؤِسِسهٔ اِمدادى
- christliche Hilfswerke; خَدَمات ِ کُمَک رِسانى ِ مَسیحیان
Hilfswissenschaften; دانِشهاى ِ دَخیله
Himbeere; تَمِشک
Himmel; آسمان
- Himmel (poes.); گُنباد ِ کَبود
- Himmel & Erde; عَرش و فَرش
- zwischen Himmel & Erde; از سَمَک تا سَماک
- unter freiem Himmel; دَر فَضاى ِ باز
- jem. in den Himmel heben; کِسى را حَلوا حَلوا کَردَن
- das Blaue vom Himmel reden; آسمان ریسمان کَردَن
- im 7. Himmel sein; از خوشحالى عَرش را سیر کَردَن
- er fühlte s. im 7. Himmel; او دَر عَرش سیر مى کَرد
Himmelfahrt; مِعراج، عُروج
himmlisch; سَماوى، آسمانى
Himmelsrichtung;
- die vier Himmelsrichtungen; جَهات ِ اَصلیه
hin;
- hin & wieder; گاه گاهى، گاهى اوقات
- hin & zurück; رَفت و بَرگَشت
hinab; به پائین
hinabfliessen; سَرازیر بودَن
hinauf; به بالا
hinaus;
- kommt nicht über Geschrei hinaus; از داد و بیداد فَراتَر نِمیرَوَد
hinauslaufen;
- auf etwas hinauslaufen; که مُنتَج ِ ... چیزى است
hinauslehnen;
- s. aus dem Fenster hinauslehnen; سَر ِ خودرا از پَنجَره بیرون کَردَن
hinauswerfen; کِسى را دَک کَردَن، ـ بیرون اَنداختَن
- das Geld zum Fenster hinauswerfen; پول نِفله کَردَن، ـ به هَدَر دادَن
- er wartet nicht lange und wirft ihn hinaus; بى گُفتِگو از دَر راندَش
- das ist hinausgeworfenes Geld; پول ِ سوخت شُده
hinausziehen; به تَعویق اَنداختَن، مُعاطِله کَردَن
- eine Sache hinausziehen; چیزى را کِش دادَن
- s. hinausziehend; مَدید
hinauszögern; موکول کَردَن، به عَقَب اَنداختَن
- s. hinauszögern; بِطول اَنجامیدَن
- den Augenblick hinauszögern; این لحظه را دِرَنگ کَردَن
- eine Entscheidung hinauszögern; تَصمیم را تَعویق انداختَن
Hinauszögern (n); اِطاله
hinbestellen;
- wo immer wir hinbestellt wurden; بِهَر جا که اِحضار مى شُدیم
Hinblick;
- im Hinblick auf ...; نَظَر به
hinbringen; کِسى را بُردَن به
hinderlich;
- etwas, das hinderlich ist; چیزى دَست و پاگیر، مانِع شُده
- die hinderlichen Tonnen liessen es nicht zu, ...; تُنهاى ِ حائِل نِمى گُذاشت
hindern; از .. باز داشتَن، جِلوى ِ کِسى را گِرِفتَن، حَایل شُدَن
- sie haben ihn daran gehindert, nach ... zu gehen; از رَفتَن به ... مَنعَش کَرده بودَند
Hindernis; (pl.) مَحظور، مانِع (مَوانِع)، مُشکِل (مُشکِلات)، مَضیقه (مَضایِق)، گیر
- Hindernisse ausräumen; رَفع ِ مَوانِع کَردَن
- als Hindernis dazwischen stellen; حَایل کَردَن
- der syrische Zoll ist ein schwer zu überwindendes Hindernis; گُمرُک ِ سوریه پُل ِ خَر بِگیری است
